name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
country_iso3_code,STRING,Country ISO3 code (derived from COUNTRY).,,no,br_bd_diretorios_mundo.pais:sigla_iso3,,no,,
country,INT64,Country,,yes,,,no,,COUNTRY
country_alpha,INT64,Country in an alphabetical order,,yes,,,no,,COUNTRY_ALPHA
country_by_region_no,INT64,Country by region: numeric code,,yes,,,no,,COUNTRY.BY.REGION.NO
country_by_region,INT64,Country by region,,yes,,,no,,COUNTRY.BY.REGION
respno,STRING,Respondent number,,no,,,no,,RESPNO
urbrur,INT64,Urban or Rural Primary Sampling Unit,,yes,,,no,,URBRUR
region,INT64,Province or region,,yes,,,no,,REGION
ea_svc_a,INT64,EA-SVC-A. Electricity grid in the PSU/EA,,yes,,,no,,EA_SVC_A
ea_svc_b,INT64,EA-SVC-B. Piped water system in the PSU/EA,,yes,,,no,,EA_SVC_B
ea_svc_c,INT64,EA-SVC-C. Sewage system in the PSU/EA,,yes,,,no,,EA_SVC_C
ea_svc_d,INT64,EA-SVC-D. Cell phone service in the PSU/EA,,yes,,,no,,EA_SVC_D
ea_fac_a,INT64,EA-FAC-A. Post office in the PSU/EA or in walking distance,,yes,,,no,,EA_FAC_A
ea_fac_b,INT64,EA-FAC-B. School in the PSU/EA or in walking distance,,yes,,,no,,EA_FAC_B
ea_fac_c,INT64,EA-FAC-C. Police station in the PSU/EA or in walking distance,,yes,,,no,,EA_FAC_C
ea_fac_d,INT64,EA-FAC-D. Health Clinic in the PSU/EA or in walking distance,,yes,,,no,,EA_FAC_D
ea_fac_e,INT64,EA-FAC-E. Market stalls in the PSU/EA or in walking distance,,yes,,,no,,EA_FAC_E
ea_sec_a,INT64,EA-SEC-A. Police in the PSU/EA,,yes,,,no,,EA_SEC_A
ea_sec_b,INT64,EA-SEC-B. Soldiers/army in the PSU/EA,,yes,,,no,,EA_SEC_B
ea_sec_c,INT64,EA-SEC-C. Roadblocks by police/army in the PSU/EA,,yes,,,no,,EA_SEC_C
ea_sec_d,INT64,EA-SEC-D. Roadblocks by private security in the PSU/EA,,yes,,,no,,EA_SEC_D
ea_sec_e,INT64,EA-SEC-E. Roadblocks by local community in the PSU/EA,,yes,,,no,,EA_SEC_E
ea_road,INT64,EA-ROAD. Tarred/ paved road,,yes,,,no,,EA_ROAD
nocall_1,INT64,Reason for Unsuccessful Call Household 1,,yes,,,no,,NOCALL_1
nocall_1other,STRING,Reason for Unsuccessful Call Household 1 (verbatim),,no,,,no,,NOCALL_1OTHER
nocall_2,INT64,Reason for Unsuccessful Call Household 2,,yes,,,no,,NOCALL_2
nocall_2other,STRING,Reason for Unsuccessful Call Household 2 (verbatim),,no,,,no,,NOCALL_2OTHER
nocall_3,INT64,Reason for Unsuccessful Call Household 3,,yes,,,no,,NOCALL_3
nocall_3other,STRING,Reason for Unsuccessful Call Household 3 (verbatim),,no,,,no,,NOCALL_3OTHER
nocall_4,INT64,Reason for Unsuccessful Call Household 4,,yes,,,no,,NOCALL_4
nocall_5,INT64,Reason for Unsuccessful Call Household 5,,yes,,,no,,NOCALL_5
nocall_6,INT64,Reason for Unsuccessful Call Household 6,,yes,,,no,,NOCALL_6
nocall_7,INT64,Reason for Unsuccessful Call Household 7,,yes,,,no,,NOCALL_7
prevint,INT64,"Previous interview, gender",,yes,,,no,,PREVINT
thisint,INT64,"This interview, gender",,yes,,,no,,THISINT
adult_ct,INT64,ADULTCT: Number of adults in household,,yes,,,no,,ADULT_CT
