name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the observation,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,Mid-quarter month
quarter,INT64,"Reference quarter of the observation, from 1 to 4",,no,,quarter,no,"Derived from the ABS mid-quarter month: February is quarter 1, May is 2, August is 3 and November is 4.",Mid-quarter month
month,INT64,"Reference month of the observation, from 1 to 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"The ABS mid-quarter month, always February, May, August or November.",Mid-quarter month
geography,STRING,Geographic area: one of the eight Australian states and territories,,no,,,no,States and territories follow the ASGS (2011) state and territory structure. To be linked to br_bd_diretorios_au once that directory carries a state table.,State and territory (STT): ASGS (2011)
industry_division_code,STRING,"ANZSIC 2006 division letter, from A to S",,no,,,no,"Not published in the cube: attached from the ANZSIC (2006) Rev.2.0 division list, asserted to cover every observed label. In employment_industry, where the cube publishes group-level codes, the division is derived from the group code's ANZSIC subdivision (its first two digits), and directly from the letter for the 19 division-level nfd residuals.",Industry division of main job: ANZSIC (2006) Rev.2.0
industry_division,STRING,ANZSIC 2006 division of the main job,,no,,,no,"ANZSIC (2006) Rev.2.0, carried by ABS across the whole history of the cube. A dedicated ANZSIC directory does not exist yet in br_bd_diretorios_au and is future work.",Industry division of main job: ANZSIC (2006) Rev.2.0
industry_group_code,STRING,ANZSIC 2006 group code of the main job,,no,,,no,"Split from the code-prefixed label ABS publishes. Stored as a string because the leading zero is significant. 272 of the 291 values are a real three-digit ANZSIC group code; the other 19 are the division-level not further defined residuals, which ABS codes as the division letter followed by 00, one per ANZSIC division.",Industry group of main job: ANZSIC (2006) Rev.2.0
industry_group,STRING,ANZSIC 2006 group of the main job,,no,,,no,"ANZSIC (2006) Rev.2.0, carried by ABS across the whole history of the cube. A dedicated ANZSIC directory does not exist yet in br_bd_diretorios_au and is future work. The three-character code prefix ABS ships on the label is split out into industry_group_code. Labels ending in nfd are ABS not further defined residuals.",Industry group of main job: ANZSIC (2006) Rev.2.0
sex,STRING,Sex: males or females,,no,,,no,"The Detailed cubes publish males and females only. A persons total is not derived by summing the two, because ABS benchmarks and rounds its estimates independently, so the sum is not the published total.",Sex
employed_full_time,FLOAT64,Number of persons employed full-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed full-time ('000)
employed_part_time,FLOAT64,Number of persons employed part-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed part-time ('000)
hours_worked_full_time,FLOAT64,Total hours actually worked in all jobs by persons employed full-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed full-time) ('000 Hours)
hours_worked_part_time,FLOAT64,Total hours actually worked in all jobs by persons employed part-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed part-time) ('000 Hours)
