name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the observation,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,Mid-quarter month
quarter,INT64,"Reference quarter of the observation, from 1 to 4",,no,,quarter,no,"Derived from the ABS mid-quarter month: February is quarter 1, May is 2, August is 3 and November is 4.",Mid-quarter month
month,INT64,"Reference month of the observation, from 1 to 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"The ABS mid-quarter month, always February, May, August or November.",Mid-quarter month
occupation_sub_major,STRING,ANZSCO sub-major group of the main job,,no,,,no,"ANZSCO (2013) v1.2, carried by ABS across the whole history of the cube. A dedicated ANZSCO directory does not exist yet in br_bd_diretorios_au and is future work. No code is attached: the two-digit correspondence includes nfd residuals that are not derivable from the label.",Occupation sub-major group of main job: ANZSCO (2013) v1.2
occupation_classification,STRING,Occupation classification the labels belong to,,no,,,no,Constant at ANZSCO (2013) v1.2 across the whole history of this ceased release. Carried explicitly so that the OSCA-coded rows ABS begins publishing from the September 2026 reference period remain distinguishable in the same column.,(constant)
sex,STRING,Sex: males or females,,no,,,no,"The Detailed cubes publish males and females only. A persons total is not derived by summing the two, because ABS benchmarks and rounds its estimates independently, so the sum is not the published total.",Sex
age_group,STRING,Age group in years,,no,,,no,"ABS standard age groupings, six broad bands from 15-24 years to 65 years and over.",Age
employed_full_time,FLOAT64,Number of persons employed full-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed full-time ('000)
employed_part_time,FLOAT64,Number of persons employed part-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed part-time ('000)
hours_worked_full_time,FLOAT64,Total hours actually worked in all jobs by persons employed full-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed full-time) ('000 Hours)
hours_worked_part_time,FLOAT64,Total hours actually worked in all jobs by persons employed part-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed part-time) ('000 Hours)
