name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the observation,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,Mid-quarter month
quarter,INT64,"Reference quarter of the observation, from 1 to 4",,no,,quarter,no,"Derived from the ABS mid-quarter month: February is quarter 1, May is 2, August is 3 and November is 4.",Mid-quarter month
month,INT64,"Reference month of the observation, from 1 to 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"The ABS mid-quarter month, always February, May, August or November.",Mid-quarter month
occupation_major_code,STRING,"ANZSCO major group code, from 1 to 8",,no,,,no,"Not published in the cube: attached from the ANZSCO (2013) v1.2 major group list, asserted to cover every observed label.",Occupation major group of main job: ANZSCO (2013) v1.2
occupation_major,STRING,ANZSCO major group of the main job,,no,,,no,"ANZSCO (2013) v1.2, carried by ABS across the whole history of the cube. A dedicated ANZSCO directory does not exist yet in br_bd_diretorios_au and is future work.",Occupation major group of main job: ANZSCO (2013) v1.2
occupation_classification,STRING,Occupation classification the labels belong to,,no,,,no,Constant at ANZSCO (2013) v1.2 across the whole history of this ceased release. Carried explicitly so that the OSCA-coded rows ABS begins publishing from the September 2026 reference period remain distinguishable in the same column.,(constant)
status_in_employment,STRING,"Status in employment of the main job, such as employee with paid leave entitlements or owner manager of an incorporated enterprise",,no,,,no,"Finer than the status_in_employment column of the sibling monthly table, which carries a single rolled-up employee category; joining the two requires rolling the three employee categories up first.",Status in employment of main job
employed_full_time,FLOAT64,Number of persons employed full-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed full-time ('000)
employed_part_time,FLOAT64,Number of persons employed part-time,,no,,person,no,Converted from ABS thousands to absolute persons,Employed part-time ('000)
hours_worked_full_time,FLOAT64,Total hours actually worked in all jobs by persons employed full-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed full-time) ('000 Hours)
hours_worked_part_time,FLOAT64,Total hours actually worked in all jobs by persons employed part-time,,no,,hour,no,Converted from ABS thousands of hours to hours,Number of hours actually worked in all jobs (employed part-time) ('000 Hours)
