name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the observation,1974(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,
quarter,INT64,"Reference quarter of the observation, from 1 to 4",,no,,quarter,no,"ABS labels each quarter by its final month (Q1 March, Q2 June, Q3 September, Q4 December)",
series_id,STRING,ABS time series identifier of the series,,no,,,no,"Stable ABS Series ID (A-code); the series key, unique per combination of dimensions",series_id
statistic,STRING,Statistic reported by the series,,no,,,no,Harmonised across ABS workbooks: the same statistic is spelled differently between a release's quarterly and financial-year tables,
index_type,STRING,Whether the series belongs to the Import or the Export Price Index,,no,,,no,"Read from the ABS table title, which is the only place it appears; the same item label is published under both indexes",
classification,STRING,Commodity classification the item belongs to,,no,,,no,"SITC, AHECC, HTISC, ANZSIC, BEC, or a Balance of Payments classification; read from the ABS table title",
item_code,STRING,"Classification code prefixing the item label, where ABS publishes one",,no,,,no,"Empty for aggregate items such as All groups, which carry no code",
item_name,STRING,Commodity or commodity group priced by the index,,no,,,no,,
source_table,STRING,Title of the ABS table the series is published in,,no,,,no,"Carried only where a series appears in exactly one ABS workbook, which makes the attribution unambiguous",
unit,STRING,"Unit of the reported value, as published by ABS",,no,,,no,"Units vary within a single ABS table, so the unit is carried per row rather than per table",unit
value,FLOAT64,"Value of the series in the reference period, in the unit given by the unit column",,no,,,no,Carries no fixed measurement_unit: a tidy-indicator column whose unit varies by row and is given by the unit column,value
