name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos podem compartilhar o mesmo ano,,Year of the electoral event,Año del evento electoral
state_abbreviation,STRING,Sigla do estado ou território,,no,br_bd_diretorios_au.state:abbreviation,,no,,StateAb,State or territory abbreviation,Sigla del estado o territorio
election_id,STRING,Identificador do evento eleitoral atribuído pela AEC,,no,,,no,Corresponde ao Event ID usado nas URLs de results.aec.gov.au,,AEC identifier of the electoral event,Identificador del evento electoral asignado por la AEC
candidate_id,STRING,Identificador da pessoa candidata atribuído pela AEC,,no,,,no,,CandidateID,AEC identifier of the candidate,Identificador de la persona candidata asignado por la AEC
surname,STRING,Sobrenome da pessoa candidata,,no,,,no,,Surname,Surname of the candidate,Apellido de la persona candidata
given_name,STRING,Prenome da pessoa candidata,,no,,,no,,GivenNm,Given name of the candidate,Nombre de pila de la persona candidata
party_abbreviation,STRING,Sigla do partido da pessoa candidata,,no,,,no,,PartyAb,Abbreviation of the candidate's party,Sigla del partido de la persona candidata
party_name,STRING,Nome do partido da pessoa candidata,,no,,,no,,PartyNm,Name of the candidate's party,Nombre del partido de la persona candidata
elected,STRING,Indica se a pessoa candidata foi eleita neste evento,,yes,,,no,,Elected,Whether the candidate was elected at this event,Indica si la persona candidata fue elegida en este evento
historic_elected,STRING,Indica se a pessoa candidata ocupava a cadeira antes deste evento,,yes,,,no,,HistoricElected,Whether the candidate held the seat before this event,Indica si la persona candidata ocupaba el escaño antes de este evento
sitting_member,STRING,Indica se a pessoa candidata era parlamentar em exercício,,yes,,,no,"Publicado apenas na eleição de 2004, que não traz elected nem historic_elected",SittingMemberFl,Whether the candidate was the sitting member,Indica si la persona candidata era parlamentaria en ejercicio
elected_order,STRING,Ordem em que a pessoa foi eleita para o Senado no estado,,no,,,no,Preenchido apenas para quem foi eleito,ElectedOrder,Order in which the senator was elected within the state,Orden en que la persona fue elegida al Senado en el estado
