name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano inicial do exercício fiscal a que se referem os dados; 2023 corresponde ao exercício 2023-24,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Partition column. Derived from the sheet title, not the release: the GST table shipped in the 2023-24 release covers the 2024-25 financial year",,Start year of the financial year the data refer to; 2023 denotes the 2023-24 year,Año inicial del ejercicio fiscal al que se refieren los datos; 2023 corresponde al ejercicio 2023-24
sex,STRING,Sexo do contribuinte conforme registrado na declaração,,yes,,,no,,Sex,Sex of the taxpayer as recorded in the return,Sexo del contribuyente según consta en la declaración
taxable_status,STRING,Situação tributável do contribuinte no exercício,,yes,,,no,,Taxable status,Taxable status of the taxpayer in the year,Situación tributable del contribuyente en el ejercicio
state_abbreviation,STRING,Sigla do estado ou território de residência do contribuinte,,yes,br_bd_diretorios_au.state:abbreviation,,no,"Includes the non-geographic values 'Overseas' and 'Unknown', which have no directory match",State/Territory,Abbreviation of the taxpayer's state or territory of residence,Sigla del estado o territorio de residencia del contribuyente
taxable_income_range_code,STRING,Código ordenador da faixa de renda tributável,,yes,,,no,,Taxable income range,Sort code of the taxable income range,Código ordenador del rango de renta imponible
taxable_income_range,STRING,Faixa de renda tributável do contribuinte,,no,,,no,,Taxable income range,Taxable income range of the taxpayer,Rango de renta imponible del contribuyente
taxable_income_bracket_code,STRING,Código ordenador da faixa marginal de imposto,,yes,,,no,,Taxable income range - tax brackets,Sort code of the marginal tax bracket,Código ordenador del tramo marginal de impuesto
taxable_income_bracket,STRING,Faixa marginal de imposto aplicável ao contribuinte,,no,,,no,Thresholds change across years as tax brackets are legislated,Taxable income range - tax brackets,Marginal tax bracket applicable to the taxpayer,Tramo marginal de impuesto aplicable al contribuyente
item,STRING,"Item tributário declarado, conforme o rótulo da coluna na tabela de origem",,no,,,no,The set of items varies across years as the ATO adds or retires labels,,"Taxation item reported, as labelled by the column in the source table","Ítem tributario declarado, según la etiqueta de la columna en la tabla de origen"
record_count,INT64,Número de registros com valor informado para o item,,no,,record,no,,<item> no.,Number of records reporting a value for the item,Número de registros que declaran un valor para el ítem
amount,FLOAT64,"Valor monetário agregado do item, em dólares australianos",,no,,AUD,no,,<item> $,"Aggregate monetary value of the item, in Australian dollars","Valor monetario agregado del ítem, en dólares australianos"
