name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
year,INT64,Ano do processo de admissão a que os dados se referem,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição. Cobertura de 2010 em diante,Year,Year of the admissions round the data refer to,Año del proceso de admisión al que se refieren los datos,Partition column. Coverage from 2010 onward,Columna de partición. Cobertura desde 2010
series,STRING,Série metodológica a que a observação pertence,,no,,,no,"Original para a série publicada até 2021 e Revised para a série recalculada que a fonte publica como 2019a, 2020a e 2021a. Os dois valores coexistem em 2019, 2020 e 2021 e não devem ser somados nem encadeados sem ajuste",,Methodological series the observation belongs to,Serie metodológica a la que pertenece la observación,"Original for the series published up to 2021 and Revised for the recalculated series the source publishes as 2019a, 2020a and 2021a. Both values coexist in 2019, 2020 and 2021 and must not be summed or chained without adjustment","Original para la serie publicada hasta 2021 y Revised para la serie recalculada que la fuente publica como 2019a, 2020a y 2021a. Los dos valores coexisten en 2019, 2020 y 2021 y no deben sumarse ni encadenarse sin ajuste"
state_abbreviation,STRING,Sigla do estado ou território a que os dados de candidatura se referem,,no,,,no,"Estado do centro de admissão terciária que processou a candidatura. Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais Australia para o agregado nacional. Sem directory_column porque o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the state or territory the application data refer to,Sigla del estado o territorio al que se refieren los datos de candidatura,"State of the tertiary admission centre that processed the application. Values: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, plus Australia for the national aggregate. No directory_column because the br_bd_diretorios_au.state directory is keyed on id_state (a 1-9 code), not on abbreviation","Estado del centro de admisión terciaria que procesó la candidatura. Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, más Australia para el agregado nacional. Sin directory_column porque el directorio br_bd_diretorios_au.state está indexado por id_state (código 1-9), y no por abbreviation"
dimension,STRING,Dimensão pela qual os dados estão desagregados,,no,,,no,"State, Field of education, Year 12 status, Age, Gender, Home state, SES, Regionality, First Nations status, ATAR ou Combined application source",,Dimension along which the data are broken down,Dimensión por la cual se desagregan los datos,"State, Field of education, Year 12 status, Age, Gender, Home state, SES, Regionality, First Nations status, ATAR or Combined application source","State, Field of education, Year 12 status, Age, Gender, Home state, SES, Regionality, First Nations status, ATAR o Combined application source"
dimension_value,STRING,Categoria da dimensão a que a observação se refere,,no,,,no,,,Category of the dimension the observation refers to,Categoría de la dimensión a la que se refiere la observación,,
application_source,STRING,Canal pelo qual a candidatura foi apresentada,,no,,,no,"Tertiary Admission Centre, Direct to institution ou Combined. Até 2009 a fonte coletava apenas candidaturas via Tertiary Admission Centres; candidaturas diretas passaram a ser coletadas a partir do ano acadêmico de 2010",,Channel through which the application was submitted,Canal por el cual se presentó la candidatura,"Tertiary Admission Centre, Direct to institution or Combined. Until 2009 the source collected only applications through tertiary admission centres; direct applications began to be collected from the 2010 academic year","Tertiary Admission Centre, Direct to institution o Combined. Hasta 2009 la fuente recogía solo candidaturas vía centros de admisión terciaria; las candidaturas directas empezaron a recogerse desde el año académico de 2010"
applicants,INT64,Número de candidatos a cursos de graduação,,no,,person,no,Refere-se a primeira preferência do candidato,,Number of applicants for undergraduate study,Número de candidatos a cursos de grado,Refers to the applicant's first preference,Se refiere a la primera preferencia del candidato
offers,INT64,Número de ofertas de vaga emitidas,,no,,person,no,,,Number of offers made,Número de ofertas de plaza emitidas,,
offer_rate,FLOAT64,Razão entre ofertas e candidatos,,no,,percent,no,Publicada pela fonte como fração entre 0 e 1 e convertida para percentual,,Ratio of offers to applicants,Razón entre ofertas y candidatos,Published by the source as a fraction between 0 and 1 and converted to a percentage,Publicada por la fuente como fracción entre 0 y 1 y convertida a porcentaje
acceptances,INT64,Número de ofertas aceitas,,no,,person,no,A fonte deixou de publicar aceitações após 2021; NULO de 2022 em diante,,Number of offers accepted,Número de ofertas aceptadas,The source stopped publishing acceptances after 2021; NULL from 2022 onward,La fuente dejó de publicar aceptaciones después de 2021; NULO desde 2022
