name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de conclusão do curso,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição,Year,Year the course was completed,Año de conclusión del curso
institution_id,STRING,Instituição de ensino superior à qual os dados se referem,,no,diretorios_au.higher_education_institution:id_higher_education_institution,,no,"O valor 'non_university_higher_education_providers' e demais buckets agregados representam conjuntos de instituições, não instituições individuais",Institution,Higher education institution the data refer to,Institución de educación superior a la que se refieren los datos
state_abbreviation,STRING,Sigla do estado ou território da instituição,,no,,,no,"Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais MULTI para instituições multiestaduais. MULTI não possui correspondência no diretório, por isso a coluna não tem directory_column: o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the institution's state or territory,Sigla del estado o territorio de la institución
citizenship,STRING,Situação de cidadania do estudante,,no,,,no,,Citizenship,Citizenship status of the student,Situación de ciudadanía del estudiante
course_level_broad,STRING,Nível amplo do curso concluído,,no,,,no,,Broad Course Level,Broad level of the completed course,Nivel amplio del curso concluido
course_level_detailed,STRING,Nível detalhado do curso concluído,,no,,,no,,Detailed Course Level,Detailed level of the completed course,Nivel detallado del curso concluido
gender,STRING,Gênero informado do estudante,,no,,,no,,Gender,Reported gender of the student,Género informado del estudiante
attendance_mode,STRING,Modalidade de frequência do estudante,,no,,,no,"Além de Internal, External e Multi-modal, inclui valores específicos de conclusão: Completed through OUA, Completed other than OUA e Submitted original work",Mode Of Attendance,Mode of attendance of the student,Modalidad de asistencia del estudiante
attendance_type,STRING,Tipo de frequência do estudante,,no,,,no,,Type Of Attendance,Type of attendance of the student,Tipo de asistencia del estudiante
special_course,STRING,Indicador de curso de interesse especial,,no,,,no,,Special Course,Indicator of a course of special interest,Indicador de curso de interés especial
field_of_education_primary,STRING,Área ampla de educação principal do curso (ASCED),,no,,,no,,Broad Field of Education Primary,Primary broad field of education of the course (ASCED),Área amplia de educación principal del curso (ASCED)
field_of_education_secondary,STRING,"Área ampla de educação secundária, para cursos combinados (ASCED)",,no,,,no,,Broad Field of Education Secondary,"Secondary broad field of education, for combined courses (ASCED)","Área amplia de educación secundaria, para cursos combinados (ASCED)"
completions,INT64,Número de conclusões de curso com titulação,,no,,unit,no,Valor perturbado pela fonte. As 12 colunas <área> Count do arquivo original foram descartadas por serem deriváveis a partir deste valor e das colunas de área de educação,Completions,Number of award course completions,Número de conclusiones de curso con titulación
