name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano de referência da coleta de pessoal,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição. Pessoal em tempo integral e parcial refere-se a foto de 31 de março do ano; pessoal casual efetivo refere-se ao ano civil completo e é reportado com um ano de defasagem,Year,Reference year of the staff collection,Año de referencia de la recolección de personal
institution_id,STRING,Instituição de ensino superior à qual os dados se referem,,no,diretorios_au.higher_education_institution:id_higher_education_institution,,no,"O valor 'non_university_higher_education_providers' e demais buckets agregados representam conjuntos de instituições, não instituições individuais",Institution,Higher education institution the data refer to,Institución de educación superior a la que se refieren los datos
state_abbreviation,STRING,Sigla do estado ou território da instituição,,no,,,no,"Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais MULTI para instituições multiestaduais. MULTI não possui correspondência no diretório, por isso a coluna não tem directory_column: o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the institution's state or territory,Sigla del estado o territorio de la institución
gender,STRING,Gênero informado do funcionário,,no,,,no,,Gender,Reported gender of the staff member,Género informado del empleado
duties_classification,STRING,Classificação das funções correntes do funcionário,,no,,,no,"Above Senior Lecturer, Senior lecturer (Level C), Lecturer (Level B), Below lecturer (Level A), Professional ou No information",Current Duties Classification,Classification of the staff member's current duties,Clasificación de las funciones actuales del empleado
function,STRING,Função exercida pelo funcionário,,no,,,no,"Teaching only, Research only, Teaching and research ou Other function",Function,Function performed by the staff member,Función ejercida por el empleado
organisational_unit,STRING,Tipo de unidade organizacional de lotação,,no,,,no,"Academic Organisational Units, Non-Academic Organisational Units ou CRC (Cooperative Research Centres)",Organisational Unit,Type of organisational unit the staff member belongs to,Tipo de unidad organizativa de asignación
work_contract,STRING,Tipo de vínculo de trabalho,,no,,,no,"Full-Time and Fractional Full-Time (foto de 31 de março, nível de registro individual) ou Actual Casual (agregado anual, reportado com um ano de defasagem)",Work Contract,Type of work contract,Tipo de vínculo laboral
staff,INT64,Número de funcionários (contagem de pessoas),,no,,person,no,"Zero nas linhas de Actual Casual, para as quais a fonte reporta apenas equivalência em tempo integral. Valor perturbado; o sentinela -1 é convertido em NULL",Staff Count,Number of staff (headcount),Número de empleados (recuento de personas)
staff_fte,FLOAT64,Equivalência em tempo integral dos funcionários,,no,,person,no,Valor perturbado pela fonte,FTE Staff Count,Full-time equivalence of staff,Equivalencia a tiempo completo del personal
