name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
year,INT64,Ano de referência da coleta de estudantes,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição. Empilhada a partir das cinco safras de pivot table (2020 a 2024); em anos cobertos por mais de uma safra prevalece a mais recente,Year,Reference year of the student collection,Año de referencia de la recolección de estudiantes,"Partition column. Stacked from the five pivot table vintages (2020 to 2024); where more than one vintage covers a year, the most recent wins",Columna de partición. Apilada a partir de las cinco cosechas de pivot table (2020 a 2024); en años cubiertos por más de una cosecha prevalece la más reciente
institution_id,STRING,Instituição de ensino superior à qual os dados se referem,,no,diretorios_au.higher_education_institution:id_higher_education_institution,,no,"O valor 'non_university_higher_education_providers' e demais buckets agregados representam conjuntos de instituições, não instituições individuais",Institution,Higher education institution the data refer to,Institución de educación superior a la que se refieren los datos,"The value 'non_university_higher_education_providers' and the other aggregate buckets stand for sets of institutions, not individual institutions","El valor 'non_university_higher_education_providers' y los demás agregados representan conjuntos de instituciones, no instituciones individuales"
state_abbreviation,STRING,Sigla do estado ou território da instituição,,no,,,no,"Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais MULTI para instituições multiestaduais. MULTI não possui correspondência no diretório, por isso a coluna não tem directory_column: o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the institution's state or territory,Sigla del estado o territorio de la institución,"Values: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, plus MULTI for multi-state institutions. MULTI has no match in the directory, so the column carries no directory_column: the br_bd_diretorios_au.state directory is keyed on id_state (a 1-9 code), not on abbreviation","Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, más MULTI para instituciones multiestatales. MULTI no tiene correspondencia en el directorio, por eso la columna no tiene directory_column: el directorio br_bd_diretorios_au.state está indexado por id_state (código 1-9), y no por abbreviation"
citizenship,STRING,Situação de cidadania do estudante,,no,,,no,"Domestic abrange cidadãos australianos e neozelandeses, portadores de visto humanitário permanente e demais residentes permanentes",Citizenship,Citizenship status of the student,Situación de ciudadanía del estudiante,"Domestic covers Australian and New Zealand citizens, permanent humanitarian visa holders and other permanent residents","Domestic abarca ciudadanos australianos y neozelandeses, portadores de visado humanitario permanente y demás residentes permanentes"
commencing,STRING,Indica se o estudante iniciou o curso no ano de referência ou é continuante,,no,,,no,,Commencing,Whether the student commenced the course in the reference year or is continuing,Indica si el estudiante inició el curso en el año de referencia o es continuante,,
course_level_broad,STRING,Nível amplo do curso,,no,,,no,A categoria Non-Award foi renomeada para Non-Award/Microcredentials a partir da safra de 2021,Broad Course Level,Broad level of the course,Nivel amplio del curso,The Non-Award category was renamed Non-Award/Microcredentials from the 2021 vintage on,La categoría Non-Award pasó a llamarse Non-Award/Microcredentials a partir de la cosecha de 2021
course_level_detailed,STRING,Nível detalhado do curso,,no,,,no,,Detailed Course Level,Detailed level of the course,Nivel detallado del curso,,
gender,STRING,Gênero informado do estudante,,no,,,no,,Gender,Reported gender of the student,Género informado del estudiante,,
attendance_mode,STRING,Modalidade de frequência do estudante,,no,,,no,"Internal, External, Multi-modal ou Not provided",Mode Of Attendance,Mode of attendance of the student,Modalidad de asistencia del estudiante,"Internal, External, Multi-modal or Not provided","Internal, External, Multi-modal o Not provided"
attendance_type,STRING,Tipo de frequência do estudante,,no,,,no,Full-time ou Part-time,Type Of Attendance,Type of attendance of the student,Tipo de asistencia del estudiante,Full-time or Part-time,Full-time o Part-time
special_course,STRING,Indicador de curso de interesse especial,,no,,,no,"Cursos que conferem registro inicial em enfermagem, docência, medicina, odontologia, veterinária, psicologia clínica ou aviação",Special Course,Indicator of a course of special interest,Indicador de curso de interés especial,"Courses conferring initial registration in nursing, teaching, medicine, dentistry, veterinary science, clinical psychology or aviation","Cursos que confieren registro inicial en enfermería, docencia, medicina, odontología, veterinaria, psicología clínica o aviación"
field_of_education_primary,STRING,Área ampla de educação principal do curso (ASCED),,no,,,no,,Broad Field of Education Primary,Primary broad field of education of the course (ASCED),Área amplia de educación principal del curso (ASCED),,
field_of_education_secondary,STRING,"Área ampla de educação secundária, para cursos combinados (ASCED)",,no,,,no,Not a Combined Course quando o curso não é combinado; nas safras anteriores a 2024 esse valor aparece como string vazia,Broad Field of Education Secondary,"Secondary broad field of education, for combined courses (ASCED)","Área amplia de educación secundaria, para cursos combinados (ASCED)",Not a Combined Course when the course is not combined; in vintages before 2024 that value appears as an empty string,Not a Combined Course cuando el curso no es combinado; en las cosechas anteriores a 2024 ese valor aparece como cadena vacía
enrolments,INT64,Número de matrículas na combinação de características,,no,,unit,no,"Valor perturbado: a fonte aplica perturbação de entrada a todas as células, exceto totais gerais. O sentinela -1 da fonte é convertido em NULL. As 13 colunas <área> Count do arquivo original foram descartadas por serem deriváveis: cada uma repete exatamente este valor na coluna correspondente a field_of_education_primary e, em cursos combinados, também na de field_of_education_secondary",Enrolment Count,Number of enrolments in the given combination of characteristics,Número de matrículas en la combinación de características,"Perturbed value: the source applies input perturbation to every cell except grand totals. The source's -1 sentinel becomes NULL. The 13 <field> Count columns of the original file were dropped as derivable: each repeats exactly this value in the column matching field_of_education_primary and, for combined courses, in the one matching field_of_education_secondary","Valor perturbado: la fuente aplica perturbación de entrada a todas las celdas, excepto los totales generales. El centinela -1 de la fuente se convierte en NULO. Las 13 columnas <área> Count del archivo original se descartaron por ser derivables: cada una repite exactamente este valor en la columna correspondiente a field_of_education_primary y, en cursos combinados, también en la de field_of_education_secondary"
