name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
year,INT64,Ano de referência da coleta de estudantes,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de partição,Year,Reference year of the student collection,Año de referencia de la recolección de estudiantes,Partition column,Columna de partición
institution_id,STRING,Instituição de ensino superior à qual os dados se referem,,no,diretorios_au.higher_education_institution:id_higher_education_institution,,no,"O valor 'non_university_higher_education_providers' e demais buckets agregados representam conjuntos de instituições, não instituições individuais",Institution,Higher education institution the data refer to,Institución de educación superior a la que se refieren los datos,"The value 'non_university_higher_education_providers' and the other aggregate buckets stand for sets of institutions, not individual institutions","El valor 'non_university_higher_education_providers' y los demás agregados representan conjuntos de instituciones, no instituciones individuales"
state_abbreviation,STRING,Sigla do estado ou território da instituição,,no,,,no,"Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, mais MULTI para instituições multiestaduais. MULTI não possui correspondência no diretório, por isso a coluna não tem directory_column: o diretório br_bd_diretorios_au.state é chaveado em id_state (código 1-9), e não em abbreviation",State,Abbreviation of the institution's state or territory,Sigla del estado o territorio de la institución,"Values: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, plus MULTI for multi-state institutions. MULTI has no match in the directory, so the column carries no directory_column: the br_bd_diretorios_au.state directory is keyed on id_state (a 1-9 code), not on abbreviation","Valores: NSW, VIC, QLD, WA, SA, TAS, NT, ACT, más MULTI para instituciones multiestatales. MULTI no tiene correspondencia en el directorio, por eso la columna no tiene directory_column: el directorio br_bd_diretorios_au.state está indexado por id_state (código 1-9), y no por abbreviation"
citizenship,STRING,Situação de cidadania do estudante,,no,,,no,,Citizenship,Citizenship status of the student,Situación de ciudadanía del estudiante,,
commencing,STRING,Indica se o estudante iniciou o curso no ano de referência ou é continuante,,no,,,no,,Commencing,Whether the student commenced the course in the reference year or is continuing,Indica si el estudiante inició el curso en el año de referencia o es continuante,,
course_level_broad,STRING,Nível amplo do curso,,no,,,no,,Broad Course Level,Broad level of the course,Nivel amplio del curso,,
course_level_detailed,STRING,Nível detalhado do curso,,no,,,no,,Detailed Course Level,Detailed level of the course,Nivel detallado del curso,,
discipline,STRING,Grupo de disciplina das unidades de estudo cursadas (ASCED),,no,,,no,"Diferente de field_of_education: classifica as unidades de estudo, não o curso",Discipline,Discipline group of the units of study taken (ASCED),Grupo de disciplina de las unidades de estudio cursadas (ASCED),"Distinct from field_of_education: it classifies the units of study, not the course","Distinto de field_of_education: clasifica las unidades de estudio, no el curso"
gender,STRING,Gênero informado do estudante,,no,,,no,,Gender,Reported gender of the student,Género informado del estudiante,,
liability_status,STRING,Situação de custeio do estudante na unidade de estudo,,no,,,no,"Commonwealth supported, domestic fee-paying, overseas fee-paying ou other domestic",Liability Status,Liability status of the student for the unit of study,Situación de financiamiento del estudiante en la unidad de estudio,"Commonwealth supported, domestic fee-paying, overseas fee-paying or other domestic","Commonwealth supported, domestic fee-paying, overseas fee-paying u other domestic"
student_load_eftsl,FLOAT64,Carga de estudo equivalente em tempo integral (EFTSL),,no,,unit,no,"Um EFTSL equivale a um ano de estudo em tempo integral, conforme o Higher Education Support Act 2003 (s169-27). Valor perturbado pela fonte. Nomeada com sufixo para não coincidir com o nome da tabela: uma coluna homônima da tabela faz uma referência não qualificada em teste dbt resolver para a STRUCT da linha, e o teste passa em vazio",Student Load,Equivalent full-time student load (EFTSL),Carga de estudio equivalente a tiempo completo (EFTSL),"One EFTSL is one year of full-time study, as defined in the Higher Education Support Act 2003 (s169-27). Perturbed at source. Suffixed so as not to share the table's name: a column named like its table makes an unqualified reference in a dbt test resolve to the row STRUCT, and the test then passes vacuously","Un EFTSL equivale a un año de estudio a tiempo completo, según el Higher Education Support Act 2003 (s169-27). Valor perturbado en origen. Nombrada con sufijo para no coincidir con el nombre de la tabla: una columna homónima de la tabla hace que una referencia no calificada en una prueba dbt se resuelva a la STRUCT de la fila, y la prueba pasa en vacío"
