name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
snapshot_date,DATE,"Data do snapshot (release) trimestral do G-NAF, correspondente ao primeiro dia do mês de publicação",,no,br_bd_diretorios_data_tempo.data:data,,no,Coluna sintetizada: data de referência do release usada para empilhar o histórico e particionar a tabela,
year,INT64,Ano do snapshot do G-NAF,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna sintetizada: ano derivado de snapshot_date,
id_state,STRING,Código do estado ou território australiano,,no,br_bd_diretorios_au.state:id_state,,no,Resolvido a partir de STATE_PID para a sigla do estado (STATE.STATE_ABBREVIATION),STATE_PID
locality_pid,STRING,Identificador persistente único da localidade no mundo real representado por este registro,,no,,,no,,LOCALITY_PID
date_created,DATE,Data de criação deste registro,,no,br_bd_diretorios_data_tempo.data:data,,no,,DATE_CREATED
date_retired,DATE,Data de aposentadoria (retirada) deste registro,,no,br_bd_diretorios_data_tempo.data:data,,no,,DATE_RETIRED
locality_name,STRING,Nome da localidade ou suburb,,no,,,no,,LOCALITY_NAME
primary_postcode,STRING,"Código postal primário, usado para diferenciar localidades de mesmo nome dentro de um estado",,no,,,no,,PRIMARY_POSTCODE
locality_class,STRING,Código que descreve a classe da localidade,,yes,,,no,,LOCALITY_CLASS_CODE
gnaf_locality_pid,STRING,Identificador interno usado na gestão do G-NAF,,no,,,no,,GNAF_LOCALITY_PID
gnaf_reliability,STRING,Código de confiabilidade: precisão espacial do geocódigo expressa como número de 1 a 6,,yes,,,no,,GNAF_RELIABILITY_CODE
longitude,FLOAT64,Longitude do ponto da localidade (datum GDA94 ou GDA2020),,no,,degree,no,Extraído de LOCALITY_POINT,LONGITUDE
latitude,FLOAT64,Latitude do ponto da localidade (datum GDA94 ou GDA2020),,no,,degree,no,Extraído de LOCALITY_POINT,LATITUDE
