name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Cada eleição geral estadual ocupa um único ano.,
election_id,STRING,Identificador do evento eleitoral atribuído pela NSWEC,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",
contest_id,STRING,Identificador da disputa dentro do evento eleitoral,,no,,,no,"Formado pelo prefixo da câmara e pelo slug do distrito, por exemplo la-albury para a Assembleia Legislativa e lc-state para o Conselho Legislativo, que é uma única disputa estadual. É único dentro de cada evento eleitoral.",
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS, atribuído por cruzamento de nomes apenas onde o nome do distrito da NSWEC corresponde exatamente à vintage 2021. As eleições de 2011, 2015 e 2019 usaram limites anteriores, portanto a coluna fica nula nos distritos que não sobreviveram inalterados às redistribuições. Nula no Conselho Legislativo, que é uma circunscrição estadual única.",
chamber,STRING,Câmara do Parlamento de Nova Gales do Sul em disputa,,yes,,,no,"Assume os valores legislative_assembly e legislative_council. Nova Gales do Sul é bicameral, portanto a câmara é uma coluna da disputa e nunca uma constante do conjunto.",
district_name,STRING,"Nome da disputa: o distrito eleitoral estadual, ou State para o Conselho Legislativo",,no,,,no,,
voting_centre_name,STRING,Nome do local de votação ou do tipo de voto por declaração,,no,,,no,"A NSWEC não publica identificador estável de local de votação nos resultados, portanto o nome é a única chave disponível. Nos votos por declaração o campo traz o tipo do voto, como Postal ou Absent, e não um local físico.",Venue/Declaration Name
ballot_paper_id,STRING,Identificador da cédula atribuído pela NSWEC na digitalização,,no,,,no,"Único apenas dentro da combinação de distrito e local de votação, nunca isoladamente. Cédulas inválidas em branco recebem identificadores da forma BLANK_<lote>_<sequência>.",BPNumber
formality,STRING,Formalidade da cédula,,yes,,,no,"Assume os valores Formal e Informal. Cada cédula inválida ocupa uma única linha, com candidatura e preferências nulas.",Formality
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME Prenomes"", como impresso na cédula.",Candidate Ballot Name
party_code,STRING,Sigla do partido da pessoa candidata,,no,,,no,,Party Acronym
preference_number,STRING,Preferência tal como marcada pela pessoa eleitora na cédula,,no,,,no,"Número de ordem, publicado como texto porque a coluna não é numérica: as cláusulas de salvaguarda de Nova Gales do Sul aceitam um tique ou uma cruz como primeira preferência, de modo que a coluna também assume os valores /, x e X.",PrefMarking
preference_counted_number,STRING,Preferência efetivamente considerada na apuração,,no,,,no,Difere de preference_number quando a sequência marcada tem falhas: as preferências posteriores à falha ficam nulas porque não entram na apuração.,PrefCounted
