name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Cada eleição geral estadual ocupa um único ano.,
election_id,STRING,Identificador do evento eleitoral atribuído pela NSWEC,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",
contest_id,STRING,Identificador da disputa dentro do evento eleitoral,,no,,,no,"Formado pelo prefixo da câmara e pelo slug do distrito, por exemplo la-albury para a Assembleia Legislativa e lc-state para o Conselho Legislativo, que é uma única disputa estadual. É único dentro de cada evento eleitoral.",
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS, atribuído por cruzamento de nomes apenas onde o nome do distrito da NSWEC corresponde exatamente à vintage 2021. As eleições de 2011, 2015 e 2019 usaram limites anteriores, portanto a coluna fica nula nos distritos que não sobreviveram inalterados às redistribuições. Nula no Conselho Legislativo, que é uma circunscrição estadual única.",
chamber,STRING,Câmara do Parlamento de Nova Gales do Sul em disputa,,yes,,,no,"Assume os valores legislative_assembly e legislative_council. Nova Gales do Sul é bicameral, portanto a câmara é uma coluna da disputa e nunca uma constante do conjunto.",
government_level,STRING,Esfera de governo da disputa,,yes,,,no,Assume o valor state em todas as linhas deste conjunto.,
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, uma cadeira por distrito na Assembleia Legislativa, e state_at_large, a eleição estadual única de 21 cadeiras do Conselho Legislativo.",
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores optional_preferential, usado na Assembleia Legislativa, e single_transferable_vote, usado no Conselho Legislativo com voto acima e abaixo da linha. É definido por disputa: os dois coexistem em cada evento eleitoral.",
district_name,STRING,"Nome da disputa: o distrito eleitoral estadual, ou State para o Conselho Legislativo",,no,,,no,,
distribution_number,STRING,Número da contagem na distribuição de preferências,,no,,,no,"Número de ordem; aritmética sobre ele não tem sentido. A contagem 1 é a apuração de primeira preferência, sem candidatura excluída.",
excluded_ballot_name,STRING,Nome na cédula da pessoa candidata excluída na contagem,,no,,,no,"Nulo na contagem 1, que é a apuração de primeira preferência e não exclui ninguém.",
excluded_party_code,STRING,Sigla do partido da pessoa candidata excluída na contagem,,no,,,no,"Nulo na contagem 1, que é a apuração de primeira preferência e não exclui ninguém.",
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME Prenomes"", como impresso na cédula.",Candidate Ballot Name
party_code,STRING,Sigla do partido da pessoa candidata,,no,,,no,,Party Acronym
votes_transferred,INT64,Votos transferidos para a pessoa candidata na contagem,,no,,vote,no,"Na contagem 1 traz os votos de primeira preferência, que não são uma transferência.",VotesDistributed
votes_progressive_total,INT64,Total acumulado da pessoa candidata após a contagem,,no,,vote,no,,ProgressiveTotals
is_excluded,STRING,Indica se a pessoa candidata foi excluída nesta contagem,,yes,,,no,Assume os valores yes e no.,
is_elected,STRING,Indica se a pessoa candidata estava em posição de eleita após a contagem,,yes,,,no,Assume os valores yes e no.,
votes_in_count,INT64,Total de votos que permanecem na apuração após a contagem,,no,,vote,no,"Total da contagem, repetido em cada linha de candidatura.",Total Votes in Count
votes_exhausted,INT64,"Votos esgotados nesta contagem, sem preferência seguinte válida",,no,,vote,no,"Total da contagem, repetido em cada linha de candidatura.",Exhausted Votes
votes_exhausted_total,INT64,Total acumulado de votos esgotados após a contagem,,no,,vote,no,"Total da contagem, repetido em cada linha de candidatura.",
absolute_majority,INT64,Maioria absoluta exigida após a contagem,,no,,vote,no,"Total da contagem, repetido em cada linha de candidatura.",Absolute Majority
