name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Cada eleição geral estadual ocupa um único ano.,
election_id,STRING,Identificador do evento eleitoral atribuído pela NSWEC,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",
contest_id,STRING,Identificador da disputa dentro do evento eleitoral,,no,,,no,"Formado pelo prefixo da câmara e pelo slug do distrito, por exemplo la-albury para a Assembleia Legislativa e lc-state para o Conselho Legislativo, que é uma única disputa estadual. É único dentro de cada evento eleitoral.",
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Código ASGS 2021 do ABS, atribuído por cruzamento de nomes apenas onde o nome do distrito da NSWEC corresponde exatamente à vintage 2021. As eleições de 2011, 2015 e 2019 usaram limites anteriores, portanto a coluna fica nula nos distritos que não sobreviveram inalterados às redistribuições. Nula no Conselho Legislativo, que é uma circunscrição estadual única.",
chamber,STRING,Câmara do Parlamento de Nova Gales do Sul em disputa,,yes,,,no,"Assume os valores legislative_assembly e legislative_council. Nova Gales do Sul é bicameral, portanto a câmara é uma coluna da disputa e nunca uma constante do conjunto.",
government_level,STRING,Esfera de governo da disputa,,yes,,,no,Assume o valor state em todas as linhas deste conjunto.,
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, uma cadeira por distrito na Assembleia Legislativa, e state_at_large, a eleição estadual única de 21 cadeiras do Conselho Legislativo.",
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores optional_preferential, usado na Assembleia Legislativa, e single_transferable_vote, usado no Conselho Legislativo com voto acima e abaixo da linha. É definido por disputa: os dois coexistem em cada evento eleitoral.",
district_name,STRING,"Nome da disputa: o distrito eleitoral estadual, ou State para o Conselho Legislativo",,no,,,no,,
voting_centre_district_name,STRING,Nome do distrito eleitoral estadual atendido pelo local de votação,,no,,,no,"É o distrito onde os votos foram apurados, e não a disputa. No Conselho Legislativo, que é uma disputa estadual única, as cédulas ainda são apuradas distrito a distrito, portanto contest_id assume o valor lc-state enquanto esta coluna nomeia o distrito do local de votação.",
voting_centre_name,STRING,Nome do local de votação ou do tipo de voto por declaração,,no,,,no,"A NSWEC não publica identificador estável de local de votação nos resultados, portanto o nome é a única chave disponível. Nos votos por declaração o campo traz o tipo do voto, como Postal ou Absent, e não um local físico.",Venue/Declaration Name
vote_type_code,STRING,Código do tipo de voto,,yes,,,no,"Assume os valores PP, local de votação no dia; PR, local de votação antecipada; DI, instalação declarada; e DV, voto por declaração. Os rótulos estão na tabela dicionario.",Vote Type
vote_sub_type,STRING,Subtipo do voto tal como publicado pela NSWEC,,yes,,,no,"Detalha vote_type_code. Assume os valores Voting Centre, Early Voting Centre, Declared Facility, Absent, Enrolment / Provisional e Postal. Em 2015 a NSWEC usava Polling Place e Declared Institution para os dois primeiros; os rótulos históricos são preservados como publicados.",Vote Sub Type
count_type,STRING,Tipo de apuração ao qual os votos se referem,,yes,,,no,"Assume os valores first_preference, votos de primeira preferência por candidatura na Assembleia Legislativa, e above_the_line, votos de grupo acima da linha no Conselho Legislativo. A NSWEC não publica apuração abaixo da linha por candidatura no nível do local de votação.",
ballot_order_number,STRING,Posição da pessoa candidata na cédula,,no,,,no,"Número de ordem na cédula; aritmética sobre ele não tem sentido, por isso é publicado como texto.",
ballot_name,STRING,Nome da pessoa candidata tal como impresso na cédula,,no,,,no,"Formato ""SOBRENOME Prenomes"", como impresso na cédula.",Candidate Ballot Name
party_code,STRING,Sigla do partido da pessoa candidata,,no,,,no,,Party Acronym
party_name,STRING,Nome registrado do partido da pessoa candidata,,no,,,no,,Party Name
group_code,STRING,Letra do grupo na cédula do Conselho Legislativo,,yes,,,no,"Letra do grupo na cédula do Conselho Legislativo, de A a U conforme o evento. Assume o valor UG nas candidaturas sem grupo. Nula na Assembleia Legislativa.",
group_name,STRING,Nome do grupo impresso na cédula do Conselho Legislativo,,no,,,no,"Nome registrado do grupo, quando o grupo optou por imprimi-lo na cédula. Grupos sem nome registrado aparecem apenas pela letra. Nulo na Assembleia Legislativa.",
votes,INT64,Votos apurados na linha no local de votação,,no,,vote,no,,Final FP Votes
votes_above_the_line,INT64,Total de votos acima da linha no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha. Publicado apenas para o Conselho Legislativo.",ATL
votes_below_the_line,INT64,Total de votos abaixo da linha no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha. Publicado apenas para o Conselho Legislativo.",BTL
votes_formal,INT64,Total de votos válidos no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha de candidatura.",Formal
votes_informal,INT64,Total de cédulas inválidas no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha de candidatura.",Informal
votes_total,INT64,Total de cédulas apuradas no local de votação,,no,,vote,no,"Total do local de votação, repetido em cada linha de candidatura.",Total
