name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral atribuído pela ECQ,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",electionId,ECQ identifier of the electoral event,Identificador del evento electoral asignado por la ECQ
contest_id,STRING,Identificador da disputa por uma cadeira dentro do evento eleitoral,,no,,,no,Campo electorateId da ECQ. É único dentro de cada evento eleitoral e identifica uma única disputa por cadeira.,electorateId,Identifier of the contest for a single seat within the electoral event,Identificador de la disputa por un escaño dentro del evento electoral
lga_id,STRING,Código da área de governo local no padrão ABS 2021,,no,br_bd_diretorios_au.lga_2021:id_lga,,no,"Código LGA 2021 do ABS, derivado por cruzamento validado de nomes: a ECQ mantém o sufixo legal (Shire, Regional, City) que o nome do ABS omite. Nulo nas disputas estaduais.",,Australian Bureau of Statistics 2021 code of the local government area,Código del área de gobierno local en el estándar ABS 2021
lga_code,STRING,Código da área de governo local atribuído pela própria ECQ,,no,,,no,"Campo areaCode da ECQ. Não é o código do ABS, que está em lga_id.",areaCode,Local government area code assigned by the ECQ itself,Código del área de gobierno local asignado por la propia ECQ
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,Os 93 distritos estaduais de Queensland presentes na cobertura de 2020 a 2026 correspondem exatamente à vintage 2021 do ASGS. Nulo nas disputas de governo local.,,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
government_level,STRING,Esfera de governo da disputa: estadual ou local,,yes,,,no,"Assume os valores state e local. É definido por disputa, nunca uma constante do conjunto: disputas estaduais e locais convivem nas mesmas tabelas.",,Level of government of the contest: state or local,Nivel de gobierno de la disputa: estatal o local
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, councillor e mayor.",,Type of seat contested,Tipo de escaño disputado
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential, optional_preferential e first_past_the_post. É definido por disputa: os três coexistem dentro do evento de 2024.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
lga_name,STRING,Nome da área de governo local tal como publicado pela ECQ,,no,,,no,Nulo nas disputas estaduais.,,Name of the local government area as published by the ECQ,Nombre del área de gobierno local tal como lo publica la ECQ
district_name,STRING,"Nome da disputa: distrito estadual, divisão de conselho ou cargo de prefeitura",,no,,,no,,,"Name of the contest: state district, council division or mayoral office","Nombre de la disputa: distrito estatal, división de concejo o cargo de alcaldía"
count_status,STRING,Estágio da apuração ao qual a linha se refere,,yes,,,no,"Assume os valores preliminary_unofficial, indicative_unofficial, first_preference_official, distribution_of_preferences_official e declared_unopposed. As apurações preliminar e oficial de primeira preferência divergem nos 93 distritos da eleição geral de 2024: não são recortes redundantes do mesmo número, portanto filtre sempre por count_status.",,Stage of the count the row refers to,Etapa del escrutinio a la que se refiere la fila
distribution_number,STRING,Número da etapa de distribuição de preferências,,no,,,no,Número de ordem; aritmética sobre ele não tem sentido. A ECQ também publica esta distribuição por local de votação (146.223 linhas); esse grão mais fino não está incluído nesta tabela.,distributionNumber,Number of the preference distribution step,Número de la etapa de distribución de preferencias
excluded_ballot_order_number,STRING,Posição na cédula da pessoa candidata excluída na etapa,,no,,,no,Número de ordem na cédula; aritmética sobre ele não tem sentido.,excludedBallotOrderNumber,Ballot position of the candidate excluded at this step,Posición en la boleta de la persona candidata excluida en la etapa
ballot_order_number,STRING,Posição na cédula da pessoa candidata que recebeu os votos transferidos,,no,,,no,Número de ordem na cédula; aritmética sobre ele não tem sentido.,ballotOrderNumber,Ballot position of the candidate receiving the transferred votes,Posición en la boleta de la persona candidata que recibió los votos transferidos
excluded_ballot_name,STRING,Nome na cédula da pessoa candidata excluída na etapa,,no,,,no,,excludedBallotName,Ballot name of the candidate excluded at this step,Nombre en la boleta de la persona candidata excluida en la etapa
ballot_name,STRING,Nome na cédula da pessoa candidata que recebeu os votos transferidos,,no,,,no,,ballotName,Ballot name of the candidate receiving the transferred votes,Nombre en la boleta de la persona candidata que recibió los votos transferidos
party_code,STRING,Sigla do partido da pessoa candidata,,no,,,no,,partyCode,Abbreviation of the candidate's party,Sigla del partido de la persona candidata
party_name,STRING,Nome do partido da pessoa candidata,,no,,,no,,partyName,Name of the candidate's party,Nombre del partido de la persona candidata
votes_transferred,INT64,Votos transferidos da pessoa candidata excluída para a pessoa candidata receptora,,no,,vote,no,,votesTransferred,Votes transferred from the excluded candidate to the receiving candidate,Votos transferidos de la persona candidata excluida a la persona candidata receptora
percentage_transferred,FLOAT64,Votos transferidos como percentual dos votos distribuídos na etapa,,no,,percent,no,,percentageTransferred,Transferred votes as a share of the votes distributed at this step,Votos transferidos como porcentaje de los votos distribuidos en la etapa
votes_distributed,INT64,Total de votos distribuídos na etapa,,no,,vote,no,"Total da etapa de distribuição, repetido em cada linha de pessoa candidata receptora.",votesDistributed,Total votes distributed at this step,Total de votos distribuidos en la etapa
votes_exhausted,INT64,"Votos esgotados na etapa, sem preferência seguinte válida",,no,,vote,no,"Total da etapa de distribuição, repetido em cada linha de pessoa candidata receptora.",votesExhausted,"Votes exhausted at this step, with no valid next preference","Votos agotados en la etapa, sin preferencia siguiente válida"
percentage_exhausted,FLOAT64,Votos esgotados como percentual dos votos distribuídos na etapa,,no,,percent,no,"Total da etapa de distribuição, repetido em cada linha de pessoa candidata receptora.",percentageExhausted,Exhausted votes as a share of the votes distributed at this step,Votos agotados como porcentaje de los votos distribuidos en la etapa
votes_remaining_in_count,INT64,Votos que permanecem na apuração após a etapa,,no,,vote,no,"Total da etapa de distribuição, repetido em cada linha de pessoa candidata receptora.",votesRemainingInCount,Votes remaining in the count after this step,Votos que permanecen en el escrutinio tras la etapa
