name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral atribuído pela ECQ,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados.",electionId,ECQ identifier of the electoral event,Identificador del evento electoral asignado por la ECQ
contest_id,STRING,Identificador da disputa por uma cadeira dentro do evento eleitoral,,no,,,no,Campo electorateId da ECQ. É único dentro de cada evento eleitoral e identifica uma única disputa por cadeira.,electorateId,Identifier of the contest for a single seat within the electoral event,Identificador de la disputa por un escaño dentro del evento electoral
lga_id,STRING,Código da área de governo local no padrão ABS 2021,,no,br_bd_diretorios_au.lga_2021:id_lga,,no,"Código LGA 2021 do ABS, derivado por cruzamento validado de nomes: a ECQ mantém o sufixo legal (Shire, Regional, City) que o nome do ABS omite. Nulo nas disputas estaduais.",,Australian Bureau of Statistics 2021 code of the local government area,Código del área de gobierno local en el estándar ABS 2021
lga_code,STRING,Código da área de governo local atribuído pela própria ECQ,,no,,,no,"Campo areaCode da ECQ. Não é o código do ABS, que está em lga_id.",areaCode,Local government area code assigned by the ECQ itself,Código del área de gobierno local asignado por la propia ECQ
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,br_bd_diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,Os 93 distritos estaduais de Queensland presentes na cobertura de 2020 a 2026 correspondem exatamente à vintage 2021 do ASGS. Nulo nas disputas de governo local.,,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
government_level,STRING,Esfera de governo da disputa: estadual ou local,,yes,,,no,"Assume os valores state e local. É definido por disputa, nunca uma constante do conjunto: disputas estaduais e locais convivem nas mesmas tabelas.",,Level of government of the contest: state or local,Nivel de gobierno de la disputa: estatal o local
contest_type,STRING,Tipo de cadeira disputada,,yes,,,no,"Assume os valores state_district, councillor e mayor.",,Type of seat contested,Tipo de escaño disputado
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores compulsory_preferential, optional_preferential e first_past_the_post. É definido por disputa: os três coexistem dentro do evento de 2024.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
lga_name,STRING,Nome da área de governo local tal como publicado pela ECQ,,no,,,no,Nulo nas disputas estaduais.,,Name of the local government area as published by the ECQ,Nombre del área de gobierno local tal como lo publica la ECQ
district_name,STRING,"Nome da disputa: distrito estadual, divisão de conselho ou cargo de prefeitura",,no,,,no,,,"Name of the contest: state district, council division or mayoral office","Nombre de la disputa: distrito estatal, división de concejo o cargo de alcaldía"
count_status,STRING,Estágio da apuração ao qual a linha se refere,,yes,,,no,"Assume os valores preliminary_unofficial, indicative_unofficial, first_preference_official, distribution_of_preferences_official e declared_unopposed. As apurações preliminar e oficial de primeira preferência divergem nos 93 distritos da eleição geral de 2024: não são recortes redundantes do mesmo número, portanto filtre sempre por count_status.",,Stage of the count the row refers to,Etapa del escrutinio a la que se refiere la fila
count_round_number,STRING,Número da rodada de apuração dentro do estágio,,no,,,no,Número de ordem; aritmética sobre ele não tem sentido.,countNumber,Number of the count round within the stage,Número de la ronda de escrutinio dentro de la etapa
number_to_elect,INT64,Número de cadeiras a preencher na disputa,,no,,seat,no,,numberToElect,Number of seats to be filled in the contest,Número de escaños a ocupar en la disputa
candidates_count,INT64,Número de pessoas candidatas na disputa,,no,,candidate,no,,candidateCount,Number of candidates in the contest,Número de personas candidatas en la disputa
enrolment,INT64,Número de pessoas inscritas na disputa,,no,,person,no,,enrolment,Number of electors enrolled in the contest,Número de personas inscritas en la disputa
votes_total,INT64,Total de votos apurados,,no,,vote,no,,totalVotes,Total votes counted,Total de votos escrutados
votes_formal,INT64,Total de votos válidos,,no,,vote,no,,formalVotes,Total formal votes,Total de votos válidos
votes_informal,INT64,Total de votos inválidos,,no,,vote,no,,informalVotes,Total informal votes,Total de votos inválidos
percentage_formal,FLOAT64,Votos válidos como percentual do total apurado,,no,,percent,no,,formalPercentage,Formal votes as a share of the total count,Votos válidos como porcentaje del total escrutado
percentage_informal,FLOAT64,Votos inválidos como percentual do total apurado,,no,,percent,no,,informalPercentage,Informal votes as a share of the total count,Votos inválidos como porcentaje del total escrutado
percentage_roll_counted,FLOAT64,Votos apurados como percentual das pessoas inscritas,,no,,percent,no,,percentageRollCounted,Votes counted as a share of enrolled electors,Votos escrutados como porcentaje de las personas inscritas
voting_method,STRING,Método de votação ao qual os totais se referem,,yes,,,no,,votingMethod,Voting method the totals refer to,Método de votación al que se refieren los totales
is_final,STRING,Indica se a rodada de apuração é a final do estágio,,yes,,,no,Assume os valores yes e no.,,Whether the count round is the final one of the stage,Indica si la ronda de escrutinio es la final de la etapa
last_updated,DATETIME,Momento da última atualização da rodada de apuração pela ECQ,,no,,,no,"As 64 disputas decididas sem apuração, com count_status igual a declared_unopposed, trazem uma única linha com as colunas de votos nulas.",lastUpdated,Time the count round was last updated by the ECQ,Momento de la última actualización de la ronda de escrutinio por la ECQ
