name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano: em 2021 e em 2022 houve eleição da Casa de Assembleia ou eleição suplementar no mesmo ano das eleições periódicas do Conselho Legislativo.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados. Assume valores como hoa2025, lc2024 e lc2022pembroke.",,Identifier of the electoral event,Identificador del evento electoral
contest_id,STRING,Identificador da disputa por uma divisão dentro do evento eleitoral,,no,,,no,"Concatenação de election_id e do slug da divisão, como em hoa2025-bass. É único dentro do conjunto.",,Identifier of the contest for a single division within the electoral event,Identificador de la disputa por una división dentro del evento electoral
chamber,STRING,Câmara do parlamento da Tasmânia à qual a disputa se refere,,yes,,,no,"Assume os valores house_of_assembly e legislative_council. As duas câmaras usam sistemas eleitorais diferentes e divisões geográficas que se sobrepõem sem coincidir, por isso a coluna é definida por disputa.",,Chamber of the Tasmanian parliament the contest refers to,Cámara del parlamento de Tasmania a la que se refiere la disputa
government_level,STRING,Esfera de governo da disputa,,yes,,,no,"Assume o valor state. A coluna é definida por disputa, e não como constante do conjunto, para que as eleições de governo local, também administradas pela TEC e ainda não incluídas, possam ser acrescentadas a estas mesmas tabelas sem reestruturá-las.",,Level of government of the contest,Nivel de gobierno de la disputa
contest_type,STRING,Tipo de divisão disputada,,yes,,,no,Assume os valores house_of_assembly_division e legislative_council_division.,,Type of division contested,Tipo de división disputada
voting_system,STRING,Sistema de votação aplicado à disputa,,yes,,,no,"Assume os valores hare_clark e preferential. A Casa de Assembleia usa Hare-Clark, o voto único transferível em divisões de múltiplas cadeiras com rotação Robson; o Conselho Legislativo usa voto preferencial em divisões de cadeira única.",,Voting system applied to the contest,Sistema de votación aplicado a la disputa
district_name,STRING,Nome da divisão disputada,,no,,,no,"Divisão da Casa de Assembleia ou divisão do Conselho Legislativo. Denison é a mesma divisão que Clark: o nome mudou por emenda ao Constitution Act sancionada em 28 de setembro de 2018, depois da eleição de 2018 e antes da de 2021.",,Name of the division contested,Nombre de la división disputada
commonwealth_electoral_division_id,STRING,"Código da divisão eleitoral federal correspondente, no padrão ASGS 2021 do ABS",,no,diretorios_au.commonwealth_electoral_division_2021:id_commonwealth_electoral_division,,no,"As cinco divisões da Casa de Assembleia coincidem com as cinco divisões federais da Tasmânia, conforme a própria TEC: as divisões estaduais têm as mesmas fronteiras das divisões federais da Câmara dos Representantes. Denison, usada até 2018, corresponde a Clark. Nulo em toda disputa do Conselho Legislativo, cujas 15 divisões não têm correspondente federal.",,Australian Statistical Geography Standard 2021 code of the corresponding Commonwealth electoral division,"Código de la división electoral federal correspondiente, en el estándar ASGS 2021 del ABS"
state_electoral_division_id,STRING,Código do distrito eleitoral estadual no padrão ASGS 2021 do ABS,,no,diretorios_au.state_electoral_division_2021:id_state_electoral_division,,no,"Nulo em todas as linhas. A camada state_electoral_division do ABS para a Tasmânia não é a de nenhuma das duas câmaras, e sim a interseção das duas, com 22 registros de nomes como Bass (Launceston) e Clark (Elwick): o ABS precisa de uma camada sem sobreposição e a Tasmânia tem dois sistemas que se sobrepõem. A coluna é mantida para compatibilidade com os demais estados, onde ela é preenchida; aqui o vínculo geográfico está em commonwealth_electoral_division_id.",,Australian Statistical Geography Standard 2021 code of the state electoral division,Código del distrito electoral estatal en el estándar ASGS 2021 del ABS
enrolment,INT64,Número de pessoas inscritas na divisão,,no,,person,no,,,Number of electors enrolled in the division,Número de personas inscritas en la división
votes_total,INT64,Total de cédulas apuradas,,no,,vote,no,,,Total ballot papers counted,Total de boletas escrutadas
votes_formal,INT64,Total de votos válidos,,no,,vote,no,,,Total formal votes,Total de votos válidos
votes_informal,INT64,Total de votos inválidos,,no,,vote,no,,,Total informal votes,Total de votos inválidos
percentage_turnout,FLOAT64,Cédulas apuradas como percentual das pessoas inscritas,,no,,percent,no,,,Ballot papers counted as a share of enrolled electors,Boletas escrutadas como porcentaje de las personas inscritas
percentage_informal,FLOAT64,Votos inválidos como percentual das cédulas apuradas,,no,,percent,no,,,Informal votes as a share of ballot papers counted,Votos inválidos como porcentaje de las boletas escrutadas
quota,INT64,Quota necessária para a eleição na disputa,,no,,vote,no,"Quota de Droop, igual à parte inteira dos votos válidos divididos pelo número de cadeiras mais um, somada de um. No Conselho Legislativo, com uma cadeira, equivale à maioria absoluta.",,Quota required for election in the contest,Cuota necesaria para la elección en la disputa
seats_to_elect,INT64,Número de cadeiras a preencher na disputa,,no,,seat,no,,,Number of seats to be filled in the contest,Número de escaños a ocupar en la disputa
candidates_count,INT64,Número de pessoas candidatas na disputa,,no,,candidate,no,,,Number of candidates in the contest,Número de personas candidatas en la disputa
