name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do evento eleitoral,,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento. Vários eventos eleitorais podem compartilhar o mesmo ano: em 2021 e em 2022 houve eleição da Casa de Assembleia ou eleição suplementar no mesmo ano das eleições periódicas do Conselho Legislativo.,,Year of the electoral event,Año del evento electoral
election_id,STRING,Identificador do evento eleitoral,,no,,,no,"Chave estrangeira para a tabela election, presente em todas as tabelas de resultados. Assume valores como hoa2025, lc2024 e lc2022pembroke.",,Identifier of the electoral event,Identificador del evento electoral
voting_centre_name,STRING,Nome do local de votação,,no,,,no,"Inclui, além dos locais de votação do dia da eleição, as categorias de voto especial publicadas pela TEC na mesma tabela, como voto postal, voto antecipado e voto fora da divisão.",,Name of the voting centre,Nombre del local de votación
locality,STRING,Localidade do local de votação,,no,,,no,,,Locality of the voting centre,Localidad del local de votación
premise_name,STRING,Nome do estabelecimento que sedia o local de votação,,no,,,no,,,Name of the premise hosting the voting centre,Nombre del establecimiento que alberga el local de votación
premise_address,STRING,Endereço do estabelecimento que sedia o local de votação,,no,,,no,,,Address of the premise hosting the voting centre,Dirección del establecimiento que alberga el local de votación
postcode,STRING,Código postal do local de votação,,no,,,no,"Código postal, não uma quantidade; publicado como texto.",,Postcode of the voting centre,Código postal del local de votación
state_abbreviation,STRING,Sigla do estado do local de votação,,no,,,no,"Constante em TAS. O vínculo com o diretório de estados é real, mas o backend só aceita chave estrangeira para a coluna marcada como chave primária do diretório, e a chave de diretorios_au.state é id_state, não abbreviation.",,State abbreviation of the voting centre,Sigla del estado del local de votación
location_within_premise,STRING,Localização do local de votação dentro do estabelecimento,,no,,,no,,,Location of the voting centre within the premise,Ubicación del local de votación dentro del establecimiento
disabled_access,STRING,Nível de acessibilidade do local de votação,,yes,,,no,"Assume os valores publicados pela TEC, entre eles Full, Assistance e None.",,Level of accessibility of the voting centre,Nivel de accesibilidad del local de votación
district_name,STRING,Nome da divisão atendida pelo local de votação,,no,,,no,"O grão da tabela é uma linha por evento eleitoral, local de votação e divisão atendida: um local que atende duas divisões aparece duas vezes.",,Name of the division served by the voting centre,Nombre de la división atendida por el local de votación
