name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,First calendar year of the Australian financial year projected,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Partition column. The report projects at ten-year intervals, so only 2022, 2032, 2042, 2052 and 2062 appear",(column heading)
financial_year,STRING,"Australian financial year projected, written as published",,no,,,no,,(column heading)
igr_edition,STRING,Edition of the Intergenerational Report the projection comes from,,no,,,no,"Only the 2023 edition is present. The 2021 edition published chart data but no Word bundle, so its projection tables exist only inside the PDF, and the 2015 edition published neither",(document)
scenario,STRING,"Projection scenario: the baseline, or one of six sensitivity variants",,yes,,,no,"The six variants move one assumption at a time and are published for 2062-63 only, so earlier years carry the baseline alone",(column heading)
measure_category,STRING,"Broad grouping of the measure: demographic, economic, fiscal or payments",,yes,,,no,,(table grouping)
measure,STRING,Quantity projected,,no,,,no,"The report's own row label, slugged. Not covered by the dictionary: the 47 values are plain indicator and program names that the report does not code, unlike the aggregate table's measures, whose definitions the dictionary carries",(row label)
source_table,STRING,"Appendix table the row was built from, comma separated",,no,,,no,A1.1 to A1.4 are the projections summary; A4.2 is the sensitivity analysis,(table number)
value_percent_gdp,FLOAT64,Value as a percentage of nominal gross domestic product,,no,,percent,no,,(cell value)
value_aud_per_person_real,FLOAT64,Value per person in real Australian dollars of 2022-23,,no,,,no,The measurement unit is empty because the backend has no AUD unit,(cell value)
value_percent,FLOAT64,"Value as a percentage, for growth rates and participation rates",,no,,percent,no,,(cell value)
value_persons_million,FLOAT64,Value in millions of people,,no,,,no,The measurement unit is empty because the published figure is in millions to one decimal place and rescaling it to persons would imply a precision the source does not carry,(cell value)
value_years,FLOAT64,"Value in years, for life expectancy at birth",,no,,year,no,,(cell value)
value_births_per_woman,FLOAT64,"Total fertility rate, in births per woman",,no,,,no,The measurement unit is empty because the backend has no births-per-woman unit,(cell value)
