name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,INT64,Ano do lançamento da despesa,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, derivada de 'Ano e mês do lançamento' (formato AAAA/MM)",Ano e mês do lançamento
mes,INT64,Mês do lançamento da despesa,,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"Coluna de partição, derivada de 'Ano e mês do lançamento' (formato AAAA/MM)",Ano e mês do lançamento
id_orgao_superior,STRING,"Código do órgão superior responsável pela despesa, em geral um ministério",,no,,,no,,Código Órgão Superior
nome_orgao_superior,STRING,Nome do órgão superior responsável pela despesa,,no,,,no,,Nome Órgão Superior
id_orgao_subordinado,STRING,Código do órgão subordinado responsável pela despesa,,no,,,no,,Código Órgão Subordinado
nome_orgao_subordinado,STRING,Nome do órgão subordinado responsável pela despesa,,no,,,no,,Nome Órgão Subordinado
id_unidade_gestora,STRING,"Código da unidade gestora, a unidade administrativa que executa o gasto no SIAFI",,no,,,no,Assume o sentinela '-3' quando a unidade gestora não é identificada; o nome correspondente é 'Inválido',Código Unidade Gestora
nome_unidade_gestora,STRING,Nome da unidade gestora,,no,,,no,Assume 'Inválido' quando a unidade gestora não é identificada,Nome Unidade Gestora
id_gestao,STRING,"Código da gestão, que identifica o conjunto orçamentário-financeiro a que a unidade gestora pertence",,no,,,no,,Código Gestão
nome_gestao,STRING,Nome da gestão,,no,,,no,,Nome Gestão
id_unidade_orcamentaria,STRING,"Código da unidade orçamentária, menor nível da estrutura administrativa a que se aloca a dotação",,no,,,no,,Código Unidade Orçamentária
nome_unidade_orcamentaria,STRING,Nome da unidade orçamentária,,no,,,no,,Nome Unidade Orçamentária
id_funcao,STRING,Código da função de governo em que a despesa foi classificada,,no,,,no,,Código Função
nome_funcao,STRING,Nome da função de governo em que a despesa foi classificada,,no,,,no,,Nome Função
id_subfuncao,STRING,"Código da subfunção, que detalha a função em áreas de atuação mais específicas",,no,,,no,O cabeçalho da fonte traz a grafia incorreta 'Código Subfução',Código Subfução
nome_subfuncao,STRING,Nome da subfunção,,no,,,no,,Nome Subfunção
id_programa_orcamentario,STRING,"Código do programa orçamentário, instrumento do plano plurianual que articula ações para um objetivo",,no,,,no,,Código Programa Orçamentário
nome_programa_orcamentario,STRING,Nome do programa orçamentário,,no,,,no,,Nome Programa Orçamentário
id_acao,STRING,"Código da ação orçamentária, menor unidade de programação que gera bem ou serviço",,no,,,no,Alfanumérico: assume valores como '20RL' além de códigos puramente numéricos,Código Ação
nome_acao,STRING,Nome da ação orçamentária,,no,,,no,,Nome Ação
id_plano_orcamentario,STRING,"Código do plano orçamentário, subdivisão da ação usada no detalhamento gerencial da despesa",,no,,,no,,Código Plano Orçamentário
nome_plano_orcamentario,STRING,Nome do plano orçamentário,,no,,,no,,Plano Orçamentário
id_programa_governo,STRING,Código do programa de governo associado à despesa,,no,,,no,Assume o sentinela '-1' quando não há programa de governo associado; '00' predomina,Código Programa Governo
nome_programa_governo,STRING,Nome do programa de governo associado à despesa,,no,,,no,Quase sempre 'Sem informação'; valores reais são raros,Nome Programa Governo
sigla_uf,STRING,Sigla da unidade da federação do localizador da despesa,,no,br_bd_diretorios_brasil.uf:sigla,,no,Vazia em cerca de dois terços das linhas: só é preenchida quando o localizador da ação tem recorte estadual,UF
