id_tabela,nome_coluna,chave,cobertura_temporal,valor
microdados_domicilio_2022,id_regiao,1,(1),Região Norte (uf=11 a 17)
microdados_domicilio_2022,id_regiao,2,(1),Região Nordeste (uf=21 a 29)
microdados_domicilio_2022,id_regiao,3,(1),Região Sudeste (uf=31 a 33 e 35)
microdados_domicilio_2022,id_regiao,4,(1),Região Sul (uf=41 a 43)
microdados_domicilio_2022,id_regiao,5,(1),Região Centro-oeste (uf=50 a 53)
microdados_domicilio_2022,situacao_setor,01,(1),Área urbana de alta densidade de edificações
microdados_domicilio_2022,situacao_setor,02,(1),Área urbana de baixa densidade de edificações
microdados_domicilio_2022,situacao_setor,03,(1),Núcleo urbano
microdados_domicilio_2022,situacao_setor,05,(1),Povoado
microdados_domicilio_2022,situacao_setor,06,(1),Núcleo rural
microdados_domicilio_2022,situacao_setor,07,(1),Lugarejo
microdados_domicilio_2022,situacao_setor,08,(1),Área rural (exclusive aglomerados)
microdados_domicilio_2022,d0130,01,(1),Domicílio particular permanente ocupado
microdados_domicilio_2022,d0130,05,(1),Domicílio particular improvisado ocupado
microdados_domicilio_2022,d0130,06,(1),Domicílio coletivo com morador
microdados_domicilio_2022,situacao_domicilio,1,(1),Urbana
microdados_domicilio_2022,situacao_domicilio,2,(1),Rural
microdados_domicilio_2022,d0170,1,(1),Masculino
microdados_domicilio_2022,d0170,2,(1),Feminino
microdados_domicilio_2022,d0170,9,(1),Ignorado
microdados_domicilio_2022,d0180,01,(1),0 a 4 anos
microdados_domicilio_2022,d0180,02,(1),5 a 9 anos
microdados_domicilio_2022,d0180,03,(1),10 a 14 anos
microdados_domicilio_2022,d0180,04,(1),15 a 19 anos
microdados_domicilio_2022,d0180,05,(1),20 a 24 anos
microdados_domicilio_2022,d0180,06,(1),25 a 29 anos
microdados_domicilio_2022,d0180,07,(1),30 a 34 anos
microdados_domicilio_2022,d0180,08,(1),35 a 39 anos
microdados_domicilio_2022,d0180,09,(1),40 a 44 anos
microdados_domicilio_2022,d0180,10,(1),45 a 49 anos
microdados_domicilio_2022,d0180,11,(1),50 a 54 anos
microdados_domicilio_2022,d0180,12,(1),55 a 59 anos
microdados_domicilio_2022,d0180,13,(1),60 a 64 anos
microdados_domicilio_2022,d0180,14,(1),65 a 69 anos
microdados_domicilio_2022,d0180,15,(1),70 a 74 anos
microdados_domicilio_2022,d0180,16,(1),75 a 79 anos
microdados_domicilio_2022,d0180,17,(1),80 anos ou mais
microdados_domicilio_2022,d0180,99,(1),Ignorado
microdados_domicilio_2022,d0190,1,(1),"Próprio de algum morador Já pago, herdado ou ganho"
microdados_domicilio_2022,d0190,2,(1),Próprio de algum morador Ainda pagando
microdados_domicilio_2022,d0190,3,(1),Alugado
microdados_domicilio_2022,d0190,4,(1),Cedido ou emprestado Por empregador
microdados_domicilio_2022,d0190,5,(1),Cedido ou emprestado Por familiar
microdados_domicilio_2022,d0190,6,(1),Cedido ou emprestado Outra forma
microdados_domicilio_2022,d0190,7,(1),Outra condição
microdados_domicilio_2022,d0200,11,(1),(Permanente ocupada) Casa
microdados_domicilio_2022,d0200,12,(1),(Permanente ocupada) Casa de vila ou em condomínio
microdados_domicilio_2022,d0200,13,(1),(Permanente ocupada) Apartamento
microdados_domicilio_2022,d0200,14,(1),(Permanente ocupada) Habitação em casa de cômodos ou cortiço
microdados_domicilio_2022,d0200,15,(1),(Permanente ocupada) Habitação indígena sem paredes ou maloca
microdados_domicilio_2022,d0200,16,(1),(Permanente ocupada) Estrutura residencial permanente degradada ou inacabada
microdados_domicilio_2022,d0200,51,(1),"(Improvisado ocupada) Tenda ou barraca de lona, plástico ou Tecido ou estrutura improvisada em logradouro público"
microdados_domicilio_2022,d0200,52,(1),(Improvisado ocupada) Dentro de estabelecimento em Funcionamento
microdados_domicilio_2022,d0200,53,(1),(Improvisado ocupada) Estrutura não residencial permanente degradada ou inacabada
microdados_domicilio_2022,d0200,54,(1),"(Improvisado ocupada) Outros (veículos, abrigos naturais e outras estruturas improvisadas)"
microdados_domicilio_2022,d0200,61,(1),(Coletivo com morador) Asilo ou outra instituição de longa permanência para idosos
microdados_domicilio_2022,d0200,62,(1),(Coletivo com morador) Hotel ou pensão
microdados_domicilio_2022,d0200,63,(1),(Coletivo com morador) Alojamento
microdados_domicilio_2022,d0200,64,(1),"(Coletivo com morador) Penitenciária, Centro de Detenção e similar"
microdados_domicilio_2022,d0200,65,(1),"(Coletivo com morador) Abrigo, albergue, casa de passagem, Clínica psiquiátrica, comunidade terapêutica, orfanato e similares"
microdados_domicilio_2022,d0200,66,(1),(Coletivo com morador) Outro
microdados_domicilio_2022,d0210,1,(1),Alvenaria ou taipa COM revestimento
microdados_domicilio_2022,d0210,2,(1),Alvenaria SEM revestimento
microdados_domicilio_2022,d0210,3,(1),Taipa sem revestimento
microdados_domicilio_2022,d0210,4,(1),Madeira para construção
microdados_domicilio_2022,d0210,5,(1),"Madeira aproveitada de tapume, embalagens, andaimes"
microdados_domicilio_2022,d0210,6,(1),Outro material
microdados_domicilio_2022,d0210,7,(1),Sem parede
microdados_domicilio_2022,d0250,1,(1),Rede geral ou pluvial
microdados_domicilio_2022,d0250,2,(1),Fossa séptica ou fossa filtro Ligada à rede
microdados_domicilio_2022,d0250,3,(1),Fossa séptica ou fossa filtro Não ligada à rede
microdados_domicilio_2022,d0250,4,(1),Fossa rudimentar ou buraco
microdados_domicilio_2022,d0250,5,(1),Vala
microdados_domicilio_2022,d0250,6,(1),"Rio, lago, córrego ou mar"
microdados_domicilio_2022,d0250,7,(1),Outra forma
microdados_domicilio_2022,d0250,9,(1),Não tem banheiro nem sanitário
microdados_domicilio_2022,d0260,1,(1),Rede geral de distribuição
microdados_domicilio_2022,d0260,2,(1),Poço  Profundo ou artesiano
microdados_domicilio_2022,d0260,3,(1),"Poço  Raso, freático ou cacimba"
microdados_domicilio_2022,d0260,4,(1),"Fonte, nascente ou mina"
microdados_domicilio_2022,d0260,5,(1),Carro-pipa
microdados_domicilio_2022,d0260,6,(1),Água da chuva armazenada
microdados_domicilio_2022,d0260,7,(1),"Rios, açudes, córregos, lagos e igarapés"
microdados_domicilio_2022,d0260,8,(1),Outra
microdados_domicilio_2022,d0270,1,(1),Tem banheiro de uso exclusivo do domicílio - 1 banheiro
microdados_domicilio_2022,d0270,2,(1),Tem banheiro de uso exclusivo do domicílio - 2 banheiros
microdados_domicilio_2022,d0270,3,(1),Tem banheiro de uso exclusivo do domicílio - 3 banheiros
microdados_domicilio_2022,d0270,4,(1),Tem banheiro de uso exclusivo do domicílio - 4 banheiros ou mais
microdados_domicilio_2022,d0270,5,(1),Apenas banheiro de uso comum a mais de um domicílio
microdados_domicilio_2022,d0270,6,(1),"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno"
microdados_domicilio_2022,d0270,7,(1),Não tem banheiro nem sanitário
microdados_domicilio_2022,d0290,1,(1),Sim
microdados_domicilio_2022,d0290,2,(1),Não
microdados_domicilio_2022,d0300,1,(1),"Encanada até dentro da casa, apartamento ou habitação"
microdados_domicilio_2022,d0300,2,(1),"Encanada, mas apenas no terreno"
microdados_domicilio_2022,d0300,3,(1),Não chega encanada
microdados_domicilio_2022,d0310,1,(1),Coletado no domicílio por serviço de limpeza
microdados_domicilio_2022,d0310,2,(1),Depositado em caçamba de serviço de limpeza
microdados_domicilio_2022,d0310,3,(1),Queimado na propriedade
microdados_domicilio_2022,d0310,4,(1),Enterrado na propriedade
microdados_domicilio_2022,d0310,5,(1),"Jogado em terreno baldio, encosta ou área pública"
microdados_domicilio_2022,d0310,6,(1),Outro destino
microdados_domicilio_2022,d0320,1,(1),Sim
microdados_domicilio_2022,d0320,2,(1),Não
microdados_domicilio_2022,d0330,1,(1),Sim
microdados_domicilio_2022,d0330,2,(1),Não
microdados_domicilio_2022,d0340,1,(1),Sim
microdados_domicilio_2022,d0340,2,(1),Não
microdados_domicilio_2022,d0340,9,(1),Ignorado
microdados_domicilio_2022,md0130,0,(1),Não Imputado
microdados_domicilio_2022,md0130,1,(1),Imputado
