name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
chave,STRING,Código da classe de cobertura e uso da terra na legenda do MapBiomas,Code of the land cover and land use class in the MapBiomas legend,Código de la clase de cobertura y uso del suelo en la leyenda de MapBiomas,,no,,,no,,class
nivel,STRING,"Nível da legenda em que a classe é definida, de 1 a 4","Legend level at which the class is defined, from 1 to 4","Nivel de la leyenda en que se define la clase, de 1 a 4",,no,,,no,,
origem,STRING,"Origem da classe: Natural, Antrópico, Natural/Antrópico ou Indefinido","Origin of the class: natural, anthropic, natural/anthropic or undefined","Origen de la clase: natural, antrópico, natural/antrópico o indefinido",,no,,,no,,class_level_0
codigo_hierarquia,STRING,"Código hierárquico da classe na planilha de estatísticas, como 3.2.1.1","Hierarchical code of the class in the statistics workbook, such as 3.2.1.1","Código jerárquico de la clase en la planilla de estadísticas, como 3.2.1.1",,no,,,no,"Segue a numeração da planilha de estatísticas, que difere da numeração do PDF de legenda para algumas classes.",class_level_4
valor_pt,STRING,Nome da classe em português,Portuguese name of the class,Nombre de la clase en portugués,,no,,,no,"Repete o rótulo do nível mais profundo em que a classe é definida, isto é, nivel_4_pt.",class_level_4
valor_en,STRING,Nome da classe em inglês,English name of the class,Nombre de la clase en inglés,,no,,,no,"Repete o rótulo do nível mais profundo em que a classe é definida, isto é, nivel_4_en.",class_level_4
valor_es,STRING,Nome da classe em espanhol,Spanish name of the class,Nombre de la clase en español,,no,,,no,"Repete o rótulo do nível mais profundo em que a classe é definida, isto é, nivel_4_es.",class_level_4
nivel_1_pt,STRING,Rótulo em português da classe no nível 1 da legenda,Portuguese label of the class at legend level 1,Etiqueta en portugués de la clase en el nivel 1 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_1
nivel_1_en,STRING,Rótulo em inglês da classe no nível 1 da legenda,English label of the class at legend level 1,Etiqueta en inglés de la clase en el nivel 1 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_1
nivel_1_es,STRING,Rótulo em espanhol da classe no nível 1 da legenda,Spanish label of the class at legend level 1,Etiqueta en español de la clase en el nivel 1 de la leyenda,,no,,,no,Tradução da Base dos Dados. O MapBiomas Brasil não publica legenda em espanhol.,class_level_1
nivel_2_pt,STRING,Rótulo em português da classe no nível 2 da legenda,Portuguese label of the class at legend level 2,Etiqueta en portugués de la clase en el nivel 2 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_2
nivel_2_en,STRING,Rótulo em inglês da classe no nível 2 da legenda,English label of the class at legend level 2,Etiqueta en inglés de la clase en el nivel 2 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_2
nivel_2_es,STRING,Rótulo em espanhol da classe no nível 2 da legenda,Spanish label of the class at legend level 2,Etiqueta en español de la clase en el nivel 2 de la leyenda,,no,,,no,Tradução da Base dos Dados. O MapBiomas Brasil não publica legenda em espanhol.,class_level_2
nivel_3_pt,STRING,Rótulo em português da classe no nível 3 da legenda,Portuguese label of the class at legend level 3,Etiqueta en portugués de la clase en el nivel 3 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_3
nivel_3_en,STRING,Rótulo em inglês da classe no nível 3 da legenda,English label of the class at legend level 3,Etiqueta en inglés de la clase en el nivel 3 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_3
nivel_3_es,STRING,Rótulo em espanhol da classe no nível 3 da legenda,Spanish label of the class at legend level 3,Etiqueta en español de la clase en el nivel 3 de la leyenda,,no,,,no,Tradução da Base dos Dados. O MapBiomas Brasil não publica legenda em espanhol.,class_level_3
nivel_4_pt,STRING,Rótulo em português da classe no nível 4 da legenda,Portuguese label of the class at legend level 4,Etiqueta en portugués de la clase en el nivel 4 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_4
nivel_4_en,STRING,Rótulo em inglês da classe no nível 4 da legenda,English label of the class at legend level 4,Etiqueta en inglés de la clase en el nivel 4 de la leyenda,,no,,,no,Rótulo oficial da legenda publicada pelo MapBiomas.,class_level_4
nivel_4_es,STRING,Rótulo em espanhol da classe no nível 4 da legenda,Spanish label of the class at legend level 4,Etiqueta en español de la clase en el nivel 4 de la leyenda,,no,,,no,Tradução da Base dos Dados. O MapBiomas Brasil não publica legenda em espanhol.,class_level_4
cor_hex,STRING,Cor hexadecimal da classe na legenda oficial do MapBiomas,Hexadecimal colour of the class in the official MapBiomas legend,Color hexadecimal de la clase en la leyenda oficial de MapBiomas,,no,,,no,Vazio para classes ausentes da legenda publicada.,hex_code
observacoes,STRING,Notas sobre divergências entre a tabela de estatísticas e a legenda publicada,Notes on divergences between the statistics table and the published legend,Notas sobre divergencias entre la tabla de estadísticas y la leyenda publicada,,no,,,no,,
