name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,INT64,Ano de referência do mapeamento de cobertura e uso da terra,Reference year of the land cover and land use mapping,Año de referencia del mapeo de cobertura y uso del suelo,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,y<ano>
sigla_uf,STRING,Sigla da Unidade da Federação,Abbreviation of the Federative Unit,Sigla de la Unidad Federativa,,no,br_bd_diretorios_brasil.uf:sigla,,no,"Derivada dos dois primeiros dígitos do código do município, e não da coluna de estado da fonte. As duas divergem para Ibateguara (2703007, Alagoas), que a fonte também registra sob Pernambuco para uma faixa de 0,088 ha.",state
id_municipio,STRING,Código IBGE de sete dígitos do município,Seven-digit IBGE code of the municipality,Código IBGE de siete dígitos del municipio,,no,br_bd_diretorios_brasil.municipio:id_municipio,,no,"Os códigos 4300001 (Lagoa Mirim) e 4300002 (Lagoa dos Patos) são corpos d'água aos quais o IBGE atribui código na malha municipal, mas que não são municípios e por isso não constam do diretório. Fernando de Noronha (2605459) não é mapeado pelo MapBiomas e não aparece nesta tabela.",geocode
id_classe,STRING,Código da classe de cobertura e uso da terra na legenda do MapBiomas,Code of the land cover and land use class in the MapBiomas legend,Código de la clase de cobertura y uso del suelo en la leyenda de MapBiomas,,no,,,no,Rótulos e hierarquia completa na tabela classe.,class
bioma,STRING,Bioma ao qual pertence a porção do território descrita nesta linha,Biome to which the portion of territory described in this row belongs,Bioma al que pertenece la porción de territorio descrita en esta fila,,no,,,no,Territórios que se estendem por mais de um bioma aparecem em uma linha por bioma. A área total é a soma das linhas de todos os biomas e classes.,biome
nivel_1,STRING,Classe de cobertura e uso da terra no nível 1 da legenda,Land cover and land use class at legend level 1,Clase de cobertura y uso del suelo en el nivel 1 de la leyenda,,no,,,no,,class_level_1
nivel_2,STRING,Classe de cobertura e uso da terra no nível 2 da legenda,Land cover and land use class at legend level 2,Clase de cobertura y uso del suelo en el nivel 2 de la leyenda,,no,,,no,"Classes definidas em nível mais alto repetem o próprio rótulo nos níveis seguintes, como na fonte.",class_level_2
nivel_3,STRING,Classe de cobertura e uso da terra no nível 3 da legenda,Land cover and land use class at legend level 3,Clase de cobertura y uso del suelo en el nivel 3 de la leyenda,,no,,,no,,class_level_3
nivel_4,STRING,Classe de cobertura e uso da terra no nível 4 da legenda,Land cover and land use class at legend level 4,Clase de cobertura y uso del suelo en el nivel 4 de la leyenda,,no,,,no,,class_level_4
area,FLOAT64,"Área ocupada pela classe no território, no bioma e no ano","Area occupied by the class in the territory, biome and year","Área ocupada por la clase en el territorio, el bioma y el año",,no,,hectare,no,"Área do raster de 30 metros recortado pelos limites territoriais, e não a área legal do território.",y<ano>
