name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de início da vigência da ata,2023(1)2027,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento, derivada da data correspondente",,Year of the start of the price record's validity,Año de el inicio de la vigencia del acta
numero_controle_pncp_ata,STRING,Número de controle da ata no PNCP,,no,,,no,Junta com a tabela ata_registro_preco,numeroControlePncpAta,PNCP control number of the price record,Número de control del acta en el PNCP
numero_item,STRING,Número do item dentro da ata,,no,,,no,Com numero_controle_pncp_ata e classificacao_fornecedor forma a chave primária,numeroItem,Item number within the price record,Número del ítem dentro del acta
classificacao_fornecedor,STRING,Posição do fornecedor na classificação do item,,no,,,no,Um item pode registrar vários fornecedores classificados,classificacaoFornecedor,Rank of the supplier for the item,Posición del proveedor en la clasificación del ítem
numero_ata_registro_preco,STRING,Número da ata de registro de preços,,no,,,no,,numeroAtaRegistroPreco,Number of the price record,Número del acta de registro de precios
numero_controle_pncp_compra,STRING,Número de controle da contratação de origem no PNCP,,no,,,no,,numeroControlePncpCompra,PNCP control number of the originating procurement,Número de control de la contratación de origen en el PNCP
id_compra,STRING,Identificador da contratação de origem no SIASG,,no,,,no,,idCompra,Identifier of the originating procurement in SIASG,Identificador de la contratación de origen en el SIASG
numero_compra,STRING,Número da contratação de origem,,no,,,no,,numeroCompra,Number of the originating procurement,Número de la contratación de origen
ano_compra,INT64,Ano da contratação de origem,,no,,year,no,,anoCompra,Year of the originating procurement,Año de la contratación de origen
codigo_unidade_gerenciadora,STRING,Código da UASG gerenciadora da ata,,no,,,no,,codigoUnidadeGerenciadora,Code of the UASG managing the price record,Código de la UASG gestora del acta
nome_unidade_gerenciadora,STRING,Nome da UASG gerenciadora da ata,,no,,,no,,nomeUnidadeGerenciadora,Name of the UASG managing the price record,Nombre de la UASG gestora del acta
codigo_modalidade_compra,STRING,Código da modalidade da contratação de origem,,yes,,,no,,codigoModalidadeCompra,Code of the originating procurement's modality,Código de la modalidad de la contratación de origen
modalidade_compra,STRING,Modalidade da contratação de origem,,no,,,no,,nomeModalidadeCompra,Modality of the originating procurement,Modalidad de la contratación de origen
codigo_item,STRING,Código do item nos catálogos CATMAT ou CATSER,,no,,,no,,codigoItem,Code of the item in the CATMAT or CATSER catalogues,Código del ítem en los catálogos CATMAT o CATSER
descricao_item,STRING,Descrição do item registrado,,no,,,no,,descricaoItem,Description of the recorded item,Descripción del ítem registrado
tipo_item,STRING,Indica se o item é material ou serviço,,no,,,no,,tipoItem,Whether the item is a material or a service,Indica si el ítem es material o servicio
codigo_pdm,STRING,Código do Padrão Descritivo de Material do item,,no,,,no,,codigoPdm,Code of the item's material descriptive standard,Código del Patrón Descriptivo de Material del ítem
nome_pdm,STRING,Nome do Padrão Descritivo de Material do item,,no,,,no,,nomePdm,Name of the item's material descriptive standard,Nombre del Patrón Descriptivo de Material del ítem
id_fornecedor,STRING,CNPJ ou CPF do fornecedor registrado,,no,,,no,,niFornecedor,Taxpayer number of the recorded supplier,CNPJ o CPF del proveedor registrado
nome_fornecedor,STRING,Nome ou razão social do fornecedor registrado,,no,,,no,,nomeRazaoSocialFornecedor,Name of the recorded supplier,Nombre o razón social del proveedor registrado
situacao_sicaf,STRING,Código da situação do fornecedor no SICAF,,yes,,,no,,situacaoSicaf,Code of the supplier's status in SICAF,Código de la situación del proveedor en el SICAF
quantidade_homologada_item,FLOAT64,Quantidade total homologada para o item,,no,,unit,no,,quantidadeHomologadaItem,Total quantity awarded for the item,Cantidad total homologada para el ítem
quantidade_homologada_vencedor,FLOAT64,Quantidade homologada para este fornecedor,,no,,unit,no,,quantidadeHomologadaVencedor,Quantity awarded to this supplier,Cantidad homologada para este proveedor
quantidade_empenhada,FLOAT64,Quantidade já empenhada do item,,no,,unit,no,,quantidadeEmpenhada,Quantity of the item already committed,Cantidad ya comprometida del ítem
maximo_adesao,FLOAT64,Quantidade máxima permitida para adesões de outras unidades,,no,,unit,no,,maximoAdesao,Maximum quantity allowed for other units to piggyback on the record,Cantidad máxima permitida para adhesiones de otras unidades
valor_unitario,FLOAT64,Valor unitário registrado,,no,,BRL,no,,valorUnitario,Recorded unit value,Valor unitario registrado
valor_total,FLOAT64,Valor total registrado para o item,,no,,BRL,no,,valorTotal,Total recorded value for the item,Valor total registrado para el ítem
percentual_maior_desconto,FLOAT64,Maior percentual de desconto registrado para o item,,no,,percent,no,,percentualMaiorDesconto,Largest discount percentage recorded for the item,Mayor porcentaje de descuento registrado para el ítem
indicador_item_excluido,BOOLEAN,Indica se o item foi excluído do PNCP,,no,,,no,,itemExcluido,Whether the item was deleted from PNCP,Indica si el ítem fue excluido del PNCP
data_assinatura,DATE,Data de assinatura da ata,,no,,,no,,dataAssinatura,Date the price record was signed,Fecha de firma del acta
data_vigencia_inicial,DATE,Data de início da vigência da ata,,no,,,no,,dataVigenciaInicial,Start date of the price record's validity,Fecha de inicio de la vigencia del acta
data_vigencia_final,DATE,Data de término da vigência da ata,,no,,,no,,dataVigenciaFinal,End date of the price record's validity,Fecha de término de la vigencia del acta
data_hora_inclusao,DATETIME,Data e hora de inclusão do item no PNCP,,no,,,no,,dataHoraInclusao,Timestamp when the item was added to PNCP,Fecha y hora de inclusión del ítem en el PNCP
data_hora_atualizacao,DATETIME,Data e hora da última atualização do item no PNCP,,no,,,no,,dataHoraAtualizacao,Timestamp of the last update to the item on PNCP,Fecha y hora de la última actualización del ítem en el PNCP
data_hora_exclusao,DATETIME,Data e hora da exclusão do item do PNCP,,no,,,no,,dataHoraExclusao,Timestamp when the item was deleted from PNCP,Fecha y hora de la exclusión del ítem del PNCP
