name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
data_extracao,DATE,Data em que o registro foi extraído da API Compras.gov.br,,no,,,no,"Coluna de particionamento. A fonte publica apenas o estado corrente do cadastro, sem histórico, portanto cada extração é uma fotografia",,Date on which the record was extracted from the Compras.gov.br API,Fecha en que el registro fue extraído de la API Compras.gov.br
codigo_item,STRING,Código do item de material no CATMAT,,no,,,no,,codigoItem,Code of the material item in CATMAT,Código del artículo de material en el CATMAT
codigo_grupo,STRING,Código do grupo de material,,no,,,no,,codigoGrupo,Code of the material group,Código del grupo de material
nome_grupo,STRING,Nome do grupo de material,,no,,,no,,nomeGrupo,Name of the material group,Nombre del grupo de material
codigo_classe,STRING,Código da classe de material,,no,,,no,,codigoClasse,Code of the material class,Código de la clase de material
nome_classe,STRING,Nome da classe de material,,no,,,no,,nomeClasse,Name of the material class,Nombre de la clase de material
codigo_pdm,STRING,Código do Padrão Descritivo de Material,,no,,,no,,codigoPdm,Code of the material descriptive standard (PDM),Código del Patrón Descriptivo de Material
nome_pdm,STRING,Nome do Padrão Descritivo de Material,,no,,,no,,nomePdm,Name of the material descriptive standard (PDM),Nombre del Patrón Descriptivo de Material
codigo_ncm,STRING,Código NCM da Nomenclatura Comum do Mercosul,,no,,,no,,codigo_ncm,NCM code under the Mercosur Common Nomenclature,Código NCM de la Nomenclatura Común del Mercosur
descricao_ncm,STRING,Descrição da classificação NCM,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,descricao_ncm,Description of the NCM classification,Descripción de la clasificación NCM
descricao_item,STRING,Descrição estruturada do item de material,,no,,,no,Concatena o PDM e os valores de cada característica do padrão descritivo,descricaoItem,Structured description of the material item,Descripción estructurada del artículo de material
indicador_item_sustentavel,BOOLEAN,Indica se o item é classificado como sustentável,,no,,,no,,itemSustentavel,Whether the item is classified as sustainable,Indica si el artículo está clasificado como sostenible
indicador_aplica_margem_preferencia,BOOLEAN,Indica se o item admite margem de preferência para produtos nacionais,,no,,,no,,aplica_margem_preferencia,Whether the item allows a preference margin for domestic products,Indica si el artículo admite margen de preferencia para productos nacionales
indicador_item_ativo,BOOLEAN,Indica se o item está ativo no catálogo,,no,,,no,,statusItem,Whether the item is active in the catalogue,Indica si el artículo está activo en el catálogo
data_hora_atualizacao,DATETIME,Data e hora da última atualização do item no catálogo,,no,,,no,,dataHoraAtualizacao,Timestamp of the last update to the catalogue item,Fecha y hora de la última actualización del artículo en el catálogo
