name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de divulgação do resultado no PNCP,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento, derivada da data correspondente",,Year of the result's publication on PNCP,Año de la divulgación del resultado en el PNCP
sigla_uf,STRING,Sigla da unidade da federação da unidade compradora,,no,br_bd_diretorios_brasil.uf:sigla,,no,O valor EX identifica unidades sediadas no exterior,unidadeOrgaoUfSigla,Abbreviation of the purchasing unit's federative unit,Sigla de la unidad federativa de la unidad compradora
id_compra,STRING,Identificador da contratação no SIASG,,no,,,no,,idCompra,Identifier of the procurement in SIASG,Identificador de la contratación en el SIASG
id_compra_item,STRING,Identificador do item da contratação no SIASG,,no,,,no,Junta com a tabela contratacao_item,idCompraItem,Identifier of the procurement item in SIASG,Identificador del ítem de la contratación en el SIASG
sequencial_resultado,STRING,Número sequencial do resultado dentro do item,,no,,,no,"Um item pode ter mais de um resultado, por exemplo em registro de preços com vários fornecedores classificados. Com id_compra_item forma a chave primária",sequencialResultado,Sequential number of the result within the item,Número secuencial del resultado dentro del ítem
numero_controle_pncp,STRING,Número de controle da contratação no PNCP,,no,,,no,,numeroControlePNCPCompra,PNCP control number of the procurement,Número de control de la contratación en el PNCP
id_contratacao_pncp,STRING,Número de controle da contratação no PNCP repetido pela fonte,,no,,,no,,idContratacaoPNCP,"PNCP control number of the procurement, repeated by the source","Número de control de la contratación en el PNCP, repetido por la fuente"
numero_item_pncp,STRING,Número do item na contratação segundo o PNCP,,no,,,no,,numeroItemPncp,Item number within the procurement according to PNCP,Número del ítem en la contratación según el PNCP
cnpj_orgao,STRING,CNPJ do órgão comprador,,no,,,no,,orgaoEntidadeCnpj,Taxpayer number of the purchasing body,CNPJ del órgano comprador
codigo_unidade,STRING,Código da UASG compradora,,no,,,no,,unidadeOrgaoCodigoUnidade,Code of the purchasing UASG,Código de la UASG compradora
id_fornecedor,STRING,CNPJ ou CPF do fornecedor,,no,,,no,,niFornecedor,Taxpayer number of the supplier,CNPJ o CPF del proveedor
nome_fornecedor,STRING,Nome ou razão social do fornecedor,,no,,,no,,nomeRazaoSocialFornecedor,Name of the supplier,Nombre o razón social del proveedor
tipo_pessoa,STRING,Indica se o fornecedor é pessoa física ou jurídica,,yes,,,no,"PF pessoa física, PJ pessoa jurídica, PE pessoa estrangeira",tipoPessoa,Whether the supplier is an individual or a legal entity,Indica si el proveedor es persona física o jurídica
codigo_pais,STRING,Código ISO de três letras do país do fornecedor,,no,,,no,,codigoPais,Three-letter ISO code of the supplier's country,Código ISO de tres letras del país del proveedor
id_porte_fornecedor,STRING,Código do porte do fornecedor,,yes,,,no,,porteFornecedorId,Code of the supplier's size band,Código del tamaño del proveedor
porte_fornecedor,STRING,Porte do fornecedor,,no,,,no,,porteFornecedorNome,Size band of the supplier,Tamaño del proveedor
id_natureza_juridica,STRING,Código da natureza jurídica do fornecedor,,yes,,,no,,naturezaJuridicaId,Code of the supplier's legal nature,Código de la naturaleza jurídica del proveedor
natureza_juridica,STRING,Natureza jurídica do fornecedor,,no,,,no,,naturezaJuridicaNome,Legal nature of the supplier,Naturaleza jurídica del proveedor
ordem_classificacao_srp,STRING,Posição do fornecedor na classificação do sistema de registro de preços,,no,,,no,,ordemClassificacaoSrp,Rank of the supplier in the price registration system classification,Posición del proveedor en la clasificación del sistema de registro de precios
id_situacao_resultado,STRING,Código da situação do resultado,,yes,,,no,,situacaoCompraItemResultadoId,Code of the result status,Código de la situación del resultado
situacao_resultado,STRING,"Situação do resultado, como informado ou cancelado",,no,,,no,,situacaoCompraItemResultadoNome,"Result status, such as reported or cancelled","Situación del resultado, como informado o cancelado"
motivo_cancelamento,STRING,Motivo do cancelamento do resultado,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,motivoCancelamento,Reason the result was cancelled,Motivo de la cancelación del resultado
quantidade_homologada,FLOAT64,Quantidade homologada para o fornecedor,,no,,unit,no,,quantidadeHomologada,Quantity awarded to the supplier,Cantidad homologada para el proveedor
valor_unitario_homologado,FLOAT64,Valor unitário homologado,,no,,BRL,no,,valorUnitarioHomologado,Awarded unit value,Valor unitario homologado
valor_total_homologado,FLOAT64,Valor total homologado,,no,,BRL,no,,valorTotalHomologado,Total awarded value,Valor total homologado
percentual_desconto,FLOAT64,Percentual de desconto ofertado pelo fornecedor,,no,,percent,no,,percentualDesconto,Discount percentage offered by the supplier,Porcentaje de descuento ofrecido por el proveedor
id_amparo_legal_margem_preferencia,STRING,Código do amparo legal da margem de preferência aplicada,,yes,,,no,Integralmente vazia nas amostras verificadas em 2026-08,amparoLegalMargemPreferenciaId,Code of the legal basis for the applied preference margin,Código del amparo legal del margen de preferencia aplicado
amparo_legal_margem_preferencia,STRING,Dispositivo legal que ampara a margem de preferência aplicada,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,amparoLegalMargemPreferenciaNome,Legal provision supporting the applied preference margin,Disposición legal que ampara el margen de preferencia aplicado
id_amparo_legal_criterio_desempate,STRING,Código do amparo legal do critério de desempate aplicado,,yes,,,no,,amparoLegalCriterioDesempateId,Code of the legal basis for the applied tie-break criterion,Código del amparo legal del criterio de desempate aplicado
amparo_legal_criterio_desempate,STRING,Dispositivo legal que ampara o critério de desempate aplicado,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,amparoLegalCriterioDesempateNome,Legal provision supporting the applied tie-break criterion,Disposición legal que ampara el criterio de desempate aplicado
id_moeda_estrangeira,STRING,Código da moeda estrangeira da proposta,,yes,,,no,Integralmente vazia nas amostras verificadas em 2026-08,moedaEstrangeiraId,Code of the proposal's foreign currency,Código de la moneda extranjera de la propuesta
valor_nominal_moeda_estrangeira,FLOAT64,Valor nominal da proposta em moeda estrangeira,,no,,foreign_currency_unit,no,Integralmente vazia nas amostras verificadas em 2026-08,valorNominalMoedaEstrangeira,Nominal value of the proposal in foreign currency,Valor nominal de la propuesta en moneda extranjera
data_cotacao_moeda_estrangeira,DATETIME,Data e hora da cotação da moeda estrangeira,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,dataCotacaoMoedaEstrangeira,Timestamp of the foreign currency quotation,Fecha y hora de la cotización de la moneda extranjera
timezone_cotacao_moeda_estrangeira,STRING,Fuso horário da cotação da moeda estrangeira,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,timezoneCotacaoMoedaEstrangeira,Time zone of the foreign currency quotation,Zona horaria de la cotización de la moneda extranjera
id_pais_origem_produto_servico,STRING,Código do país de origem do produto ou serviço,,no,,,no,Integralmente vazia nas amostras verificadas em 2026-08,paisOrigemProdutoServicoId,Code of the product or service country of origin,Código del país de origen del producto o servicio
indicador_subcontratacao,BOOLEAN,Indica se há subcontratação no resultado,,no,,,no,,indicadorSubcontratacao,Whether the result involves subcontracting,Indica si hay subcontratación en el resultado
indicador_aplicacao_margem_preferencia,BOOLEAN,Indica se foi aplicada margem de preferência,,no,,,no,,aplicacaoMargemPreferencia,Whether a preference margin was applied,Indica si se aplicó margen de preferencia
indicador_aplicacao_beneficio_meepp,BOOLEAN,Indica se foi aplicado benefício para microempresas e empresas de pequeno porte,,no,,,no,,aplicacaoBeneficioMeepp,Whether the micro and small enterprise benefit was applied,Indica si se aplicó el beneficio para microempresas y pequeñas empresas
indicador_aplicacao_criterio_desempate,BOOLEAN,Indica se foi aplicado critério de desempate,,no,,,no,,aplicacaoCriterioDesempate,Whether a tie-break criterion was applied,Indica si se aplicó criterio de desempate
data_resultado_pncp,DATETIME,Data e hora do resultado no PNCP,,no,,,no,,dataResultadoPncp,Timestamp of the result on PNCP,Fecha y hora del resultado en el PNCP
data_inclusao_pncp,DATETIME,Data e hora de inclusão do resultado no PNCP,,no,,,no,,dataInclusaoPncp,Timestamp when the result was added to PNCP,Fecha y hora de inclusión del resultado en el PNCP
data_atualizacao_pncp,DATETIME,Data e hora da última atualização do resultado no PNCP,,no,,,no,,dataAtualizacaoPncp,Timestamp of the last update to the result on PNCP,Fecha y hora de la última actualización del resultado en el PNCP
data_cancelamento_pncp,DATETIME,Data e hora do cancelamento do resultado no PNCP,,no,,,no,,dataCancelamentoPncp,Timestamp when the result was cancelled on PNCP,Fecha y hora de la cancelación del resultado en el PNCP
