name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de início da vigência do contrato,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento, derivada de data_vigencia_inicial",,Year the contract's validity starts,Año de inicio de la vigencia del contrato
numero_controle_pncp_contrato,STRING,Número de controle do contrato no PNCP,,no,,,no,"Vazio para cerca de 80% dos contratos, que antecedem a obrigatoriedade de publicação no PNCP ou não foram enviados",numeroControlePncpContrato,PNCP control number of the contract,Número de control del contrato en el PNCP
numero_contrato,STRING,Número do contrato na unidade gestora,,no,,,no,Com codigo_orgao e codigo_unidade_gestora forma a chave primária,numeroContrato,Contract number within the managing unit,Número del contrato en la unidad gestora
codigo_orgao,STRING,Código do órgão contratante no SIASG,,no,,,no,,codigoOrgao,SIASG code of the contracting body,Código del órgano contratante en el SIASG
nome_orgao,STRING,Nome do órgão contratante,,no,,,no,,nomeOrgao,Name of the contracting body,Nombre del órgano contratante
codigo_unidade_gestora,STRING,Código da unidade gestora do contrato,,no,,,no,,codigoUnidadeGestora,Code of the unit managing the contract,Código de la unidad gestora del contrato
nome_unidade_gestora,STRING,Nome da unidade gestora do contrato,,no,,,no,,nomeUnidadeGestora,Name of the unit managing the contract,Nombre de la unidad gestora del contrato
codigo_unidade_gestora_origem,STRING,Código da unidade gestora de origem do contrato,,no,,,no,,codigoUnidadeGestoraOrigemContrato,Code of the unit the contract originated in,Código de la unidad gestora de origen del contrato
nome_unidade_gestora_origem,STRING,Nome da unidade gestora de origem do contrato,,no,,,no,,nomeUnidadeGestoraOrigemContrato,Name of the unit the contract originated in,Nombre de la unidad gestora de origen del contrato
codigo_unidade_realizadora_compra,STRING,Código da unidade que realizou a contratação,,no,,,no,,codigoUnidadeRealizadoraCompra,Code of the unit that ran the procurement,Código de la unidad que realizó la contratación
