name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de início da vigência do contrato,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento, derivada de data_vigencia_inicial",,Year the contract's validity starts,Año de inicio de la vigencia del contrato
numero_controle_pncp_contrato,STRING,Número de controle do contrato no PNCP,,no,,,no,,numeroControlePncpContrato,PNCP control number of the contract,Número de control del contrato en el PNCP
numero_contrato,STRING,Número do contrato na unidade gestora,,no,,,no,,numeroContrato,Contract number within the managing unit,Número del contrato en la unidad gestora
numero_item,STRING,Número do item dentro do contrato,,no,,,no,"Com codigo_orgao, codigo_unidade_gestora e numero_contrato forma a chave primária",numeroItem,Item number within the contract,Número del ítem dentro del contrato
codigo_orgao,STRING,Código do órgão contratante no SIASG,,no,,,no,,codigoOrgao,SIASG code of the contracting body,Código del órgano contratante en el SIASG
nome_orgao,STRING,Nome do órgão contratante,,no,,,no,,nomeOrgao,Name of the contracting body,Nombre del órgano contratante
codigo_unidade_gestora,STRING,Código da unidade gestora do contrato,,no,,,no,,codigoUnidadeGestora,Code of the unit managing the contract,Código de la unidad gestora del contrato
nome_unidade_gestora,STRING,Nome da unidade gestora do contrato,,no,,,no,,nomeUnidadeGestora,Name of the unit managing the contract,Nombre de la unidad gestora del contrato
codigo_unidade_gestora_origem,STRING,Código da unidade gestora de origem do contrato,,no,,,no,,codigoUnidadeGestoraOrigemContrato,Code of the unit the contract originated in,Código de la unidad gestora de origen del contrato
nome_unidade_gestora_origem,STRING,Nome da unidade gestora de origem do contrato,,no,,,no,,nomeUnidadeGestoraOrigemContrato,Name of the unit the contract originated in,Nombre de la unidad gestora de origen del contrato
codigo_unidade_realizadora_compra,STRING,Código da unidade que realizou a contratação,,no,,,no,,codigoUnidadeRealizadoraCompra,Code of the unit that ran the procurement,Código de la unidad que realizó la contratación
nome_unidade_realizadora_compra,STRING,Nome da unidade que realizou a contratação,,no,,,no,,nomeUnidadeRealizadoraCompra,Name of the unit that ran the procurement,Nombre de la unidad que realizó la contratación
id_compra,STRING,Identificador da contratação de origem no SIASG,,no,,,no,,idCompra,Identifier of the originating procurement in SIASG,Identificador de la contratación de origen en el SIASG
numero_controle_pncp_compra,STRING,Número de controle da contratação de origem no PNCP,,no,,,no,,numeroControlePncpCompra,PNCP control number of the originating procurement,Número de control de la contratación de origen en el PNCP
numero_compra,STRING,Número da contratação de origem,,no,,,no,,numeroCompra,Number of the originating procurement,Número de la contratación de origen
codigo_modalidade_compra,STRING,Código da modalidade da contratação de origem,,yes,,,no,,codigoModalidadeCompra,Code of the originating procurement's modality,Código de la modalidad de la contratación de origen
modalidade_compra,STRING,Modalidade da contratação de origem,,no,,,no,,nomeModalidadeCompra,Modality of the originating procurement,Modalidad de la contratación de origen
id_fornecedor,STRING,CNPJ ou CPF do fornecedor contratado,,no,,,no,,niFornecedor,Taxpayer number of the contracted supplier,CNPJ o CPF del proveedor contratado
nome_fornecedor,STRING,Nome ou razão social do fornecedor contratado,,no,,,no,,nomeRazaoSocialFornecedor,Name of the contracted supplier,Nombre o razón social del proveedor contratado
processo,STRING,Número do processo administrativo do contrato,,no,,,no,,processo,Administrative case number of the contract,Número del proceso administrativo del contrato
esfera,STRING,Esfera federativa do órgão contratante,,no,,,no,"Publicada por extenso nesta tabela, ao contrário da coluna esfera de contratacao, que traz a sigla",esfera,Federative sphere of the contracting body,Esfera federativa del órgano contratante
poder,STRING,Poder ao qual o órgão contratante pertence,,no,,,no,Publicado por extenso nesta tabela,poder,Branch of government of the contracting body,Poder al que pertenece el órgano contratante
tipo_item,STRING,Indica se o item é material ou serviço,,no,,,no,,tipoItem,Whether the item is a material or a service,Indica si el ítem es material o servicio
codigo_item,STRING,Código do item nos catálogos CATMAT ou CATSER,,no,,,no,,codigoItem,Code of the item in the CATMAT or CATSER catalogues,Código del ítem en los catálogos CATMAT o CATSER
descricao_item,STRING,Descrição do item contratado,,no,,,no,,descricaoIitem,Description of the contracted item,Descripción del ítem contratado
quantidade_item,FLOAT64,Quantidade contratada do item,,no,,unit,no,,quantidadeItem,Contracted quantity of the item,Cantidad contratada del ítem
valor_unitario_item,FLOAT64,Valor unitário do item contratado,,no,,BRL,no,,valorUnitarioItem,Unit value of the contracted item,Valor unitario del ítem contratado
valor_total_item,FLOAT64,Valor total do item contratado,,no,,BRL,no,,valorTotalItem,Total value of the contracted item,Valor total del ítem contratado
valor_global,FLOAT64,Valor global do contrato ao qual o item pertence,,no,,BRL,no,,valorGlobal,Global value of the contract the item belongs to,Valor global del contrato al que pertenece el ítem
