name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
data_extracao,DATE,Data em que o registro foi extraído da API Compras.gov.br,,no,,,no,"Coluna de particionamento. A fonte publica apenas o estado corrente do cadastro, sem histórico, portanto cada extração é uma fotografia",,Date on which the record was extracted from the Compras.gov.br API,Fecha en que el registro fue extraído de la API Compras.gov.br
sigla_uf,STRING,Sigla da unidade da federação do fornecedor,,no,br_bd_diretorios_brasil.uf:sigla,,no,,ufSigla,Abbreviation of the supplier's federative unit,Sigla de la unidad federativa del proveedor
cnpj,STRING,CNPJ do fornecedor pessoa jurídica,,no,,,no,"Vazio para fornecedores pessoa física, que são identificados em cpf",cnpj,Taxpayer number (CNPJ) of the corporate supplier,CNPJ del proveedor persona jurídica
cpf,STRING,CPF mascarado do fornecedor pessoa física,,no,,,yes,"A fonte publica o CPF parcialmente mascarado, no formato ***007562**",cpf,Masked taxpayer number (CPF) of the individual supplier,CPF enmascarado del proveedor persona física
nome_razao_social,STRING,Razão social ou nome do fornecedor,,no,,,no,,nomeRazaoSocialFornecedor,Corporate or personal name of the supplier,Razón social o nombre del proveedor
codigo_cnae,STRING,Código CNAE da atividade econômica principal do fornecedor,,no,,,no,,codigoCnae,CNAE code of the supplier's main economic activity,Código CNAE de la actividad económica principal del proveedor
nome_cnae,STRING,Descrição da atividade econômica principal do fornecedor,,no,,,no,,nomeCnae,Description of the supplier's main economic activity,Descripción de la actividad económica principal del proveedor
id_natureza_juridica,STRING,Código da natureza jurídica do fornecedor,,yes,,,no,,naturezaJuridicaId,Code of the supplier's legal nature,Código de la naturaleza jurídica del proveedor
natureza_juridica,STRING,Natureza jurídica do fornecedor,,no,,,no,,naturezaJuridicaNome,Legal nature of the supplier,Naturaleza jurídica del proveedor
id_porte_empresa,STRING,Código do porte da empresa,,yes,,,no,,porteEmpresaId,Code of the company size band,Código del tamaño de la empresa
porte_empresa,STRING,"Porte da empresa, como microempresa, empresa de pequeno porte ou demais",,no,,,no,O porte determina a elegibilidade aos benefícios da Lei Complementar 123/2006,porteEmpresaNome,"Company size band, such as micro-enterprise, small business or other","Tamaño de la empresa, como microempresa, pequeña empresa u otras"
nome_municipio,STRING,Nome do município do fornecedor,,no,,,no,"A fonte não publica o código IBGE do município, apenas o nome, com grafia inconsistente",nomeMunicipio,Name of the supplier's municipality,Nombre del municipio del proveedor
indicador_habilitado_licitar,BOOLEAN,Indica se o fornecedor está habilitado a licitar no SICAF,,no,,,no,,habilitadoLicitar,Whether the supplier is cleared to bid in SICAF,Indica si el proveedor está habilitado para licitar en el SICAF
indicador_fornecedor_ativo,BOOLEAN,Indica se o fornecedor está ativo no cadastro,,no,,,no,,ativo,Whether the supplier is active in the registry,Indica si el proveedor está activo en el registro
