name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
ano,INT64,Ano do plano de contratações anual,2023(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, correspondente ao ano de referência do plano",anoPca,Year of the annual procurement plan,Año del plan anual de contrataciones,"Partition column, corresponding to the plan's reference year","Columna de partición, correspondiente al año de referencia del plan"
id_pca_pncp,STRING,Identificador do plano de contratações anual no PNCP,,no,,,no,,idPcaPncp,Identifier of the annual procurement plan on PNCP,Identificador del plan anual de contrataciones en el PNCP,,
numero_item,STRING,Número do item dentro do plano de contratações anual,,no,,,no,,itens.numeroItem,Number of the item within the annual procurement plan,Número del ítem dentro del plan anual de contrataciones,,
cnpj_orgao,STRING,CNPJ do órgão ou entidade responsável pelo plano,,no,,,no,,orgaoEntidadeCnpj,CNPJ of the agency or entity responsible for the plan,CNPJ del órgano o entidad responsable del plan,,
nome_orgao,STRING,Razão social do órgão ou entidade responsável pelo plano,,no,,,no,,orgaoEntidadeRazaoSocial,Legal name of the agency or entity responsible for the plan,Razón social del órgano o entidad responsable del plan,,
codigo_unidade,STRING,Código da unidade administrativa responsável pelo plano,,no,,,no,,codigoUnidade,Code of the administrative unit responsible for the plan,Código de la unidad administrativa responsable del plan,,
nome_unidade,STRING,Nome da unidade administrativa responsável pelo plano,,no,,,no,,nomeUnidade,Name of the administrative unit responsible for the plan,Nombre de la unidad administrativa responsable del plan,,
unidade_requisitante,STRING,Nome da unidade requisitante do item,,no,,,no,,itens.unidadeRequisitante,Name of the unit requesting the item,Nombre de la unidad solicitante del ítem,,
codigo_item,STRING,Código do item no catálogo de materiais e serviços,,no,,,no,,itens.codigoItem,Code of the item in the materials and services catalogue,Código del ítem en el catálogo de materiales y servicios,,
descricao_item,STRING,Descrição do item planejado,,no,,,no,,itens.descricaoItem,Description of the planned item,Descripción del ítem planificado,,
id_classificacao_catalogo,STRING,Código da classificação do catálogo à qual o item pertence,,yes,,,no,,itens.classificacaoCatalogoId,Code of the catalogue classification the item belongs to,Código de la clasificación del catálogo a la que pertenece el ítem,,
nome_classificacao_catalogo,STRING,Nome da classificação do catálogo à qual o item pertence,,no,,,no,,itens.nomeClassificacaoCatalogo,Name of the catalogue classification the item belongs to,Nombre de la clasificación del catálogo a la que pertenece el ítem,,
codigo_classificacao_superior,STRING,Código da classificação superior do item no catálogo,,no,,,no,,itens.classificacaoSuperiorCodigo,Code of the item's higher-level classification in the catalogue,Código de la clasificación superior del ítem en el catálogo,,
nome_classificacao_superior,STRING,Nome da classificação superior do item no catálogo,,no,,,no,,itens.classificacaoSuperiorNome,Name of the item's higher-level classification in the catalogue,Nombre de la clasificación superior del ítem en el catálogo,,
codigo_pdm,STRING,Código do padrão descritivo de material do item,,no,,,no,,itens.pdmCodigo,Code of the item's material description standard,Código del estándar descriptivo de material del ítem,,
descricao_pdm,STRING,Descrição do padrão descritivo de material do item,,no,,,no,,itens.pdmDescricao,Description of the item's material description standard,Descripción del estándar descriptivo de material del ítem,,
codigo_grupo_contratacao,STRING,Código do grupo de contratação ao qual o item pertence,,no,,,no,,itens.grupoContratacaoCodigo,Code of the procurement group the item belongs to,Código del grupo de contratación al que pertenece el ítem,,
nome_grupo_contratacao,STRING,Nome do grupo de contratação ao qual o item pertence,,no,,,no,,itens.grupoContratacaoNome,Name of the procurement group the item belongs to,Nombre del grupo de contratación al que pertenece el ítem,,
categoria_item,STRING,Nome da categoria do item no plano de contratações,,no,,,no,,itens.categoriaItemPcaNome,Name of the item category in the procurement plan,Nombre de la categoría del ítem en el plan de contrataciones,,
unidade_fornecimento,STRING,Unidade de fornecimento do item,,no,,,no,,itens.unidadeFornecimento,Supply unit of the item,Unidad de suministro del ítem,,
data_desejada,DATE,Data desejada para a contratação do item,,no,,,no,,itens.dataDesejada,Desired date for procuring the item,Fecha deseada para la contratación del ítem,,
data_publicacao,DATE,Data de publicação do plano no PNCP,,no,,,no,,dataPublicacaoPNCP,Date the plan was published on PNCP,Fecha de publicación del plan en el PNCP,,
data_atualizacao,DATE,Data da última atualização global do plano no PNCP,,no,,,no,"Usada para desduplicar múltiplas versões do mesmo plano, mantendo a mais recente",dataAtualizacaoGlobalPCA,Date of the last global update of the plan on PNCP,Fecha de la última actualización global del plan en el PNCP,"Used to deduplicate multiple versions of the same plan, keeping the most recent","Utilizada para deduplicar múltiples versiones del mismo plan, conservando la más reciente"
quantidade_estimada,FLOAT64,Quantidade estimada do item a ser contratada,,no,,unit,no,,itens.quantidadeEstimada,Estimated quantity of the item to be procured,Cantidad estimada del ítem a contratar,,
valor_unitario,FLOAT64,Valor unitário estimado do item,,no,,BRL,no,,itens.valorUnitario,Estimated unit value of the item,Valor unitario estimado del ítem,,
valor_total,FLOAT64,Valor total estimado do item,,no,,BRL,no,,itens.valorTotal,Estimated total value of the item,Valor total estimado del ítem,,
valor_orcamento_exercicio,FLOAT64,Valor orçado para o item no exercício financeiro,,no,,BRL,no,,itens.valorOrcamentoExercicio,Amount budgeted for the item in the financial year,Valor presupuestado para el ítem en el ejercicio financiero,,
