name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,INT64,Ano de referência da ocorrência,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição. Extraído de data_referencia, que a fonte publica sempre no primeiro dia do mês",data_referencia
mes,INT64,"Mês de referência da ocorrência, de 1 a 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"Coluna de partição. Extraído de data_referencia, que a fonte publica sempre no primeiro dia do mês",data_referencia
sigla_uf,STRING,Sigla da unidade da federação,,no,br_bd_diretorios_brasil.uf:sigla,,no,Coluna de partição,uf
id_municipio,STRING,Identificador IBGE de 7 dígitos do município,,no,br_bd_diretorios_brasil.municipio:id_municipio,,no,"A fonte publica o nome do município, não o código. O nome é normalizado (sem acentos, maiúsculas) e cruzado com o diretório de municípios; 13 grafias divergentes da fonte são resolvidas por um mapa explícito no código de limpeza. A correspondência é de 100% em todos os anos",municipio
tipo_ocorrencia,STRING,Tipo de ocorrência registrada em chave estável,,yes,,,no,"Chave snake_case derivada do rótulo publicado pela fonte. A tabela dicionario mapeia cada chave ao rótulo original por ano. Somente 11 dos 31 tipos publicados são divulgados por município; os demais aparecem apenas em uf_mes",evento
abrangencia,STRING,Instituição que reportou o registro,,yes,,,no,"Estadual, Polícia Federal ou Polícia Rodoviária Federal. Um mesmo tipo de ocorrência pode ser reportado de forma independente por mais de uma instituição no mesmo município e mês; somar sem separar por abrangência duplica registros",abrangencia
situacao_registro,STRING,Indica se a fonte publicou o registro para este município-mês,,yes,,,no,"reportado: a fonte publicou uma linha. nao_reportado: a fonte omitiu o município-mês de uma série que reportou naquele ano, e todas as quantidades são nulas. Nenhum valor é imputado. Uma quantidade zero em linha reportada é um zero informado; uma quantidade nula em linha reportada é um valor em branco na fonte",
quantidade_ocorrencias,INT64,Número de ocorrências registradas,,no,,,no,"Contagem de eventos, sem unidade de medida aplicável. Preenchida apenas para tipos contados por ocorrência; nula para tipos contados por vítima, que usam quantidade_vitimas. Nenhum tipo de ocorrência preenche as duas",total
quantidade_vitimas,INT64,Número de vítimas registradas,,no,,person,no,"Preenchida apenas para tipos contados por vítima. Nula para tipos contados por ocorrência",total_vitima
quantidade_vitimas_feminino,INT64,Número de vítimas do sexo feminino,,no,,person,no,"Subconjunto de quantidade_vitimas. A soma das três colunas de sexo pode não igualar quantidade_vitimas quando a fonte deixa o desagregado em branco",feminino
quantidade_vitimas_masculino,INT64,Número de vítimas do sexo masculino,,no,,person,no,Subconjunto de quantidade_vitimas,masculino
quantidade_vitimas_sexo_nao_informado,INT64,Número de vítimas cujo sexo não foi informado,,no,,person,no,Subconjunto de quantidade_vitimas,nao_informado
