name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de publicação do registro no PNCP,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, derivada da data de publicação no PNCP",dataPublicacaoPncp,Year the record was published on PNCP,Año de publicación del registro en el PNCP
sigla_uf,STRING,Sigla da unidade da federação da unidade administrativa responsável,,no,br_bd_diretorios_brasil.uf:sigla,,no,"Assume o valor 'EX' quando a unidade compradora fica no exterior (embaixadas, consulados); esse codigo nao consta do diretorio de UFs",unidadeOrgao.ufSigla,Abbreviation of the federative unit of the responsible administrative unit,Sigla de la unidad federativa de la unidad administrativa responsable
id_municipio,STRING,Código IBGE de sete dígitos do município da unidade administrativa responsável,,no,br_bd_diretorios_brasil.municipio:id_municipio,,no,Assume o codigo 9097071 ('Exterior') quando a unidade compradora fica fora do Brasil; esse codigo nao consta do diretorio de municipios,unidadeOrgao.codigoIbge,Seven-digit IBGE code of the municipality of the responsible administrative unit,Código IBGE de siete dígitos del municipio de la unidad administrativa responsable
id_contratacao_pncp,STRING,"Número de controle da contratação no PNCP, identificador único do registro",,no,,,no,,numeroControlePNCP,"PNCP control number of the tender, the record's unique identifier","Número de control de la contratación en el PNCP, identificador único del registro"
ano_compra,INT64,Ano da compra atribuído pelo órgão contratante,,no,,year,no,,anoCompra,Purchase year assigned by the contracting agency,Año de la compra asignado por el órgano contratante
sequencial_compra,STRING,Número sequencial da compra dentro do órgão e ano,,no,,,no,,sequencialCompra,Sequential number of the purchase within the agency and year,Número secuencial de la compra dentro del órgano y año
numero_compra,STRING,Número da compra atribuído pelo órgão contratante,,no,,,no,,numeroCompra,Purchase number assigned by the contracting agency,Número de la compra asignado por el órgano contratante
numero_processo,STRING,Número do processo administrativo da contratação,,no,,,no,,processo,Administrative process number of the tender,Número del proceso administrativo de la contratación
cnpj_orgao,STRING,CNPJ do órgão ou entidade contratante,,no,,,no,,orgaoEntidade.cnpj,Taxpayer registry number (CNPJ) of the contracting agency or entity,Número de registro fiscal (CNPJ) del órgano o entidad contratante
nome_orgao,STRING,Razão social do órgão ou entidade contratante,,no,,,no,,orgaoEntidade.razaoSocial,Legal name of the contracting agency or entity,Razón social del órgano o entidad contratante
id_esfera,STRING,Código da esfera de governo do órgão contratante,,yes,,,no,"F federal, E estadual, M municipal, D distrital, N não se aplica",orgaoEntidade.esferaId,Code of the government sphere of the contracting agency,Código de la esfera de gobierno del órgano contratante
id_poder,STRING,Código do poder ao qual o órgão contratante pertence,,yes,,,no,,orgaoEntidade.poderId,Code of the branch of government the contracting agency belongs to,Código del poder al que pertenece el órgano contratante
codigo_unidade,STRING,Código da unidade administrativa responsável dentro do órgão,,no,,,no,,unidadeOrgao.codigoUnidade,Code of the responsible administrative unit within the agency,Código de la unidad administrativa responsable dentro del órgano
nome_unidade,STRING,Nome da unidade administrativa responsável dentro do órgão,,no,,,no,,unidadeOrgao.nomeUnidade,Name of the responsible administrative unit within the agency,Nombre de la unidad administrativa responsable dentro del órgano
cnpj_orgao_subrogado,STRING,"CNPJ do órgão sub-rogado, quando a competência foi transferida",,no,,,no,,orgaoSubRogado.cnpj,"CNPJ of the subrogated agency, when responsibility was transferred","CNPJ del órgano subrogado, cuando la competencia fue transferida"
nome_orgao_subrogado,STRING,Razão social do órgão sub-rogado,,no,,,no,,orgaoSubRogado.razaoSocial,Legal name of the subrogated agency,Razón social del órgano subrogado
codigo_unidade_subrogada,STRING,Código da unidade administrativa sub-rogada,,no,,,no,,unidadeSubRogada.codigoUnidade,Code of the subrogated administrative unit,Código de la unidad administrativa subrogada
nome_unidade_subrogada,STRING,Nome da unidade administrativa sub-rogada,,no,,,no,,unidadeSubRogada.nomeUnidade,Name of the subrogated administrative unit,Nombre de la unidad administrativa subrogada
id_modalidade,STRING,Código da modalidade de contratação,,yes,,,no,,modalidadeId,Code of the tender procedure type,Código de la modalidad de contratación
modalidade,STRING,Nome da modalidade de contratação,,no,,,no,,modalidadeNome,Name of the tender procedure type,Nombre de la modalidad de contratación
id_modo_disputa,STRING,Código do modo de disputa da contratação,,yes,,,no,,modoDisputaId,Code of the bidding dispute mode,Código del modo de disputa de la contratación
modo_disputa,STRING,Nome do modo de disputa da contratação,,no,,,no,,modoDisputaNome,Name of the bidding dispute mode,Nombre del modo de disputa de la contratación
id_situacao_compra,STRING,Código da situação da contratação,,yes,,,no,,situacaoCompraId,Code of the tender status,Código de la situación de la contratación
situacao_compra,STRING,Nome da situação da contratação,,no,,,no,,situacaoCompraNome,Name of the tender status,Nombre de la situación de la contratación
id_tipo_instrumento_convocatorio,STRING,Código do tipo de instrumento convocatório,,yes,,,no,,tipoInstrumentoConvocatorioCodigo,Code of the type of calling instrument,Código del tipo de instrumento convocatorio
tipo_instrumento_convocatorio,STRING,Nome do tipo de instrumento convocatório,,no,,,no,,tipoInstrumentoConvocatorioNome,Name of the type of calling instrument,Nombre del tipo de instrumento convocatorio
codigo_amparo_legal,STRING,Código do amparo legal invocado para a contratação,,yes,,,no,,amparoLegal.codigo,Code of the legal basis invoked for the tender,Código del amparo legal invocado para la contratación
nome_amparo_legal,STRING,Nome do dispositivo legal que ampara a contratação,,no,,,no,,amparoLegal.nome,Name of the legal provision supporting the tender,Nombre del dispositivo legal que ampara la contratación
objeto_compra,STRING,Descrição do objeto da contratação,,no,,,no,,objetoCompra,Description of the object of the tender,Descripción del objeto de la contratación
informacao_complementar,STRING,Informação complementar registrada pelo órgão contratante,,no,,,no,,informacaoComplementar,Additional information recorded by the contracting agency,Información complementaria registrada por el órgano contratante
justificativa_presencial,STRING,Justificativa apresentada para a realização da contratação em formato presencial,,no,,,no,,justificativaPresencial,Justification given for holding the tender in person,Justificación presentada para realizar la contratación de forma presencial
indicador_srp,BOOLEAN,Indica se a contratação usa sistema de registro de preços,,no,,,no,,srp,Whether the tender uses the price registration system,Indica si la contratación utiliza el sistema de registro de precios
indicador_emenda_parlamentar,BOOLEAN,Indica se a contratação envolve recursos de emenda parlamentar,,no,,,no,,emendaParlamentar,Whether the tender involves congressional amendment funds,Indica si la contratación involucra recursos de enmienda parlamentaria
data_abertura_proposta,DATE,Data de abertura do recebimento de propostas,,no,,,no,,dataAberturaProposta,Date proposals began to be received,Fecha de apertura de la recepción de propuestas
data_encerramento_proposta,DATE,Data de encerramento do recebimento de propostas,,no,,,no,,dataEncerramentoProposta,Date proposals stopped being received,Fecha de cierre de la recepción de propuestas
data_publicacao,DATE,Data de publicação do registro no PNCP,,no,,,no,,dataPublicacaoPncp,Date the record was published on PNCP,Fecha de publicación del registro en el PNCP
data_atualizacao,DATE,Data da última atualização global do registro no PNCP,,no,,,no,"Usada para desduplicar múltiplas versões do mesmo registro, mantendo a mais recente",dataAtualizacaoGlobal,Date of the last global update of the record on PNCP,Fecha de la última actualización global del registro en el PNCP
valor_total_estimado,FLOAT64,Valor total estimado da contratação,,no,,BRL,no,,valorTotalEstimado,Total estimated value of the tender,Valor total estimado de la contratación
valor_total_homologado,FLOAT64,Valor total homologado da contratação,,no,,BRL,no,Nulo enquanto a contratação não foi homologada,valorTotalHomologado,Total awarded value of the tender,Valor total homologado de la contratación
link_sistema_origem,STRING,Endereço do registro no sistema de origem do órgão contratante,,no,,,no,,linkSistemaOrigem,Address of the record in the contracting agency's source system,Dirección del registro en el sistema de origen del órgano contratante
