name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de publicação do registro no PNCP,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, derivada da data de publicação no PNCP",dataPublicacaoPncp,Year the record was published on PNCP,Año de publicación del registro en el PNCP
sigla_uf,STRING,Sigla da unidade da federação da unidade administrativa responsável,,no,br_bd_diretorios_brasil.uf:sigla_uf,,no,,unidadeOrgao.ufSigla,Abbreviation of the federative unit of the responsible administrative unit,Sigla de la unidad federativa de la unidad administrativa responsable
id_municipio,STRING,Código IBGE de sete dígitos do município da unidade administrativa responsável,,no,br_bd_diretorios_brasil.municipio:id_municipio,,no,,unidadeOrgao.codigoIbge,Seven-digit IBGE code of the municipality of the responsible administrative unit,Código IBGE de siete dígitos del municipio de la unidad administrativa responsable
id_contrato_pncp,STRING,"Número de controle do contrato no PNCP, identificador único do registro",,no,,,no,,numeroControlePNCP,"PNCP control number of the contract, the record's unique identifier","Número de control del contrato en el PNCP, identificador único del registro"
id_contratacao_pncp,STRING,Número de controle no PNCP da contratação que originou o contrato,,no,,,no,Chave de ligação com a tabela contratacao,numeroControlePncpCompra,PNCP control number of the tender that originated the contract,Número de control en el PNCP de la contratación que originó el contrato
id_ata_pncp,STRING,Número de controle no PNCP da ata de registro de preços vinculada,,no,,,no,Chave de ligação com a tabela ata_registro_preco; nulo quando o contrato não deriva de ata,numeroControlePncpAta,PNCP control number of the linked price registration record,Número de control en el PNCP del acta de registro de precios vinculada
ano_contrato,INT64,Ano do contrato atribuído pelo órgão contratante,,no,,year,no,,anoContrato,Contract year assigned by the contracting agency,Año del contrato asignado por el órgano contratante
sequencial_contrato,STRING,Número sequencial do contrato dentro do órgão e ano,,no,,,no,,sequencialContrato,Sequential number of the contract within the agency and year,Número secuencial del contrato dentro del órgano y año
numero_contrato_empenho,STRING,Número do contrato ou do empenho atribuído pelo órgão contratante,,no,,,no,,numeroContratoEmpenho,Contract or commitment number assigned by the contracting agency,Número del contrato o del compromiso asignado por el órgano contratante
numero_processo,STRING,Número do processo administrativo do contrato,,no,,,no,,processo,Administrative process number of the contract,Número del proceso administrativo del contrato
cnpj_orgao,STRING,CNPJ do órgão ou entidade contratante,,no,,,no,,orgaoEntidade.cnpj,Taxpayer registry number (CNPJ) of the contracting agency or entity,Número de registro fiscal (CNPJ) del órgano o entidad contratante
nome_orgao,STRING,Razão social do órgão ou entidade contratante,,no,,,no,,orgaoEntidade.razaoSocial,Legal name of the contracting agency or entity,Razón social del órgano o entidad contratante
id_esfera,STRING,Código da esfera de governo do órgão contratante,,yes,,,no,"F federal, E estadual, M municipal, D distrital, N não se aplica",orgaoEntidade.esferaId,Code of the government sphere of the contracting agency,Código de la esfera de gobierno del órgano contratante
id_poder,STRING,Código do poder ao qual o órgão contratante pertence,,yes,,,no,,orgaoEntidade.poderId,Code of the branch of government the contracting agency belongs to,Código del poder al que pertenece el órgano contratante
codigo_unidade,STRING,Código da unidade administrativa responsável dentro do órgão,,no,,,no,,unidadeOrgao.codigoUnidade,Code of the responsible administrative unit within the agency,Código de la unidad administrativa responsable dentro del órgano
nome_unidade,STRING,Nome da unidade administrativa responsável dentro do órgão,,no,,,no,,unidadeOrgao.nomeUnidade,Name of the responsible administrative unit within the agency,Nombre de la unidad administrativa responsable dentro del órgano
cnpj_orgao_subrogado,STRING,"CNPJ do órgão sub-rogado, quando a competência foi transferida",,no,,,no,,orgaoSubRogado.cnpj,"CNPJ of the subrogated agency, when responsibility was transferred","CNPJ del órgano subrogado, cuando la competencia fue transferida"
nome_orgao_subrogado,STRING,Razão social do órgão sub-rogado,,no,,,no,,orgaoSubRogado.razaoSocial,Legal name of the subrogated agency,Razón social del órgano subrogado
codigo_unidade_subrogada,STRING,Código da unidade administrativa sub-rogada,,no,,,no,,unidadeSubRogada.codigoUnidade,Code of the subrogated administrative unit,Código de la unidad administrativa subrogada
nome_unidade_subrogada,STRING,Nome da unidade administrativa sub-rogada,,no,,,no,,unidadeSubRogada.nomeUnidade,Name of the subrogated administrative unit,Nombre de la unidad administrativa subrogada
id_tipo_contrato,STRING,Código do tipo de contrato,,yes,,,no,Discrimina contratos de empenhos: o tipo Empenho responde por cerca de 40% dos registros da tabela,tipoContrato.id,Code of the contract type,Código del tipo de contrato
tipo_contrato,STRING,Nome do tipo de contrato,,no,,,no,,tipoContrato.nome,Name of the contract type,Nombre del tipo de contrato
id_categoria_processo,STRING,Código da categoria do objeto contratado,,yes,,,no,,categoriaProcesso.id,Code of the category of the contracted object,Código de la categoría del objeto contratado
categoria_processo,STRING,Nome da categoria do objeto contratado,,no,,,no,,categoriaProcesso.nome,Name of the category of the contracted object,Nombre de la categoría del objeto contratado
id_fornecedor,STRING,"Número de inscrição do fornecedor contratado, CNPJ para pessoa jurídica e CPF para pessoa física",,no,,,yes,"Contém CPF quando o fornecedor é pessoa física, conforme publicado pelo PNCP",niFornecedor,"Registry number of the contracted supplier, CNPJ for legal entities and CPF for individuals","Número de inscripción del proveedor contratado, CNPJ para persona jurídica y CPF para persona física"
nome_fornecedor,STRING,Nome ou razão social do fornecedor contratado,,no,,,yes,,nomeRazaoSocialFornecedor,Name or legal name of the contracted supplier,Nombre o razón social del proveedor contratado
tipo_pessoa_fornecedor,STRING,Tipo de pessoa do fornecedor contratado,,yes,,,no,"PJ pessoa jurídica, PF pessoa física, PE pessoa estrangeira",tipoPessoa,Person type of the contracted supplier,Tipo de persona del proveedor contratado
codigo_pais_fornecedor,STRING,Código do país do fornecedor contratado,,no,,,no,,codigoPaisFornecedor,Country code of the contracted supplier,Código del país del proveedor contratado
id_fornecedor_subcontratado,STRING,Número de inscrição do fornecedor subcontratado,,no,,,yes,,niFornecedorSubContratado,Registry number of the subcontracted supplier,Número de inscripción del proveedor subcontratado
nome_fornecedor_subcontratado,STRING,Nome ou razão social do fornecedor subcontratado,,no,,,yes,,nomeFornecedorSubContratado,Name or legal name of the subcontracted supplier,Nombre o razón social del proveedor subcontratado
objeto_contrato,STRING,Descrição do objeto do contrato,,no,,,no,,objetoContrato,Description of the object of the contract,Descripción del objeto del contrato
informacao_complementar,STRING,Informação complementar registrada pelo órgão contratante,,no,,,no,,informacaoComplementar,Additional information recorded by the contracting agency,Información complementaria registrada por el órgano contratante
indicador_receita,BOOLEAN,Indica se o contrato gera receita para a administração em vez de despesa,,no,,,no,,receita,Whether the contract generates revenue for the administration rather than expenditure,Indica si el contrato genera ingresos para la administración en lugar de gasto
indicador_emenda_parlamentar,BOOLEAN,Indica se o contrato envolve recursos de emenda parlamentar,,no,,,no,,emendaParlamentar,Whether the contract involves congressional amendment funds,Indica si el contrato involucra recursos de enmienda parlamentaria
indicador_fruto_adesao,BOOLEAN,Indica se o contrato resulta de adesão a ata de registro de preços de outro órgão,,no,,,no,,frutoAdesao,Whether the contract results from joining another agency's price registration record,Indica si el contrato resulta de la adhesión al acta de registro de precios de otro órgano
numero_retificacao,INT64,Número de retificações aplicadas ao registro do contrato,,no,,unit,no,,numeroRetificacao,Number of rectifications applied to the contract record,Número de rectificaciones aplicadas al registro del contrato
numero_parcelas,INT64,Número de parcelas previstas para a execução do contrato,,no,,unit,no,,numeroParcelas,Number of instalments planned for contract execution,Número de cuotas previstas para la ejecución del contrato
data_assinatura,DATE,Data de assinatura do contrato,,no,,,no,,dataAssinatura,Date the contract was signed,Fecha de firma del contrato
data_vigencia_inicio,DATE,Data de início da vigência do contrato,,no,,,no,,dataVigenciaInicio,Start date of the contract term,Fecha de inicio de la vigencia del contrato
data_vigencia_fim,DATE,Data de término da vigência do contrato,,no,,,no,,dataVigenciaFim,End date of the contract term,Fecha de término de la vigencia del contrato
data_publicacao,DATE,Data de publicação do registro no PNCP,,no,,,no,,dataPublicacaoPncp,Date the record was published on PNCP,Fecha de publicación del registro en el PNCP
data_atualizacao,DATE,Data da última atualização global do registro no PNCP,,no,,,no,"Usada para desduplicar múltiplas versões do mesmo registro, mantendo a mais recente",dataAtualizacaoGlobal,Date of the last global update of the record on PNCP,Fecha de la última actualización global del registro en el PNCP
valor_inicial,FLOAT64,Valor inicial do contrato,,no,,BRL,no,,valorInicial,Initial value of the contract,Valor inicial del contrato
valor_parcela,FLOAT64,Valor de cada parcela do contrato,,no,,BRL,no,,valorParcela,Value of each contract instalment,Valor de cada cuota del contrato
valor_global,FLOAT64,Valor global do contrato,,no,,BRL,no,,valorGlobal,Global value of the contract,Valor global del contrato
valor_acumulado,FLOAT64,Valor acumulado do contrato após termos aditivos e reajustes,,no,,BRL,no,,valorAcumulado,Accumulated contract value after amendments and adjustments,Valor acumulado del contrato tras adiciones y reajustes
