name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
ano,INT64,Ano de publicação do registro no PNCP,2023(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, derivada da data de publicação no PNCP",dataInclusao,Year the record was published on PNCP,Año de publicación del registro en el PNCP
cnpj_orgao,STRING,CNPJ do órgão ou entidade ao qual o instrumento de cobrança se refere,,no,,,no,,cnpj,CNPJ of the agency or entity the billing instrument refers to,CNPJ del órgano o entidad al que se refiere el instrumento de cobro
ano_contrato,INT64,Ano do contrato ao qual o instrumento de cobrança está vinculado,,no,,year,no,,ano,Year of the contract the billing instrument is linked to,Año del contrato al que está vinculado el instrumento de cobro
sequencial_contrato,STRING,Número sequencial do contrato ao qual o instrumento de cobrança está vinculado,,no,,,no,,sequencialContrato,Sequential number of the contract the billing instrument is linked to,Número secuencial del contrato al que está vinculado el instrumento de cobro
sequencial_instrumento_cobranca,STRING,Número sequencial do instrumento de cobrança dentro do contrato,,no,,,no,,sequencialInstrumentoCobranca,Sequential number of the billing instrument within the contract,Número secuencial del instrumento de cobro dentro del contrato
id_contrato_pncp,STRING,Número de controle no PNCP do contrato ao qual o instrumento de cobrança se vincula,,no,,,no,Chave de ligação com a tabela contrato,recuperarContratoDTO.numeroControlePNCP,PNCP control number of the contract the billing instrument is linked to,Número de control en el PNCP del contrato al que se vincula el instrumento de cobro
id_tipo_instrumento_cobranca,STRING,Código do tipo de instrumento de cobrança,,yes,,,no,,tipoInstrumentoCobranca.id,Code of the billing instrument type,Código del tipo de instrumento de cobro
tipo_instrumento_cobranca,STRING,Nome do tipo de instrumento de cobrança,,no,,,no,,tipoInstrumentoCobranca.nome,Name of the billing instrument type,Nombre del tipo de instrumento de cobro
numero_instrumento_cobranca,STRING,Número do instrumento de cobrança,,no,,,no,,numeroInstrumentoCobranca,Number of the billing instrument,Número del instrumento de cobro
chave_nfe,STRING,Chave de acesso da nota fiscal eletrônica associada,,no,,,no,,chaveNFe,Access key of the associated electronic invoice,Clave de acceso de la factura electrónica asociada
numero_nfe,STRING,Número da nota fiscal eletrônica associada,,no,,,no,,notaFiscalEletronica.numero,Number of the associated electronic invoice,Número de la factura electrónica asociada
serie_nfe,STRING,Série da nota fiscal eletrônica associada,,no,,,no,,notaFiscalEletronica.serie,Series of the associated electronic invoice,Serie de la factura electrónica asociada
id_emitente_nfe,STRING,Número de inscrição do emitente da nota fiscal eletrônica,,no,,,yes,,notaFiscalEletronica.niEmitente,Registry number of the issuer of the electronic invoice,Número de inscripción del emisor de la factura electrónica
nome_emitente_nfe,STRING,Nome do emitente da nota fiscal eletrônica,,no,,,yes,,notaFiscalEletronica.nomeEmitente,Name of the issuer of the electronic invoice,Nombre del emisor de la factura electrónica
nome_municipio_emitente_nfe,STRING,Nome do município do emitente da nota fiscal eletrônica,,no,,,no,,notaFiscalEletronica.nomeMunicipioEmitente,Name of the municipality of the issuer of the electronic invoice,Nombre del municipio del emisor de la factura electrónica
codigo_orgao_destinatario_nfe,STRING,Código do órgão destinatário da nota fiscal eletrônica,,no,,,no,,notaFiscalEletronica.codigoOrgaoDestinatario,Code of the agency receiving the electronic invoice,Código del órgano destinatario de la factura electrónica
nome_orgao_destinatario_nfe,STRING,Nome do órgão destinatário da nota fiscal eletrônica,,no,,,no,,notaFiscalEletronica.nomeOrgaoDestinatario,Name of the agency receiving the electronic invoice,Nombre del órgano destinatario de la factura electrónica
tipo_evento_recente_nfe,STRING,Tipo do evento mais recente registrado na nota fiscal eletrônica,,no,,,no,,notaFiscalEletronica.tipoEventoMaisRecente,Type of the most recent event recorded on the electronic invoice,Tipo del evento más reciente registrado en la factura electrónica
observacao,STRING,Observação registrada sobre o instrumento de cobrança,,no,,,no,,observacao,Note recorded about the billing instrument,Observación registrada sobre el instrumento de cobro
data_emissao,DATE,Data de emissão do documento de cobrança,,no,,,no,,dataEmissaoDocumento,Issue date of the billing document,Fecha de emisión del documento de cobro
data_inclusao,DATE,Data de inclusão do instrumento de cobrança no PNCP,,no,,,no,,dataInclusao,Date the billing instrument was recorded on PNCP,Fecha de inclusión del instrumento de cobro en el PNCP
data_atualizacao,DATE,Data da última atualização do instrumento de cobrança no PNCP,,no,,,no,,dataAtualizacao,Date of the last update of the billing instrument on PNCP,Fecha de la última actualización del instrumento de cobro en el PNCP
valor_nota_fiscal,FLOAT64,Valor total da nota fiscal eletrônica associada,,no,,BRL,no,,notaFiscalEletronica.valorNotaFiscal,Total value of the associated electronic invoice,Valor total de la factura electrónica asociada
