name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,INT64,Ano de publicacao da licitacao,,no,,year,no,"Coluna de particao, derivada de fecha_publicacion",
mes,INT64,Mes de publicacao da licitacao,,no,,month,no,"Coluna de particao, derivada de fecha_publicacion",
codigo_licitacion,STRING,"Codigo publico da licitacao, no formato <unidade>-<correlativo>-<tipo><ano>",,no,,,no,Chave logica; liga a orden_compra_item.codigo_licitacion,CodigoExterno
codigo_item,STRING,Codigo da linha de item da licitacao,,no,,,no,Compoe a chave logica junto de codigo_licitacion,Codigoitem
id_licitacion,STRING,Identificador interno da licitacao no Mercado Publico,,no,,,no,,Codigo
url,STRING,Endereco da ficha da licitacao no Mercado Publico,,no,,,no,,Link
nombre,STRING,Nome da licitacao,,no,,,no,,Nombre
descripcion,STRING,Descricao da licitacao,,no,,,no,,Descripcion
tipo_adquisicion,STRING,Tipo de aquisicao da licitacao,,no,,,no,Cabecalho grafado com acento ate 2014 e sem acento a partir de 2015,Tipo de Adquisicion
codigo_estado,STRING,Codigo do estado da licitacao,,yes,,,no,,CodigoEstado
estado,STRING,Estado da licitacao,,no,,,no,,Estado
codigo_estado_licitacion,STRING,Codigo detalhado do estado da licitacao,,yes,,,no,,CodigoEstadoLicitacion
codigo_organismo,STRING,Codigo do organismo publico licitante,,no,,,no,,CodigoOrganismo
nombre_organismo,STRING,Nome do organismo publico licitante,,no,,,no,,NombreOrganismo
sector,STRING,Setor do Estado a que pertence o organismo licitante,,no,,,no,Ausente nos arquivos de 2007 a 2014,sector
rut_unidad_compra,STRING,RUT da unidade compradora,,no,,,no,Formato com pontos e digito verificador,RutUnidad
codigo_unidad_compra,STRING,Codigo da unidade compradora,,no,,,no,,CodigoUnidad
nombre_unidad_compra,STRING,Nome da unidade compradora,,no,,,no,,NombreUnidad
direccion_unidad_compra,STRING,Endereco da unidade compradora,,no,,,no,,DireccionUnidad
id_comuna_unidad_compra,STRING,Codigo unico territorial (CUT) da comuna da unidade compradora,,no,br_bd_diretorios_cl.comuna:id_comuna,,no,Derivado do nome publicado pela fonte via a tabela de correspondencia code/geografia_crosswalk.csv. A geografia da unidade compradora vem controlada pelo sistema e resolve para um CUT em 100% das linhas nao nulas,
comuna_unidad_compra,STRING,Comuna da unidade compradora,,no,,,no,,ComunaUnidad
