name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
ano,INT64,Año del trimestre móvil al que corresponde el registro,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Columna de partición. Es el año del mes CENTRAL del trimestre móvil, no el año de la entrevista: el trimestre centrado en enero abarca diciembre del año anterior. Nombre en la fuente: ano_trimestre",ano_trimestre
mes,INT64,"Mes central del trimestre móvil al que corresponde el registro, de 1 a 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"Columna de partición. Mes central del trimestre móvil; el trimestre abarca el mes anterior, el mes central y el siguiente. Nombre en la fuente: mes_central",mes_central
ano_encuesta,STRING,Año del período de recolección de datos,,no,,,no,No coincide necesariamente con ano: en el trimestre móvil centrado en enero la recolección abarca diciembre del año anterior,
mes_encuesta,STRING,"Mes del período de recolección de datos, de 1 a 12",,yes,,,no,"Mes en que se entrevistó a la persona, dentro de los tres meses del trimestre móvil",
id_region,STRING,Código CUT de la región de residencia de la persona encuestada,,no,br_bd_diretorios_cl.region:id_region,,no,"La fuente publica el código sin ceros a la izquierda (1 a 16); aquí se rellena a 2 dígitos para que empalme con el directorio. El INE recodificó toda la serie desde 2010 a la división vigente de 16 regiones, de modo que los archivos antiguos ya incluyen Ñuble (16)",region
id_provincia,STRING,Código CUT de la provincia de residencia de la persona encuestada,,no,br_bd_diretorios_cl.provincia:id_provincia,,no,La fuente publica el código sin ceros a la izquierda; aquí se rellena a 3 dígitos,provincia
id_comuna,STRING,Código CUT de la comuna de residencia de la persona encuestada,,no,br_bd_diretorios_cl.comuna:id_comuna,,no,La fuente publica el código sin ceros a la izquierda; aquí se rellena a 5 dígitos. Empalma con br_bd_diretorios_cl.comuna sin excepciones. La comuna identifica la vivienda seleccionada: el diseño muestral de la ENE NO contempla estimaciones comunales,r_p_c
tipo,STRING,Tipo de estrato,,yes,,,no,Categoría 2 Resto de Área Urbana (RAU) dejó de utilizarse a partir de EFM 2022,
estrato,STRING,Estrato muestral,,no,,,no,,
conglomerado,STRING,Permite identificar el conglomerado correspondiente a la unidad primaria de muestreo,2019-12(1),no,,,no,Conglomerado Vigente desde NDE 2019 a la fecha,
id_identificacion,STRING,Identificador único del hogar,,no,,,no,Identifica el hogar dentro del trimestre móvil. No es un identificador de panel entre trimestres,
hogar,STRING,Número del hogar dentro de la vivienda,,no,,,no,,
idrph,STRING,Identificador único de personas,,no,,,no,Identificador de persona dentro del trimestre móvil. Su formato cambia a lo largo de la serie y no permite seguir a la misma persona entre trimestres,
nro_linea,STRING,Número de línea de la persona dentro del cuestionario,,no,,,no,Número de línea de persona Corresponde al orden con el cual la persona fue,
proveedor,STRING,Indica si la persona es la proveedora económica principal del hogar,,no,,,no,,
parentesco,STRING,Parentesco con proveedor/a principal del hogar,,yes,,,no,"Entre EFM 2020 y NDE 2019, el código 1 identificaba al jefe o jefa de hogar, concepto que fue reemplazado por proveedor/a principal a partir de DEF 2020. Los valores 0 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
sexo,STRING,Sexo,,yes,,,no,"Corresponde al sexo declarado respecto a la persona entrevistada (INE, 2022b)",
edad,INT64,"Edad de la persona durante la semana de referencia de la encuesta, de 0 a 120 años",,no,,year,no,,
est_conyugal,STRING,Estado civil  o conyugal,,yes,,,no,,
mig1,STRING,¿En qué país vivía hace cinco años?,2020-02(1),yes,,,no,"Vigente desde EFM 2020 a la fecha como nueva dimensión de análisis (INE, 2021c)",
mig2_cod,STRING,Comuna en que vivía hace cinco años,2020-02(1),no,,,no,,
mig3_cod,STRING,País en que vivía hace cinco años,2020-02(1),yes,,,no,,
mig4,STRING,"Cuando nació, ¿en qué comuna o país vivía su madre?",2020-02(1),yes,,,no,"Vigente desde EFM 2020 a la fecha como nueva dimensión de análisis (INE, 2021c)",
mig5_cod,STRING,Comuna en que vivía su madre cuando la persona nació,2020-02(1),no,,,no,,
mig6_cod,STRING,País en que vivía su madre cuando la persona nació,2020-02(1),yes,,,no,,
nacionalidad,STRING,Nacionalidad de la persona encuestada,,yes,,,no,"Los valores 0 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
orig1,STRING,¿Se considera perteneciente a algún pueblo indígena u originario?,2020-02(1),yes,,,no,"Vigente desde EFM 2020 a la fecha como nueva dimensión de análisis (INE, 2021c)",
orig2,STRING,Pueblo indígena u originario al que la persona declara pertenecer,2020-02(1),yes,,,no,"Vigente desde EFM 2020 a la fecha como nueva dimensión de análisis (INE, 2021c)",
orig3,STRING,"Pueblo indígena u originario declarado, cuando orig2 es «Otro»",2020-02(1),no,,,no,Especifica orig2=20 (Otro). Pregunta abierta. Vigente desde EFM 2020 a la fecha como,
curso,STRING,Curso más alto aprobado 1 – 8,,no,,,no,Vigente desde EFM 2010 a la fecha. Equivale a edu1 y se mantiene solo con fines de comparabilidad,
nivel,STRING,Nivel educacional más alto aprobado,,yes,,,no,Vigente desde EFM 2010 a la fecha,
termino_nivel,STRING,Término de nivel educacional,,yes,,,no,Vigente desde EFM 2010 a la fecha. Equivale a edu3 y se mantiene solo con fines de comparabilidad,
estudia_actual,STRING,¿Se encuentra estudiando actualmente en un establecimiento educacional?,2020-02(1),yes,,,no,Vigente desde EFM 2020 a la fecha. Réplica de variable edu4 creada con fines analíticos. Corresponde a cuestionario vigente,
edu1,STRING,¿Cuál es el curso o año más alto aprobado?,2020-02(1),yes,,,no,Vigente desde EFM 2020 a la fecha,
edu2,STRING,Nivel educacional al que corresponde el curso declarado,2020-02(1),yes,,,no,,
edu3,STRING,¿Terminó el nivel antes declarado?,2020-02(1),yes,,,no,Vigente desde EFM 2020 a la fecha,
edu4,STRING,¿Se encuentra estudiando actualmente?,2020-02(1),yes,,,no,Vigente desde EFM 2020 a la fecha. Réplica de variable estudia_actual creada con fines analíticos. Corresponde a cuestionario vigente,
a1,STRING,"La semana pasada, es decir, entre lunes y domingo, ¿trabajó por lo menos una hora?",,yes,,,no,,
a2,STRING,"Independientemente de lo que acaba de decir, ¿hizo algún negocio, ""pololo"" u otra actividad por cuenta propia por lo menos durante una hora?",,yes,,,no,,
a3,STRING,"Por ese trabajo, ¿recibió o recibirá un pago en dinero o en especie?",,yes,,,no,,
a4,STRING,"Ese trabajo, ¿fue realizado para la empresa o negocio perteneciente a un miembro de su hogar?",,yes,,,no,,
a5,STRING,"Aunque no trabajó la semana pasada, ¿tenía durante dicho periodo un empleo, negocio u otra actividad por la que recibe o recibirá un pago en dinero o en especie?",,yes,,,no,,
a6,STRING,¿Por qué razón no trabajó la semana pasada?,,yes,,,no,"Los valores 88, 99 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
a6_otro,STRING,Especifica a6 = Otras razones de ausencia del trabajo Pregunta abierta,,no,,,no,,
a7,STRING,"Durante este período en que no trabajó, ¿siguió recibiendo sueldo o ganancias?",,yes,,,no,"Los valores 88, 99 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
a8,STRING,¿En cuánto tiempo más volverá a trabajar?,,yes,,,no,,
b1,STRING,Grupo de ocupación según CIUO-08,2017-02(1),yes,,,no,,
b2,STRING,Realizó ese trabajo… actividad por cuenta propia?,,yes,,,no,,
b3,STRING,Por ese trabajo…,,yes,,,no,,
b4,STRING,En ese trabajo ¿emplea personas para su negocio o actividad? No incluya a miembros de su familia no remunerados,,yes,,,no,,
b5,STRING,"El negocio, empresa o institución donde trabajó la semana pasada era",,yes,,,no,,
b6,STRING,Su trabajo en ese hogar es…,,yes,,,no,,
b7a_1,STRING,"Su empleador, ¿cotiza por usted en el sistema previsional o de pensión?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7a_2,STRING,"Su empleador, ¿cotiza por usted en el sistema de salud (público o privado)?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7a_3,STRING,"Su empleador, ¿cotiza por usted en el sistema de seguro de desempleo?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7b_1,STRING,"En este trabajo, ¿tiene derecho, aunque no utilice, a vacaciones anuales?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7b_2,STRING,"En este trabajo, ¿tiene derecho, aunque no utilice, a días pagados por enfermedad?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7b_3,STRING,"En este trabajo, ¿tiene derecho, aunque no utilice, a permiso por maternidad o paternidad?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b7b_4,STRING,"En este trabajo, ¿tiene derecho, aunque no utilice, a servicio de guardería infantil?",2017-08(1),yes,,,no,Vigente desde JAS 2017 a la fecha (véase Anexo 4),
b8,STRING,"En ese empleo, ¿tiene contrato escrito?",,yes,,,no,,
b9,STRING,La duración de ese contrato o acuerdo de trabajo es,,yes,,,no,,
b10,STRING,Su contrato o acuerdo definido es…,,yes,,,no,"Los valores 6 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
b12,STRING,Está contratado o tiene un acuerdo de trabajo…,,yes,,,no,,
b13_rev4cl_caenes,STRING,Rama de actividad económica de empresa que (adaptación de CIIU Rev. 4.cl),2016-02(1),yes,,,no,,
b14_rev4cl_caenes,STRING,Rama de actividad económica de empresa (adaptación de CIIU Rev. 4.cl),2013-02(1),yes,,,no,,
b15_1,STRING,"En todo el país, ¿cuántas personas trabajan en esa empresa, negocio, institución que le paga o actividad por cuenta propia? 1 Menos de 5 2 De 5 a 10 personas 3 Entre 11 y 49 4 Entre 50 y 199 5 200 y más personas",,no,,,no,,
b15_2,STRING,"Número exacto, hasta 10 personas Valores de 1 a 10",,no,,,no,,
b16,STRING,"En la semana que terminó el domingo pasado, ¿dónde realizó principalmente sus tareas?",,yes,,,no,,
b16_otro,STRING,Especifica b16 = En otros lugares Pregunta abierta,,no,,,no,,
b17_mes,STRING,"Y, ¿desde cuándo trabaja para ese empleador, en ese negocio o actividad por cuenta propia? Mes",,yes,,,no,"Los valores 98, 1997 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
b17_ano,STRING,"Y, ¿desde cuándo trabaja para ese empleador, en ese negocio o actividad por cuenta propia? Año",,no,,,no,,
b18_region,STRING,"¿En qué región se ubica la empresa, negocio, institución o actividad por cuenta propia donde realizó su trabajo?",,no,,,no,,
b18_codigo,STRING,"¿En qué comuna se ubica la empresa, negocio, institución o actividad por cuenta propia donde realizó su trabajo?",,no,,,no,,
b18_varias,STRING,¿Realizó su trabajo en solamente una comuna?,,yes,,,no,,
b19,STRING,"Durante la semana de referencia, además del trabajo descrito, ¿tuvo algún otro empleo o hizo algún negocio, ""pololo"" u actividad remunerada por cuenta",,yes,,,no,,
dependencia_segunda,STRING,"Ese otro trabajo, ¿lo hacía para su propia empresa, negocio o actividad por cuenta propia?",2020-02(1),yes,,,no,"Vigente desde EFM 2020 a la fecha como nueva dimensión de análisis (INE, 2021d). Las preguntas sobre informalidad laboral son parte de la sección B “ Caracterización de la actividad principal ”. Se presentan separadas de ésta sólo con fines expositivos. 7",
i1,STRING,"La empresa, negocio o institución que le paga su sueldo, ¿está registrada en el Servicio de Impuestos Internos (SII) o tiene iniciación de actividades?",2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017). Los valores 3 aparecen en los datos pero el libro de códigos del INE no los define; se publican tal cual, sin etiqueta",
i2,STRING,"La empresa, negocio o institución que le paga su sueldo, ¿cuenta con los servicios de un contador o tiene oficina de contabilidad?",2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017)",
i3,STRING,"¿Cuál es el nombre de la empresa, negocio o institución que le paga su sueldo?",2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017). El nombre no se publica por estar regido por secreto estadístico",
i3_v,STRING,Verificación de respuesta entregada con Directorio de Empresas del INE,2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017). Variable creada tras la identificación de la empresa en registros administrativos. La información es utilizada para definir formalidad del sector económico al cual pertenece la empresa. 7 Las preguntas sobre informalidad laboral fueron incorporadas a la ENE en el mes de julio de 2017, siendo el primer trimestre móvil con información para la totalidad de la muestra el correspondiente a julio-septiembre de ese mismo año. Para mayores antecedentes metodológicos información, véase INE, 2020b",
i4,STRING,"La empresa, negocio o actividad en la que trabaja, ¿está registrada en el Servicio de Impuestos Internos (SII) o tiene iniciación de actividades?",2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017)",
i5,STRING,"La empresa, negocio o actividad en la que trabaja, ¿se encuentra registrada como…",2017-08(1),yes,,,no,"Vigente desde JAS 2017 a la fecha (INE, 2017)",
