name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
person_id,STRING,Identificador da pessoa focal,,no,,,no,References cn_hvd_cbdb.person.person_id,c_personid
assoc_person_id,STRING,Identificador da pessoa associada,,no,,,no,References cn_hvd_cbdb.person.person_id,c_assoc_id
association_code,STRING,Código do tipo de associação,,no,,,no,References sibling table cn_hvd_cbdb.association_code,c_assoc_code
kinship_code,STRING,Código de parentesco pelo qual a pessoa focal se liga à associação,,no,,,no,References sibling table cn_hvd_cbdb.kinship_code,c_kin_code
kin_person_id,STRING,Parente da pessoa focal envolvido na associação,,no,,,no,References cn_hvd_cbdb.person.person_id,c_kin_id
assoc_kinship_code,STRING,Código de parentesco pelo qual a pessoa associada se liga à associação,,no,,,no,References sibling table cn_hvd_cbdb.kinship_code,c_assoc_kin_code
assoc_kin_person_id,STRING,Parente da pessoa associada envolvido na associação,,no,,,no,References cn_hvd_cbdb.person.person_id,c_assoc_kin_id
first_year,INT64,Primeiro ano da associação (calendário ocidental),,no,,year,no,,c_assoc_first_year
last_year,INT64,Último ano da associação (calendário ocidental),,no,,year,no,,c_assoc_last_year
address_code,STRING,Código do local onde a associação ocorreu,,no,,,no,References sibling table cn_hvd_cbdb.address_code,c_addr_id
text_title,STRING,"Título do texto que documenta a associação, quando aplicável",,no,,,no,,c_text_title
source_id,STRING,Identificador da fonte histórica que documenta o registro,,no,,,no,,c_source
source_pages,STRING,Páginas ou localização na fonte histórica citada,,no,,,no,,c_pages
notes,STRING,"Notas textuais livres sobre o registro, conforme o CBDB",,no,,,no,,c_notes
