name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the ESS round (round start year).,,no,br_bd_diretorios_data_tempo.ano:ano,year,,,essround (derived)
round,INT64,ESS round number (1-11).,,no,,,,,essround
country_id,STRING,Country ISO 3166-1 alpha-2 code (native ESS country identifier).,,no,br_bd_diretorios_mundo.pais:sigla_iso2,,,,cntry
respondent_id,STRING,"Respondent identification number, unique within country and round.",,no,,,,,idno
dataset_title,STRING,Title of dataset,,no,,,no,,name
edition,STRING,Edition,,no,,,no,,edition
production_date,STRING,Production date,,no,,,no,,proddate
design_weight,FLOAT64,Design weight,,no,,,no,,dweight
poststratification_weight,FLOAT64,Post-stratification weight including design weight,,no,,,no,,pspwght
population_size_weight,FLOAT64,Population size weight (must be combined with dweight or pspwght),,no,,,no,,pweight
analysis_weight,FLOAT64,Analysis weight,,no,,,no,,anweight
minutes_news_politics,INT64,"News about politics and current affairs, watching, reading or listening, in minu",,no,,,no,,nwspol
internet_use_frequency,STRING,"Internet use, how often",,yes,,,no,,netusoft
minutes_internet_use,INT64,"Internet use, how much time on typical day, in minutes",,no,,,no,,netustm
most_people_can_be_trusted,INT64,Most people can be trusted or you can't be too careful,,no,,,no,,ppltrst
most_people_try_to_be_fair,INT64,"Most people try to take advantage of you, or try to be fair",,no,,,no,,pplfair
most_people_helpful,INT64,Most of the time people helpful or mostly looking out for themselves,,no,,,no,,pplhlp
interest_in_politics,STRING,How interested in politics,,yes,,,no,,polintr
political_system_allows_say,STRING,Political system allows people to have a say in what government does,,yes,,,no,,psppsgva
able_to_take_active_role,STRING,Able to take active role in political group,,yes,,,no,,actrolga
political_system_allows_influence,STRING,Political system allows people to have influence on politics,,yes,,,no,,psppipla
confident_participate_politics,STRING,Confident in own ability to participate in politics,,yes,,,no,,cptppola
trust_parliament,INT64,Trust in country's parliament,,no,,,no,,trstprl
trust_legal_system,INT64,Trust in the legal system,,no,,,no,,trstlgl
trust_police,INT64,Trust in the police,,no,,,no,,trstplc
trust_politicians,INT64,Trust in politicians,,no,,,no,,trstplt
trust_political_parties,INT64,Trust in political parties,,no,,,no,,trstprt
trust_european_parliament,INT64,Trust in the European Parliament,,no,,,no,,trstep
trust_united_nations,INT64,Trust in the United Nations,,no,,,no,,trstun
voted_last_national_election,STRING,Voted last national election,,yes,,,no,,vote
party_voted_austria,STRING,"Party voted for in last national election, Austria",,yes,,,no,,prtvtdat
party_voted_belgium,STRING,"Party voted for in last national election, Belgium",,yes,,,no,,prtvtebe
party_voted_bulgaria,STRING,"Party voted for in last national election, Bulgaria",,yes,,,no,,prtvtfbg
party_voted_croatia,STRING,"Party voted for in last national election, Croatia",,yes,,,no,,prtvtchr
party_voted_cyprus,STRING,"Party voted for in last national election, Cyprus",,yes,,,no,,prtvtccy
party_voted_estonia_10,STRING,"Party voted for in last national election, Estonia",,yes,,,no,,prtvtiee
party_voted_finland,STRING,"Party voted for in last national election, Finland",,yes,,,no,,prtvtffi
party_voted_france_ballot_1,STRING,"Party voted for in last national election, France (ballot 1)",,yes,,,no,,prtvtffr
party_voted_1_germany,STRING,"Party voted for in last national election 1, Germany",,yes,,,no,,prtvgde1
party_voted_2_germany,STRING,"Party voted for in last national election 2, Germany",,yes,,,no,,prtvgde2
party_voted_greece,STRING,"Party voted for in last national election, Greece",,yes,,,no,,prtvtegr
party_voted_hungary,STRING,"Party voted for in last national election, Hungary",,yes,,,no,,prtvthhu
party_voted_iceland,STRING,"Party voted for in last national election, Iceland",,yes,,,no,,prtvteis
party_voted_ireland_derived_from_1st,STRING,"Party voted for in last national election, Ireland (derived from 1st preference",,yes,,,no,,prtvteie
party_voted_israel,STRING,"Party voted for in last national election, Israel",,yes,,,no,,prtvteil
party_voted_italy,STRING,"Party voted for in last national election, Italy",,yes,,,no,,prtvteit
party_voted_latvia,STRING,"Party voted for in last national election, Latvia",,yes,,,no,,prtvtblv
party_voted_1_lithuania_first_vote_party,STRING,"Party voted for in last national election 1, Lithuania (first vote, party)",,yes,,,no,,prtvclt1
party_voted_2_lithuania_second_vote_party,STRING,"Party voted for in last national election 2, Lithuania (second vote, party)",,yes,,,no,,prtvclt2
party_voted_3_lithuania_third_vote_party,STRING,"Party voted for in last national election 3, Lithuania (third vote, party)",,yes,,,no,,prtvclt3
party_voted_montenegro,STRING,"Party voted for in last national election, Montenegro",,yes,,,no,,prtvtbme
party_voted_netherlands,STRING,"Party voted for in last national election, Netherlands",,yes,,,no,,prtvtinl
