name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
annee,INT64,"Ano da observação, em tempo universal coordenado (UTC)",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,validity_time
mois,INT64,"Mês da observação, em tempo universal coordenado (UTC)",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,,validity_time
date,DATE,"Data da observação, em tempo universal coordenado (UTC)",,no,,,no,,validity_time
heure,TIME,"Hora da observação, em tempo universal coordenado (UTC)",,no,,,no,,validity_time
indicatif_omm,STRING,"Indicativo OMM da estação, de cinco dígitos",,no,,,no,"As estações do arquivo SYNOP passaram de 60 para 190 a partir de 2025, quando a Météo-France ampliou a rede publicada.",geo_id_wmo
date_heure_traitement,DATETIME,Data e hora (UTC) da extração da medição das bases internas da Météo-France,,no,,,no,"Vazia nas observações anteriores a 2025, quando a fonte passou a publicar o campo.",reference_time
date_heure_insertion,DATETIME,Data e hora (UTC) da inserção da medição do sensor nas bases internas da Météo-France,,no,,,no,"Vazia nas observações anteriores a 2025, quando a fonte passou a publicar o campo. Usada para desduplicar retransmissões da mesma medição.",insert_time
pression_mer,INT64,Pressão atmosférica reduzida ao nível do mar,,no,,pascal,no,,pmer
variation_pression_3h,INT64,Variação da pressão atmosférica nas últimas 3 horas,,no,,pascal,no,,tend
type_tendance_barometrique,STRING,Tipo de tendência barométrica (tabela de código OMM 0200),,yes,,,no,A tabela OMM 0200 define apenas os valores 0 a 8. O valor 10 aparece em 109 das 4.750.246 observações preenchidas e não tem significado definido na fonte.,cod_tend
direction_vent_moyen,INT64,"Direção do vento médio em 10 minutos, em graus a partir do norte geográfico",,no,,degree,no,,dd
vitesse_vent_moyen,FLOAT64,Velocidade do vento médio em 10 minutos,,no,,meter / second,no,,ff
temperature,FLOAT64,Temperatura do ar sob abrigo,,no,,kelvin,no,,t
point_rosee,FLOAT64,Temperatura do ponto de orvalho,,no,,kelvin,no,,td
humidite,INT64,Umidade relativa do ar,,no,,percent,no,,u
visibilite_horizontale,FLOAT64,Visibilidade horizontal,,no,,meter,no,,vv
temps_present,STRING,Tempo presente observado no momento da medição (tabela de código OMM 4677),,yes,,,no,"Os valores publicados seguem o descritor BUFR 0 20 003: 0 a 99 correspondem à tabela OMM 4677 (observação humana) e 100 ou mais à tabela OMM 4680 (estação automática). O arquivo 1996-2026 contém 121, 141 e 142.",ww
temps_passe_1,STRING,"Tempo passado 1, observado no período anterior à medição (tabela de código OMM 4561)",,yes,,,no,Os valores publicados seguem o descritor BUFR 0 20 004: 0 a 9 correspondem à tabela OMM 4561 (observação humana) e 10 a 19 à tabela OMM 4531 (estação automática). O arquivo 1996-2026 contém 14.,w1
temps_passe_2,STRING,"Tempo passado 2, observado no período anterior à medição (tabela de código OMM 4561)",,yes,,,no,Os valores publicados seguem o descritor BUFR 0 20 005: 0 a 9 correspondem à tabela OMM 4561 (observação humana) e 10 a 19 à tabela OMM 4531 (estação automática).,w2
nebulosite_totale,FLOAT64,"Nebulosidade total, isto é, fração do céu coberta por nuvens",,no,,percent,no,,n
nebulosite_etage_inferieur,INT64,Nebulosidade das nuvens do andar inferior,,no,,,no,"Publicada em octas, isto é, oitavos de céu coberto, de 0 a 8. A unidade de medida fica em branco por ser adimensional e não constar do vocabulário da plataforma.",nbas
hauteur_base_nuages_inferieurs,INT64,Altura da base das nuvens do andar inferior,,no,,meter,no,,hbas
