name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano do estudo,,no,br_bd_diretorios_data_tempo.ano:ano,,no,Renamed from VCF0004 (study year); table partition column,VCF0004,Year of study,Año del estudio
VCF0006,STRING,Número do entrevistado no estudo: ID do caso no nível do ano,,no,,,no,,VCF0006,Study respondent number: year-level case ID,Número del entrevistado en el estudio: ID del caso a nivel de año
VCF0006a,STRING,Número único do entrevistado (ID entre anos para casos de painel),,no,,,no,,VCF0006a,Unique respondent number (cross-year ID for panel cases),Número único del entrevistado (ID entre años para casos de panel)
VCF0009x,FLOAT64,"Peso amostral: para 1970 tipo 0; amostra FTF de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0009x,"Weight: for 1970 type 0; 2012, 2016, 2024 FTF sample","Peso muestral: para 1970 tipo 0; muestra FTF de 2012, 2016, 2024"
VCF0010x,FLOAT64,"Peso amostral: para 1970 tipo 1; amostra FTF de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0010x,"Weight: for 1970 type 1; 2012, 2016, 2024 FTF sample","Peso muestral: para 1970 tipo 1; muestra FTF de 2012, 2016, 2024"
VCF0011x,FLOAT64,"Peso amostral: para 1970 tipo 2; amostra FTF de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0011x,"Weight: for 1970 type 2; 2012, 2016, 2024 FTF sample","Peso muestral: para 1970 tipo 2; muestra FTF de 2012, 2016, 2024"
VCF0009y,FLOAT64,"Peso amostral: para 1970 tipo 0; amostra web de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0009y,"Weight: for 1970 type 0; 2012, 2016, 2024 web sample","Peso muestral: para 1970 tipo 0; muestra web de 2012, 2016, 2024"
VCF0010y,FLOAT64,"Peso amostral: para 1970 tipo 1; amostra web de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0010y,"Weight: for 1970 type 1; 2012, 2016, 2024 web sample","Peso muestral: para 1970 tipo 1; muestra web de 2012, 2016, 2024"
VCF0011y,FLOAT64,"Peso amostral: para 1970 tipo 2; amostra web de 2012, 2016, 2024",,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0011y,"Weight: for 1970 type 2; 2012, 2016, 2024 web sample","Peso muestral: para 1970 tipo 2; muestra web de 2012, 2016, 2024"
VCF0009z,FLOAT64,Peso amostral: para 1970 tipo 0; amostra completa 2012-2024,,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0009z,Weight: for 1970 type 0; 2012-2024 full sample,Peso muestral: para 1970 tipo 0; muestra completa 2012-2024
VCF0010z,FLOAT64,Peso amostral: para 1970 tipo 1; amostra completa 2012-2024,,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0010z,Weight: for 1970 type 1; 2012-2024 full sample,Peso muestral: para 1970 tipo 1; muestra completa 2012-2024
VCF0011z,FLOAT64,Peso amostral: para 1970 tipo 2; amostra completa 2012-2024,,no,,,no,Dimensionless survey weight; see codebook appendix on weights in the CDF,VCF0011z,Weight: for 1970 type 2; 2012-2024 full sample,Peso muestral: para 1970 tipo 2; muestra completa 2012-2024
