name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the ATUS interview (diary year).,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column. Derived from the first four digits of tucaseid.,TUYEAR
tucaseid,STRING,ATUS case identification number; primary key that links all ATUS files. First four digits are the interview year.,,no,,,no,,TUCASEID
tu20fwgt001,FLOAT64,"Replicate final weight 1 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT001
tu20fwgt002,FLOAT64,"Replicate final weight 2 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT002
tu20fwgt003,FLOAT64,"Replicate final weight 3 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT003
tu20fwgt004,FLOAT64,"Replicate final weight 4 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT004
tu20fwgt005,FLOAT64,"Replicate final weight 5 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT005
tu20fwgt006,FLOAT64,"Replicate final weight 6 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT006
tu20fwgt007,FLOAT64,"Replicate final weight 7 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT007
tu20fwgt008,FLOAT64,"Replicate final weight 8 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT008
tu20fwgt009,FLOAT64,"Replicate final weight 9 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT009
tu20fwgt010,FLOAT64,"Replicate final weight 10 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT010
tu20fwgt011,FLOAT64,"Replicate final weight 11 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT011
tu20fwgt012,FLOAT64,"Replicate final weight 12 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT012
tu20fwgt013,FLOAT64,"Replicate final weight 13 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT013
tu20fwgt014,FLOAT64,"Replicate final weight 14 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT014
tu20fwgt015,FLOAT64,"Replicate final weight 15 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT015
tu20fwgt016,FLOAT64,"Replicate final weight 16 of 160 (2020 pandemic weighting method), used for variance/standard-error estimation.",,no,,,no,Dimensionless statistical weight.,TU20FWGT016
