name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the ATUS interview (diary year).,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Partition column, renamed from TUYEAR.",TUYEAR
tucaseid,STRING,ATUS case identification number; primary key that links all ATUS files. First four digits are the interview year.,,no,,,no,,TUCASEID
tulineno,STRING,ATUS person line number identifying each individual within the household.,,no,,,no,,TULINENO
tespuhrs,FLOAT64,Usual hours of work per week of spouse or unmarried partner,,no,,hour,no,,TESPUHRS
trdtind1,STRING,Detailed industry recode (main job),,yes,,,no,,TRDTIND1
trdtocc1,STRING,Detailed occupation recode (main job),,yes,,,no,,TRDTOCC1
trernhly,FLOAT64,Hourly earnings at main job (2 implied decimals),,no,,USD,no,,TRERNHLY
trernupd,STRING,Earnings update flag,,yes,,,no,,TRERNUPD
trhernal,STRING,TRERNHLY: allocation flag,,yes,,,no,,TRHERNAL
trhhchild,STRING,Presence of household children < 18,,yes,,,no,,TRHHCHILD
trimind1,STRING,Intermediate industry recode (main job),,yes,,,no,,TRIMIND1
trmjind1,STRING,Major industry recode (main job),,yes,,,no,,TRMJIND1
trmjocc1,STRING,Major occupation recode (main job),,yes,,,no,,TRMJOCC1
trmjocgr,STRING,Major occupation category (main job),,yes,,,no,,TRMJOCGR
trnhhchild,STRING,Presence of own non-household child < 18,,yes,,,no,,TRNHHCHILD
trnumhou,INT64,Number of people living in respondent's household,,no,,person,no,,TRNUMHOU
trohhchild,STRING,Presence of own household children < 18,,yes,,,no,,TROHHCHILD
trtalone,INT64,Total nonwork-related time respondent spent alone (in minutes),,no,,minute,no,,TRTALONE
trtcc,INT64,Total time spent during diary day providing secondary childcare for household and own nonhousehold children < 13 (in minutes),,no,,minute,no,,TRTCC
trthhfamily,INT64,Total nonwork-related time respondent spent with household family members (in minutes),,no,,minute,no,,TRTHHFAMILY
trtnochild,INT64,Total nonwork-related time respondent spent with nonown children < 18 (in minutes),,no,,minute,no,,TRTNOCHILD
trtnohh,INT64,Total time spent during diary day providing secondary childcare for nonown household children < 13 (in minutes),,no,,minute,no,,TRTNOHH
trto,INT64,Total time spent during diary day providing secondary childcare for own children < 13 (in minutes),,no,,minute,no,,TRTO
trtohh,INT64,Total time spent during diary day providing secondary childcare for own household children < 13 (in minutes),,no,,minute,no,,TRTOHH
trtohhchild,INT64,Total nonwork-related time respondent spent with own household children < 18 (in minutes),,no,,minute,no,,TRTOHHCHILD
trtonhh,INT64,Total time spent during diary day providing secondary childcare for own nonhousehold children < 13 (in minutes),,no,,minute,no,,TRTONHH
trtonhhchild,INT64,Total nonwork-related time respondent spent with own nonhousehold children < 18 (in minutes),,no,,minute,no,,TRTONHHCHILD
trtsponly,INT64,Total nonwork-related time respondent spent with spouse only (in minutes),,no,,minute,no,,TRTSPONLY
trtspouse,INT64,Total nonwork-related time respondent spent with spouse (others may be present) (in minutes),,no,,minute,no,,TRTSPOUSE
trtunmpart,INT64,Total nonwork-related time respondent spent with unmarried partner (others may be present) (in minutes),,no,,minute,no,,TRTUNMPART
trwernal,STRING,TRERNWA: allocation flag,,yes,,,no,,TRWERNAL
tthr,STRING,Hourly pay topcode flag,,yes,,,no,,TTHR
ttot,STRING,Overtime amount topcode flag,,yes,,,no,,TTOT
ttwk,STRING,Weekly earnings topcode flag,,yes,,,no,,TTWK
tuabsot,STRING,"In the last seven days, did you have a job either full or part time?",,yes,,,no,,TUABSOT
teabsrsn,STRING,What was the main reason you were absent from your job last week?,,yes,,,no,,TEABSRSN
teern,INT64,Total weekly overtime earnings (2 implied decimals),,no,,USD,no,,TEERN
teernh1o,FLOAT64,"Excluding overtime pay, tips, and commissions, what is your hourly rate of pay on your main job? (2 implied decimals)",,no,,USD,no,,TEERNH1O
teernh2,INT64,"Excluding overtime pay, tips, and commissions, what is your hourly rate of pay on your main job? (2 implied decimals)",,no,,USD,no,,TEERNH2
teernhro,FLOAT64,How many hours do you usually work per week at this rate?,,no,,hour,no,,TEERNHRO
teernhry,STRING,Hourly/non-hourly status,,yes,,,no,,TEERNHRY
teernper,STRING,"For your main job, what is the easiest way for you to report your total earnings before taxes or other deductions: hourly, weekly, annually, or some other way?",,yes,,,no,,TEERNPER
teernrt,STRING,"Even though you told me it is easier to report your earnings another way, are you paid at an hourly rate on this job?",,yes,,,no,,TEERNRT
teernuot,STRING,"Do you usually receive overtime pay, tips, or commissions at your main job?",,yes,,,no,,TEERNUOT
teernwkp,INT64,How many weeks a year do you get paid?,,no,,week,no,,TEERNWKP
tehrftpt,STRING,Do you usually work more than 35 hours per week at your job(s)/family business?,,yes,,,no,,TEHRFTPT
tehrusl1,INT64,How many hours per week do you usually work at your main job?,,no,,hour,no,,TEHRUSL1
tehrusl2,INT64,How many hours per week do you usually work at your other job(s)?,,no,,hour,no,,TEHRUSL2
