name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the observation,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,year
month,INT64,"Reference month of the observation, from 1 to 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,"Derived from the BLS period code M01-M12; NULL on annual-average rows, which carry period_id M13",period
period_id,STRING,BLS period code identifying the month or the annual average,,yes,,,no,"BLS period code as published. M01-M12 are months; M13 is the annual average BLS publishes in the same files, on which month is NULL",period
state_id,STRING,FIPS code of the state or territory the area belongs to,,no,br_bd_diretorios_us.state:id_state,,no,"Taken from the series catalogue's srd_code. NULL on census region and division rows, whose code 80 is not a state",srd_code
county_id,STRING,"FIPS code of the county, on county rows",,no,br_bd_diretorios_us.county:id_county,,no,"Read from characters 3 to 7 of the LAUS area code, and only on area type F. NULL on every other area type. Four Alaska census areas retired before the current county delineation (02201, 02232, 02261, 02280) appear in 1990-2019 and do not resolve against the directory",area_code
cbsa_id,STRING,"CBSA code, on metropolitan and micropolitan area rows",,no,br_bd_diretorios_us.cbsa_2023:id_cbsa,,no,"Read from characters 5 to 9 of the LAUS area code, and only on area types B and D. Metropolitan divisions and combined areas carry a code in the same position that is not a CBSA code, so they are NULL here and readable only from area_id",area_code
area_type_id,STRING,"LAUS area type, from statewide down to towns and balance-of-state areas",,yes,,,no,,area_type_code
area_id,STRING,LAUS 15-character area code,,yes,,,no,"The only identifier that covers every area type. The first two characters name the kind of area: ST state, MT metropolitan, DV metropolitan division, MC micropolitan, CA combined, CN county, CS and CT cities and towns, PT part of a city, SA small labor market area, ID and IM interstate part, BS balance of state, RD census region or division",area_code
series_id,STRING,Full BLS LAUS series identifier,,no,,,no,"Kept alongside the decomposed dimensions so a series can be looked up directly against BLS. Example: LASST060000000000003, the unemployment rate for California, seasonally adjusted",series_id
measure_id,STRING,LAUS measure the value reports,,yes,,,no,"Unemployment rate, unemployment, employment, labor force, employment-population ratio, labor force participation rate, and civilian noninstitutional population share the value column",measure_code
seasonal_adjustment,STRING,Whether the series is seasonally adjusted (S) or not seasonally adjusted (U),,yes,,,no,"A dimension of the series, not a footnote: adjusted and unadjusted values for the same cell are different numbers and must never be mixed",seasonal
value,FLOAT64,Published value of the series for the period,,no,,,no,"Units differ by row and are given in measurement_unit, so no single column-level unit applies. BLS prints - for an observation that was not published; those are NULL, not zero",value
measurement_unit,STRING,Unit the value is measured in,,yes,,,no,"Derived by Data Basis from the dimension that fixes the unit (data type for CES, measure for LAUS, rate-or-level for JOLTS); not published as a field by BLS",
footnote_id,STRING,BLS footnote code attached to the observation,,yes,,,no,"NULL when the observation carries no footnote. Codes flag preliminary and revised values and, in 2025, observations missing because of the lapse in appropriations",footnote_codes
