name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the estimate; OEWS estimates refer to May of this year,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column. The 2003 and 2004 November surveys are not included so that the whole panel is a single May series,(derived from the release)
area_id,STRING,"Area code: 99 for the United States, the state FIPS code for states and territories, the Metropolitan Statistical Area code, or the OEWS-specific nonmetropolitan area code",,no,,,no,"One column holds four code systems, so no directory link is declared. Rows with area_type 2 carry a state FIPS code (br_bd_diretorios_us.state:id_state); rows with area_type 4 carry a CBSA code (br_bd_diretorios_us.cbsa_2023:id_cbsa), subject to the delineation vintage of the reference year. Metropolitan areas in 2003 and 2004 follow the pre-2003 OMB definitions and carry 4-digit MSA/PMSA codes; from 2005 they carry 5-digit CBSA codes. The two code systems are not comparable, and nonmetropolitan estimates start in 2006",area
area_type,STRING,"Type of area the estimate covers: nation, state, territory, metropolitan statistical area, metropolitan division or nonmetropolitan area",,yes,,,no,"Taken from the source field from 2011 onward. For 2003-2010 the source files do not carry it and it is reconstructed from the file's geographic level and, for the 2005-2010 metropolitan files, from the 2011-2013 area-code lookup, with unmatched codes falling back to 4. The 2003-2004 metropolitan rows are all 4: those releases predate the CBSA delineations, so metropolitan divisions cannot be told apart from metropolitan statistical areas",area_type
state_abbreviation,STRING,"Two-letter abbreviation of the primary state of the area, or US for the national estimates",,no,,,no,"Null for 2011-2019: the source publishes it in the 2003-2010 state and metropolitan files and again from 2020, but not in between","prim_state (2020 onward), prim_state or st (2003-2010)"
ownership_id,STRING,Ownership of the establishments covered by the estimate,,yes,,,no,"OEWS encodes cross-industry ownership splits as pseudo-NAICS codes (000000, 000001, 999001, 999101, 999201, 999301). Those map one to one onto this column, which is why the area table carries no industry code. On those rows the value is taken from the pseudo-NAICS code rather than from the source's own_code field, because the May 2012 release publishes own_code 5 (Private) on all of them; every other release agrees with the derived value",own_code
occupation_id,STRING,"Standard Occupational Classification (SOC) code, or an OEWS-specific code where OEWS publishes a combination of SOC occupations",,no,,,no,"SOC vintage changes within the panel: SOC 2000 for 2003-2009, SOC 2010 for 2010-2018, SOC 2018 for 2019 onward. Codes from 2019 align with br_bd_diretorios_us.soc_2018:id_soc. No directory link is declared because the older vintages and the OEWS-specific codes (including the 00-0000 all-occupations total) would not resolve",occ_code
occupation_group,STRING,"SOC aggregation level of the occupation: total, major, minor, broad or detailed",,no,,,no,"Where OEWS no longer publishes below a broad occupation, the broad row is published a second time tagged 'detailed'. Both rows are kept, so this column is part of the table key","o_group (2017 onward), group (2003-2016)"
area_name,STRING,Name of the area the estimate covers,,no,,,no,,"area_title (2011 onward), area_name or state (2003-2010)"
occupation_name,STRING,"SOC title, or the OEWS-specific title where OEWS publishes a combination of SOC occupations",,no,,,no,,occ_title
employment,INT64,"Estimated total employment, rounded to the nearest 10 and excluding the self-employed",,no,,worker,no,Null where the source reported '**' (estimate not available),tot_emp
employment_prse,FLOAT64,Percent relative standard error of the employment estimate,,no,,percent,no,,emp_prse
jobs_per_1000,FLOAT64,"Jobs in the occupation per 1,000 jobs in the area",,no,,ratio,no,"Published for state and metropolitan estimates only; null elsewhere. Also null for 2003-2008 and for 2019, where the source does not publish the field at all",jobs_1000
location_quotient,FLOAT64,Ratio of the occupation's share of area employment to its share of national employment,,no,,ratio,no,"Published for state and metropolitan estimates only; null elsewhere. Also null for 2003-2009, where the source does not publish the field at all","loc_quotient (2012 onward), loc_q (2011), loc quotient (2010)"
hourly_wage_mean,FLOAT64,Mean hourly wage,,no,,USD,no,,h_mean
annual_wage_mean,FLOAT64,Mean annual wage,,no,,USD,no,,a_mean
wage_mean_prse,FLOAT64,Percent relative standard error of the mean wage estimate,,no,,percent,no,,mean_prse
hourly_wage_percentile_10,FLOAT64,Hourly wage at the 10th percentile,,no,,USD,no,,h_pct10
hourly_wage_percentile_25,FLOAT64,Hourly wage at the 25th percentile,,no,,USD,no,,h_pct25
hourly_wage_median,FLOAT64,"Median hourly wage, the 50th percentile",,no,,USD,no,,h_median
hourly_wage_percentile_75,FLOAT64,Hourly wage at the 75th percentile,,no,,USD,no,,h_pct75
hourly_wage_percentile_90,FLOAT64,Hourly wage at the 90th percentile,,no,,USD,no,,h_pct90
annual_wage_percentile_10,FLOAT64,Annual wage at the 10th percentile,,no,,USD,no,,a_pct10
annual_wage_percentile_25,FLOAT64,Annual wage at the 25th percentile,,no,,USD,no,,a_pct25
annual_wage_median,FLOAT64,"Median annual wage, the 50th percentile",,no,,USD,no,,a_median
annual_wage_percentile_75,FLOAT64,Annual wage at the 75th percentile,,no,,USD,no,,a_pct75
annual_wage_percentile_90,FLOAT64,Annual wage at the 90th percentile,,no,,USD,no,,a_pct90
annual_wage_only,STRING,"TRUE when the source releases only annual wages for the occupation, which applies to occupations paid annually but typically working fewer than 2,080 hours per year, such as teachers, pilots and athletes",,no,,,no,,annual
hourly_wage_only,STRING,"TRUE when the source releases only hourly wages for the occupation, which applies to occupations paid hourly but typically working fewer than 2,080 hours per year, such as actors, dancers and musicians",,no,,,no,"Absent from the 2003 source files, where it is null",hourly
wage_top_coded,STRING,"TRUE when at least one wage estimate in the row is at or above $115.00 per hour or $239,200 per year and was therefore withheld by the source",,no,,,no,"Derived from the source sentinel '#'. The wage columns it applies to are null, so this flag distinguishes a top-coded wage from a suppressed one. Top-coding always covers a contiguous upper run of the wage distribution, and masks the hourly and annual ladders at the same positions",(derived from '#')
