name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the estimate; OEWS estimates refer to May of this year,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column. The 2003 and 2004 November surveys are not included so that the whole panel is a single May series,(derived from the release)
industry_id,STRING,"North American Industry Classification System (NAICS) code, or an OEWS-specific code where OEWS publishes a combination of industries",,no,,,no,"NAICS vintage changes within the panel, so no directory link is declared. Real codes align with the br_bd_diretorios_us.naics_* table matching the reference year's vintage. Codes 999000, 999100, 999200 and 999300 are OEWS pseudo-codes for government excluding schools and hospitals",naics
industry_group,STRING,"NAICS aggregation level of the industry: sector, 3-digit, 4-digit, 5-digit or 6-digit, with or without an ownership split",,no,,,no,"Absent from the source before 2017, where it is null. Where OEWS no longer publishes an industry at the 4-digit level, the '4-digit' tag marks the most detailed breakdown available",i_group
ownership_id,STRING,Ownership of the establishments covered by the estimate,,yes,,,no,"For 2003-2008 the source publishes national industry estimates without an ownership split; those rows carry the all-ownership code. On the government pseudo-NAICS codes (999000, 999100, 999200, 999300) the value is taken from the industry code rather than from the source's own_code field, because the May 2012 release publishes own_code 5 (Private) on them; every other release agrees with the derived value","own_code (2011 onward), ownership title (2009-2010)"
occupation_id,STRING,"Standard Occupational Classification (SOC) code, or an OEWS-specific code where OEWS publishes a combination of SOC occupations",,no,,,no,"SOC vintage changes within the panel: SOC 2000 for 2003-2009, SOC 2010 for 2010-2018, SOC 2018 for 2019 onward. Codes from 2019 align with br_bd_diretorios_us.soc_2018:id_soc. No directory link is declared because the older vintages and the OEWS-specific codes (including the 00-0000 all-occupations total) would not resolve",occ_code
occupation_group,STRING,"SOC aggregation level of the occupation: total, major, minor, broad or detailed",,no,,,no,"Where OEWS no longer publishes below a broad occupation, the broad row is published a second time tagged 'detailed'. Both rows are kept, so this column is part of the table key","o_group (2017 onward), group (2003-2016)"
industry_name,STRING,"NAICS title, or the OEWS-specific title where OEWS publishes a combination of industries",,no,,,no,,naics_title
occupation_name,STRING,"SOC title, or the OEWS-specific title where OEWS publishes a combination of SOC occupations",,no,,,no,,occ_title
employment,INT64,"Estimated total employment, rounded to the nearest 10 and excluding the self-employed",,no,,worker,no,Null where the source reported '**' (estimate not available),tot_emp
employment_prse,FLOAT64,Percent relative standard error of the employment estimate,,no,,percent,no,,emp_prse
percent_total_employment,FLOAT64,Percent of the industry's employment accounted for by the occupation,,no,,percent,no,Percents may not sum to 100 because industry totals include occupations that could not be published separately,pct_total
percent_establishments_reporting,FLOAT64,Percent of establishments reporting the occupation for the cell,,no,,percent,no,"Null where the source reported '~', meaning below 0.5 percent; see establishments_reporting_below_threshold. Also null for 2011-2020 and for the 2009-2010 by-ownership rows, where the source does not publish the field at all",pct_rpt
establishments_reporting_below_threshold,STRING,"TRUE when the percent of establishments reporting the occupation is below 0.5 percent, which the source reports as a symbol rather than a value",,no,,,no,"Derived from the source sentinel '~'. percent_establishments_reporting is null on these rows, so this flag distinguishes a below-threshold value from a missing one",(derived from '~')
hourly_wage_mean,FLOAT64,Mean hourly wage,,no,,USD,no,,h_mean
annual_wage_mean,FLOAT64,Mean annual wage,,no,,USD,no,,a_mean
wage_mean_prse,FLOAT64,Percent relative standard error of the mean wage estimate,,no,,percent,no,,mean_prse
hourly_wage_percentile_10,FLOAT64,Hourly wage at the 10th percentile,,no,,USD,no,,h_pct10
hourly_wage_percentile_25,FLOAT64,Hourly wage at the 25th percentile,,no,,USD,no,,h_pct25
hourly_wage_median,FLOAT64,"Median hourly wage, the 50th percentile",,no,,USD,no,,h_median
hourly_wage_percentile_75,FLOAT64,Hourly wage at the 75th percentile,,no,,USD,no,,h_pct75
hourly_wage_percentile_90,FLOAT64,Hourly wage at the 90th percentile,,no,,USD,no,,h_pct90
annual_wage_percentile_10,FLOAT64,Annual wage at the 10th percentile,,no,,USD,no,,a_pct10
annual_wage_percentile_25,FLOAT64,Annual wage at the 25th percentile,,no,,USD,no,,a_pct25
annual_wage_median,FLOAT64,"Median annual wage, the 50th percentile",,no,,USD,no,,a_median
annual_wage_percentile_75,FLOAT64,Annual wage at the 75th percentile,,no,,USD,no,,a_pct75
annual_wage_percentile_90,FLOAT64,Annual wage at the 90th percentile,,no,,USD,no,,a_pct90
annual_wage_only,STRING,"TRUE when the source releases only annual wages for the occupation, which applies to occupations paid annually but typically working fewer than 2,080 hours per year, such as teachers, pilots and athletes",,no,,,no,,annual
hourly_wage_only,STRING,"TRUE when the source releases only hourly wages for the occupation, which applies to occupations paid hourly but typically working fewer than 2,080 hours per year, such as actors, dancers and musicians",,no,,,no,"Absent from the 2003 source files, where it is null",hourly
wage_top_coded,STRING,"TRUE when at least one wage estimate in the row is at or above $115.00 per hour or $239,200 per year and was therefore withheld by the source",,no,,,no,"Derived from the source sentinel '#'. The wage columns it applies to are null, so this flag distinguishes a top-coded wage from a suppressed one. Top-coding always covers a contiguous upper run of the wage distribution, and masks the hourly and annual ladders at the same positions",(derived from '#')
