name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Census reference year; for 5-year estimates this is the final year of the 5-year period,,no,br_bd_diretorios_data_tempo.ano:ano,,no,Partition column (hive path 'ano=' in staging).,ano
period,STRING,ACS estimate period: 1-year or 5-year,,no,,,no,"Values: 1-year, 5-year. Part of the logical key.",
rt,STRING,Record Type,,yes,,,no,,RT
serialno,STRING,Housing unit/GQ person serial number,,no,,,no,Housing-unit/person serial identifier.,SERIALNO
division,STRING,Division code based on 2020 Census definitions,,yes,,,no,,DIVISION
sporder,STRING,Person number,,yes,,,no,,SPORDER
puma,STRING,"Public use microdata area code (PUMA) based on 2020 Census definition (areas with population of 100,000 or more, use with STATE for unique code)",,no,,,no,Geographic code; PUMA vintage varies by year (D6) — no directory FK in v1.,PUMA
region,STRING,Region code based on 2020 Census definitions,,yes,,,no,,REGION
state,STRING,State Code based on 2020 Census definitions,,no,br_bd_diretorios_us.state:id_state,,no,,STATE
adjinc,STRING,Adjustment factor for income and earnings dollar amounts (6 implied decimal places),,no,,,no,Adjustment factor with 6 implied decimal places (divide by 1e6).,ADJINC
pwgtp,INT64,Person's weight,,no,,,no,Dimensionless statistical replicate weight (no measurement unit).,PWGTP
agep,INT64,Age,,no,,years,no,,AGEP
cit,STRING,Citizenship status,,yes,,,no,,CIT
citwp,INT64,Year of naturalization write-in,,no,,year,no,,CITWP
cow,STRING,Class of worker,,yes,,,no,,COW
ddrs,STRING,Self-care difficulty,,yes,,,no,,DDRS
dear,STRING,Hearing difficulty,,yes,,,no,,DEAR
deye,STRING,Vision difficulty,,yes,,,no,,DEYE
dout,STRING,Independent living difficulty,,yes,,,no,,DOUT
dphy,STRING,Ambulatory difficulty,,yes,,,no,,DPHY
drat,STRING,Veteran service-connected disability rating (percentage),,yes,,,no,,DRAT
dratx,STRING,Veteran service-connected disability rating (checkbox),,yes,,,no,,DRATX
drem,STRING,Cognitive difficulty,,yes,,,no,,DREM
eng,STRING,Ability to speak English,,yes,,,no,,ENG
fer,STRING,Gave birth to child within the past 12 months,,yes,,,no,,FER
gcl,STRING,Grandparents living with grandchildren,,yes,,,no,,GCL
gcm,STRING,Length of time responsible for grandchildren,,yes,,,no,,GCM
gcr,STRING,Grandparents responsible for grandchildren,,yes,,,no,,GCR
himrks,STRING,Subsidized Marketplace Coverage,,yes,,,no,,HIMRKS
hins1,STRING,Insurance through a current or former employer or union,,yes,,,no,,HINS1
hins2,STRING,Insurance purchased directly from an insurance company,,yes,,,no,,HINS2
