name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the survey period,1980(1)2025,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,Survey Date
state_id,STRING,Two-digit FIPS state code,,no,diretorios_us.state:id_state,,no,,State Code
county_id,STRING,"Five-digit FIPS county code, state code followed by county code",,no,diretorios_us.county:id_county,,no,,State Code + County Code
place_id,STRING,"Seven-digit FIPS place code, state code followed by place code",2008(1)2026,no,diretorios_us.place:id_place,,no,"Published from 2008 only. Null for the roughly 28 percent of permit offices that are minor civil divisions or county-part records rather than places, and for the balance-of-state sentinel the source writes as 99990. Where present it matches the 2020-vintage place directory for 99.6 percent of offices",FIPS Place Code
mcd_id,STRING,"Seven-digit FIPS minor civil division code, state code followed by MCD code",2008(1)2026,no,,,no,"Published from 2008 only. Identifies township and other minor civil division permit offices, which have no FIPS place code",FIPS MCD Code
cbsa_id,STRING,Five-digit Core Based Statistical Area code,2005(1)2026,no,diretorios_us.cbsa_2023:id_cbsa,,no,"Published from 2005 only, when CBSA codes replaced MSA/PMSA codes. Null where the source publishes 99999",CBSA Code
csa_id,STRING,Three-digit Combined Statistical Area code,2005(1)2026,no,,,no,Published from 2005 only. Null where the source publishes 999,CSA Code
msa_cmsa_id,STRING,Four-digit Metropolitan or Consolidated Metropolitan Statistical Area code,1988(1)2004,no,,,no,"The pre-2005 code system, superseded by cbsa_id. Null from 2005 on",MSA/CMSA Code
pmsa_id,STRING,Four-digit Primary Metropolitan Statistical Area code,1988(1)2004,no,,,no,"The pre-2005 code system, superseded by cbsa_id. Null from 2005 on and where the source publishes 9999",PMSA Code
permit_office_id,STRING,"Six-digit Building Permit Survey identifier of the permit-issuing office, unique within a state and survey period",,no,,,no,"The Census Bureau assigns this code to sort offices alphabetically within a state, so it is reassigned when offices are added and is not stable over time. Addison village, Illinois, is 001000 in 1988 and 002800 from 1995. Do not use it to build a panel; use place_id or mcd_id",6-Digit ID
census_place_id,STRING,Four-digit Census place code,2000(1)2026,no,,,no,"Published from 2000 only. A Census Bureau internal place code, not the FIPS place code",Census Place Code
region_id,STRING,"Census region code, from 1 to 4",,yes,,,no,,Region Code
division_id,STRING,"Census division code, from 1 to 9",,yes,,,no,,Division Code
structure_type,STRING,"Type of residential structure, by the number of housing units in the building",,yes,,,no,"Census structure type codes: 101 single-family, 103 two-family, 104 three- and four-family, 105 five-or-more-family. Summing the four codes reproduces the published total for the geography",column block
place_name,STRING,"Name of the permit-issuing place or office, as published",,no,,,no,,Place Name
central_city,STRING,Whether the place is a central city of a metropolitan area,2000(1)2026,yes,,,no,,Central City
footnote_code,STRING,Whether the place carries an explanatory footnote in the source release,2005(1)2026,yes,,,no,"The footnote text itself is published in a separate monthly file, not loaded here",Footnote Code
zip_code,STRING,ZIP code of the permit office or official,2000(1)2026,no,,,no,,Zip Code
population,INT64,Population of the place as carried in the source file,2008(1)2026,no,,person,no,"The Census layout document labels this the 2000 population, but the values change from release to release, so it is a current population estimate. Published from 2008 only",Pop
months_reported,INT64,Number of months of the year for which the permit office reported residential data,,no,,month,no,,Number of Months Rep
buildings,INT64,Number of buildings authorized by building permits,,no,,building,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default,Bldgs
units,INT64,Number of housing units authorized by building permits,,no,,housing_unit,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default,Units
valuation,INT64,"Construction valuation of the buildings authorized, in US dollars",,no,,usd,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default,Value
buildings_reported,INT64,"Number of buildings authorized, counting reporting permit offices only",,no,,building,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation,Bldgs rep
units_reported,INT64,"Number of housing units authorized, counting reporting permit offices only",,no,,housing_unit,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation,Units rep
valuation_reported,INT64,"Construction valuation of the buildings authorized, in US dollars, counting reporting permit offices only",,no,,usd,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation,Value rep
