name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Reference year of the survey period,1980(1)2025,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Partition column,Survey Date
geography_level,STRING,Level of the geography the row describes,,yes,,,no,"The published state file also carries the national, regional and divisional totals. Filter on this column before aggregating, or the same permits are counted several times",FIPS State
geography_id,STRING,"Code identifying the geography, as published",,no,,,no,"Two-digit FIPS state code for states and territories, R1-R4 for regions, D1-D9 for divisions, US for the national total",FIPS State
state_id,STRING,Two-digit FIPS state code,,no,diretorios_us.state:id_state,,no,"Null on the national, regional and divisional total rows. Until 2021 the survey identified the territories by their old Census codes rather than by FIPS, so Puerto Rico is published as 43 through 2021 and as 72 from 2022; this column carries the FIPS code throughout, and geography_id carries the code as published",FIPS State
region_id,STRING,"Census region code, from 1 to 4",,yes,,,no,,Region Code
division_id,STRING,"Census division code, from 1 to 9",,yes,,,no,,Division Code
structure_type,STRING,"Type of residential structure, by the number of housing units in the building",,yes,,,no,"Census structure type codes: 101 single-family, 103 two-family, 104 three- and four-family, 105 five-or-more-family. Summing the four codes reproduces the published total for the geography",column block
geography_name,STRING,"Name of the geography, as published",,no,,,no,,State Name
buildings,INT64,Number of buildings authorized by building permits,,no,,,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default. Counted in buildings,Bldgs
units,INT64,Number of housing units authorized by building permits,,no,,,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default. Counted in housing units,Units
valuation,INT64,"Construction valuation of the buildings authorized, in US dollars",,no,,usd,no,Estimate with imputation: reported data for responding permit offices plus imputed data for non-respondents. This is the series to use by default,Value
buildings_reported,INT64,"Number of buildings authorized, counting reporting permit offices only",,no,,,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation. Counted in buildings,Bldgs rep
units_reported,INT64,"Number of housing units authorized, counting reporting permit offices only",,no,,,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation. Counted in housing units,Units rep
valuation_reported,INT64,"Construction valuation of the buildings authorized, in US dollars, counting reporting permit offices only",,no,,usd,no,Reported only: counts data from responding permit offices and makes no imputation for non-respondents. Lower than the estimate with imputation,Value rep
