column_label,item_code,source_item_code,item_type,variable_name,description,source
Total Revenue,TotRev,DDD,derived,TotRev,Total Revenue,historical_user_guide
Total Rev-Own Sources,TotRev_Own,DDD,derived,TotRev_Own,Total Revenue from Own Sources,historical_user_guide
General Revenue,GenRev,DDD,derived,GenRev,General Revenue,historical_user_guide
Gen Rev-Own Sources,GenRev_Own,DDD,derived,GenRev_Own,General Revenue from Own Sources,historical_user_guide
Total Taxes,TotTaxes,T--,subtotal,TotTaxes,Total Taxes,historical_user_guide
Property Tax,T01,T01,item,PropTax,Property Tax,historical_user_guide
Tot Sales & Gr Rec Tax,TotSaleTax,DDD,derived,TotSaleTax,Total Sales and Gross Receipts Taxes,historical_user_guide
Total Gen Sales Tax,T09,T09,item,GenSaleTax,General Sales Tax (includes T08 for Federal Government),historical_user_guide
Total Select Sales Tax,TotSelTax,DDD,derived,TotSelTax,Total Selective Sales Taxes,historical_user_guide
Alcoholic Beverage Tax,T10,T10,item,AlcoBevTax,Alcoholic beverage tax,historical_user_guide
Amusement Tax,T11,T11,item,AmuseTax,Amusement tax,historical_user_guide
Insurance Premium Tax,T12,T12,item,InsPremTax,Insurance premium tax,historical_user_guide
Motor Fuels Tax,T13,T13,item,MotFuelTax,Motor fuels tax,historical_user_guide
Pari-mutuels Tax,T14,T14,item,Pari-MuTax,Pari-mutuels tax,historical_user_guide
Public Utility Tax,T15,T15,item,PubUtilTax,Public utilities tax,historical_user_guide
Tobacco Tax,T16,T16,item,TobaccoTax,Tobacco tax,historical_user_guide
Other Select Sales Tax,T19,T19,item,OthSelTax,Other selective sales tax,historical_user_guide
Total License Taxes,TotLicTax,DDD,derived,TotLicTax,Total License Taxes,historical_user_guide
Alcoholic Beverage Lic,T20,T20,item,AlcoBevLic,Alcoholic beverage licenses,historical_user_guide
Amusement License,T21,T21,item,AmuseLic,Amusement licenses,historical_user_guide
Corporation License,T22,T22,item,CorpLic,Corporation licenses,historical_user_guide
Hunting & Fishing License,T23,T23,item,HuntFishLc,Hunting and fishing licenses,historical_user_guide
Motor Vehicle License,T24,T24,item,MtVehLic,Motor vehicle licenses,historical_user_guide
Motor Veh Oper License,T25,T25,item,MtVehOpLic,Motor vehicle operator licenses,historical_user_guide
Public Utility License,T27,T27,item,PubUtilLic,Public utility licenses,historical_user_guide
Occup and Bus Lic NEC,T28,T28,item,OccuBusLic,"Occupation and business licenses, NEC",historical_user_guide
Other License Taxes,T29,T29,item,OthLicTax,Other licenses,historical_user_guide
Total Income Taxes,TotIncTax,DDD,derived,TotIncTax,Total Income Taxes,historical_user_guide
Individual Income Tax,T40,T40,item,IndIncTax,Individual income tax (includes code T49),historical_user_guide
Corp Net Income Tax,T41,T41,item,CorpIncTax,Corporation net income tax,historical_user_guide
Death and Gift Tax,T50,T50,item,DthGiftTax,Death and Gift Tax,historical_user_guide
Docum and Stock Tr Tax,T51,T51,item,DocumTax,Documentary and Stock Transfer Tax,historical_user_guide
Severance Tax,T53,T53,item,SeverTax,Severance Tax,historical_user_guide
Taxes NEC,T99,T99,item,TaxNEC,Taxes NEC,historical_user_guide
Total IG Revenue,TotIGR,DDD,derived,TotIGR,Total Intergovernmental Revenue,historical_user_guide
Total Fed IG Revenue,TotFedIGR,B--,subtotal,TotFedIGR,"Intergovernmental Revenue from Federal Government, Total",historical_user_guide
Fed IGR-Air Transport,B01,B01,item,FIGR_Airp,Air transportation (airports),historical_user_guide
Fed IGR-Education,B21,B21,item,FIGR_Educ,Education,historical_user_guide
Fed IGR-Emp Sec Adm,B22,B22,item,FIGR_EmSec,Employment security (social insurance) administration,historical_user_guide
Fed IGR-Gen Rev Shar,B27,B27,item,FIGR_GRS,General revenue sharing (obsolete after FY 1987),historical_user_guide
Fed IGR-Gen Support,B30,B30,item,FIGR_GenSp,Other general support,historical_user_guide
Fed IGR-Health & Hos,B42,B42,item,FIGR_HltHo,Health and hospitals,historical_user_guide
Fed IGR-Highways,B46,B46,item,FIGR_Hwys,Highways,historical_user_guide
Fed IGR-Transit Sub,B47,B47,item,FIGR_TrnSb,Transit subsidies (includes B94),historical_user_guide
Fed IGR-Hous/Com Dev,B50,B50,item,FIGR_HoCD,Housing and community development,historical_user_guide
Fed IGR-Natural Res,B59,B59,item,FIGR_NatRs,Natural resources (includes any B54),historical_user_guide
Fed IGR-Public Welf,B79,B79,item,FIGR_PuWel,Public welfare,historical_user_guide
Fed IGR-Sewerage,B80,B80,item,FIGR_Sewer,Sewerage,historical_user_guide
Fed IGR-Other,B89,B89,item,FIGR_Other,"Other (includes B91, B92, and B93)",historical_user_guide
Total State IG Revenue,TotStaIGR,C--,subtotal,TotStaIGR,"Intergovernmental Revenue from State Government, Total",historical_user_guide
State IGR-Education,C21,C21,item,SIGR_Educ,Education,historical_user_guide
State IGR-Tax Relief,C28,C28,item,SIGR_TaxRe,Tax relief (Note: Obsolete code after FY 87),historical_user_guide
State IGR-Oth Gen Sup,C30,C30,item,SIGR_GenSp,Other general support,historical_user_guide
State IGR-Health & Hos,C42,C42,item,SIGR_HltHo,Health and hospitals,historical_user_guide
State IGR-Highways,C46,C46,item,SIGR_Hwys,Highways,historical_user_guide
State IGR-Transit Sub,C47,C47,item,SIGR_TrnSb,Transit subsidies (includes C94),historical_user_guide
State IGR-Hous/Com Dev,C50,C50,item,SIGR_HoCD,Housing and community development,historical_user_guide
State IGR-Public Welf,C79,C79,item,SIGR_PuWel,Public welfare,historical_user_guide
State IGR-Sewerage,C80,C80,item,SIGR_Sewer,Sewerage,historical_user_guide
State IGR-Other,C89,C89,item,SIGR_Other,"Other (includes C91, C92, and C93)",historical_user_guide
Tot Local IG Rev,TotLocIGR,D--,subtotal,TotLocIGR,"Intergovernmental Revenue from Local Governments, Total",historical_user_guide
Local IGR-InterSchool Aid,D11,D11,item,LIGR_InSch,From other school systems (applies to type 5's only),historical_user_guide
Local IGR-Other Education,D21,D21,item,LIGR_Educ,All other local education aid,historical_user_guide
Local IGR-Oth Gen Sup,D30,D30,item,LIGR_GenSp,General government support,historical_user_guide
Local IGR-Health & Hos,D42,D42,item,LIGR_HltHo,Health and hospitals,historical_user_guide
Local IGR-Highways,D46,D46,item,LIGR_Hwys,Highways,historical_user_guide
Local IGR-Transit Sub,D47,D47,item,LIGR_TrnSb,Transit subsidies (includes D94),historical_user_guide
Local IGR-Hous/Com Dev,D50,D50,item,LIGR_HoCD,Housing and community development,historical_user_guide
