name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano de referência do levantamento de emprego público,Reference year of the public employment survey,Año de referencia del censo de empleo público,1992(1)2024,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento,Partition column,Columna de particionamiento,
government_id,STRING,Identificador da unidade de governo no Census Bureau,Census Bureau identifier of the government unit,Identificador de la unidad de gobierno en el Census Bureau,,no,,,no,"Identificador estável de 6 dígitos (CENSUS_ID_PID6) atribuído pelo Census Bureau. Presente apenas onde a fonte o publica: no diretório de unidades, nas finanças de 2013 em diante e no emprego de 2021 em diante. Não e derivado por cruzamento em nenhum outro caso","Stable 6-digit identifier (CENSUS_ID_PID6) assigned by the Census Bureau. Present only where the source publishes it: in the unit directory, in finance from 2013 on and in employment from 2021 on. It is not back-derived by crosswalk anywhere else","Identificador estable de 6 dígitos (CENSUS_ID_PID6) asignado por el Census Bureau. Presente solo donde la fuente lo publica: en el directorio de unidades, en finanzas desde 2013 y en empleo desde 2021. No se deriva por cruce en ningún otro caso",New Individual Unit ID
government_id_govs,STRING,Identificador legado da unidade de governo no sistema GOVS,Legacy identifier of the government unit in the GOVS scheme,Identificador heredado de la unidad de gobierno en el esquema GOVS,,no,,,no,"Identificador legado GOVS de 14 caracteres. Até 2012 o arquivo de finanças publica apenas as nove primeiras posições, completadas aqui com zeros, como a fonte passa a fazer a partir de 2013. Composição: código GOVS de estado (2), tipo de governo (1), código GOVS de condado (3), unidade (3), suplemento (3) e subcódigo (2). O código GOVS de estado é alfabético e difere do FIPS (Califórnia é 05 em GOVS e 06 em FIPS)","Legacy 14-character GOVS identifier. Through 2012 the finance archive publishes only the first nine positions, padded with zeros here as the source itself does from 2013 on. Composition: GOVS state code (2), government type (1), GOVS county code (3), unit (3), supplement (3) and sub-code (2). The GOVS state code is alphabetical and differs from FIPS (California is 05 in GOVS and 06 in FIPS)","Identificador heredado GOVS de 14 caracteres. Hasta 2012 el archivo de finanzas publica solo las nueve primeras posiciones, completadas aquí con ceros, como la fuente hace desde 2013. Composición: código GOVS de estado (2), tipo de gobierno (1), código GOVS de condado (3), unidad (3), suplemento (3) y subcódigo (2). El código GOVS de estado es alfabético y difiere del FIPS (California es 05 en GOVS y 06 en FIPS)",Individual Unit ID
government_type,STRING,Tipo de unidade de governo,Type of government unit,Tipo de unidad de gobierno,,yes,,,no,,,,Unit Type Code
unit_name,STRING,Nome da unidade de governo,Name of the government unit,Nombre de la unidad de gobierno,,no,,,no,,,,Name of Government
state_id,STRING,Código FIPS de duas posições do estado,Two-digit FIPS code of the state,Código FIPS de dos posiciones del estado,,no,br_bd_diretorios_us.state:id_state,,no,,,,FIPS State
county_id,STRING,"Código FIPS de cinco posições do condado, estado seguido de condado","Five-digit FIPS code of the county, state followed by county","Código FIPS de cinco posiciones del condado, estado seguido de condado",,no,br_bd_diretorios_us.county:id_county,,no,,,,FIPS County
county_name,STRING,Nome do condado onde a unidade está localizada ou ao qual foi atribuída,Name of the county the unit is located in or was assigned to,Nombre del condado donde la unidad está ubicada o al que fue asignada,,no,,,no,,,,County Name
census_region_code,STRING,Código da região censitária,Census region code,Código de la región censal,,yes,,,no,,,,Census Region Code
population_enrollment_function,STRING,"Campo multiuso da fonte, que traz população, matrícula ou código de função conforme o tipo de governo","Multi-purpose source field carrying population, enrollment or function code depending on the type of government","Campo multiuso de la fuente, que trae población, matrícula o código de función según el tipo de gobierno",,no,,,no,"População para estados, condados, municípios e townships; matrícula para distritos escolares; código de função para distritos especiais. A fonte grava os três no mesmo campo, por isso a coluna e texto","Population for state, county, municipal and township units; enrollment for school districts; function code for special districts. The source writes all three into the same field, which is why the column is text","Población para estados, condados, municipios y townships; matrícula para distritos escolares; código de función para distritos especiales. La fuente escribe los tres en el mismo campo, por eso la columna es texto",Population/Enrollment/Function Code
population_enrollment_year,INT64,Ano a que se refere a população ou matrícula informada,Year the reported population or enrollment refers to,Año al que se refiere la población o matrícula informada,,no,,year,no,,,,Year of Population/Enrollment
school_level_code,STRING,"Código do nível de ensino, apenas para distritos escolares","School level code, school districts only","Código del nível de enseñanza, solo para distritos escolares",,yes,,,no,,,,School Level Code
selection_probability,FLOAT64,Probabilidade de seleção da unidade na amostra,Probability of selecting the unit into the sample,Probabilidad de selección de la unidad en la muestra,,no,,,no,"Peso amostral adimensional; vale 1 nos anos censitários, quando todas as unidades são pesquisadas","Dimensionless sampling weight; it is 1 in census years, when every unit is surveyed","Peso muestral adimensional; vale 1 en los años censales, cuando todas las unidades son encuestadas",Probability of Selection
worksheet_code,STRING,Código do formulário usado para coletar os dados da unidade,Code of the worksheet used to collect the unit data,Código del formulário usado para recolectar los datos de la unidad,,yes,,,no,,,,Worksheet Code
