name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano de referência do levantamento de unidades de governo,Reference year of the government units survey,Año de referencia del censo de unidades de gobierno,1997(5)2025,no,diretorios_data_tempo.ano:ano,year,no,Coluna de particionamento,Partition column,Columna de particionamiento,
government_id,STRING,Identificador da unidade de governo no Census Bureau,Census Bureau identifier of the government unit,Identificador de la unidad de gobierno en el Census Bureau,,no,,,no,"Identificador estável de 6 dígitos (CENSUS_ID_PID6) atribuído pelo Census Bureau. Presente apenas onde a fonte o publica: no diretorio de unidades, nas finanças de 2013 em diante e no emprego de 2021 em diante. Não e derivado por cruzamento em nenhum outro caso","Stable 6-digit identifier (CENSUS_ID_PID6) assigned by the Census Bureau. Present only where the source publishes it: in the unit directory, in finance from 2013 on and in employment from 2021 on. It is not back-derived by crosswalk anywhere else","Identificador estable de 6 dígitos (CENSUS_ID_PID6) asignado por el Census Bureau. Presente solo donde la fuente lo publica: en el directorio de unidades, en finanzas desde 2013 y en empleo desde 2021. No se deriva por cruce en ningún otro caso",CENSUS_ID_PID6
government_id_govs,STRING,Identificador legado da unidade de governo no sistema GOVS,Legacy identifier of the government unit in the GOVS scheme,Identificador heredado de la unidad de gobierno en el esquema GOVS,,no,,,no,"Identificador legado GOVS de 14 caracteres. Até 2012 o arquivo de finanças publica apenas as nove primeiras posições, completadas aqui com zeros, como a fonte passa a fazer a partir de 2013. Composição: código GOVS de estado (2), tipo de governo (1), código GOVS de condado (3), unidade (3), suplemento (3) e subcódigo (2). O código GOVS de estado é alfabético e difere do FIPS (Califórnia é 05 em GOVS e 06 em FIPS)","Legacy 14-character GOVS identifier. Through 2012 the finance archive publishes only the first nine positions, padded with zeros here as the source itself does from 2013 on. Composition: GOVS state code (2), government type (1), GOVS county code (3), unit (3), supplement (3) and sub-code (2). The GOVS state code is alphabetical and differs from FIPS (California is 05 in GOVS and 06 in FIPS)","Identificador heredado GOVS de 14 caracteres. Hasta 2012 el archivo de finanzas publica solo las nueve primeras posiciones, completadas aquí con ceros, como la fuente hace desde 2013. Composición: código GOVS de estado (2), tipo de gobierno (1), código GOVS de condado (3), unidad (3), suplemento (3) y subcódigo (2). El código GOVS de estado es alfabético y difiere del FIPS (California es 05 en GOVS y 06 en FIPS)",CENSUS_ID_GIDID
government_type,STRING,Tipo de unidade de governo,Type of government unit,Tipo de unidad de gobierno,,yes,,,no,,,,UNIT_TYPE
unit_category,STRING,"Categoria da unidade na publicação, que separa governos independentes dos sistemas escolares e previdenciários dependentes","Category of the unit in the publication, separating independent governments from dependent school and pension systems","Categoría de la unidad en la publicación, que separa gobiernos independientes de los sistemas escolares y de pensiones dependientes",,yes,,,no,Derivada da aba da planilha de origem. Sistemas escolares e previdenciários dependentes são listados pela fonte mas não contam como governos no total publicado,Derived from the source worksheet. Dependent school and pension systems are listed by the source but do not count as governments in the published total,Derivada de la hoja de origen. Los sistemas escolares y de pensiones dependientes son listados por la fuente pero no cuentan como gobiernos en el total publicado,
unit_name,STRING,Nome da unidade de governo,Name of the government unit,Nombre de la unidad de gobierno,,no,,,no,,,,UNIT_NAME
function_code,STRING,"Código da função exercida, apenas para distritos especiais","Code of the function performed, special districts only","Código de la función ejercida, solo para distritos especiales",,yes,,,no,,,,FUNCTION_NAME
function_name,STRING,"Nome da função exercida, apenas para distritos especiais","Name of the function performed, special districts only","Nombre de la función ejercida, solo para distritos especiales",,no,,,no,,,,FUNCTION_NAME
school_level_code,STRING,"Código do nível de ensino, apenas para distritos escolares","School level code, school districts only","Código del nível de enseñanza, solo para distritos escolares",,yes,,,no,,,,SCHOOL_LEVEL_DESCRIPTION
political_description,STRING,"Designação política da unidade, como county, city, town ou village","Political designation of the unit, such as county, city, town or village","Designación política de la unidad, como county, city, town o village",,no,,,no,Publicado apenas em 1997 e a partir de 2024,Published only in 1997 and from 2024 on,Publicado solo en 1997 y a partir de 2024,POLITICAL_CODE_DESCRIPTION
