name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es
year,INT64,Ano,,no,br_bd_diretorios_data_tempo.ano:ano,,no,,year,Year,Año
month,INT64,Mês,,no,br_bd_diretorios_data_tempo.mes:mes,,no,,month,Month,Mes
id_state,STRING,"Código FIPS do estado (2 dígitos, com zero à esquerda)",,no,br_bd_diretorios_us.state:id_state,,no,"Coluna derivada: obtida de `state` (código censitário do CPS) pelo cruzamento com br_bd_diretorios_us.state.id_census, que cobre os 51 códigos do CEPR de forma exata. Materializada no modelo dbt.",state,"State FIPS code (2-digit, zero-padded)","Código FIPS del estado (2 dígitos, con cero a la izquierda)"
id_county,STRING,"Código FIPS do condado (5 dígitos, com zeros à esquerda)",1995(1)2019,no,br_bd_diretorios_us.county:id_county,,no,"Coluna derivada: concatenação de id_state (2 dígitos) com fipscounty (3 dígitos). Nula quando o condado não é identificado na amostra (fipscounty = 0) e antes de setembro de 1995. Materializada no modelo dbt. 99,14% das linhas não nulas casam com br_bd_diretorios_us.county; as restantes usam códigos FIPS históricos já aposentados (12025, Dade/FL até 2005, hoje 12086; e os condados de Connecticut 09001, 09005, 09009 e 09015, substituídos por regiões de planejamento em 2022), que não existem na vintage corrente do diretório. Por isso a FK é declarada mas não testada.",fipscounty,"County FIPS code (5-digit, zero-padded)","Código FIPS del condado (5 dígitos, con ceros a la izquierda)"
minsamp,STRING,Mês na amostra (grupo de rotação 1-8),,yes,,,no,,minsamp,Month in sample (rotation group 1-8),Mes en la muestra (grupo de rotación 1-8)
hhid,STRING,Identificador do domicílio,,no,,,no,,hhid,Household identifier,Identificador del hogar
hhid2,STRING,"Identificador do domicílio, parte 2",2004(1)2019,no,,,no,,hhid2,"Household identifier, part 2","Identificador del hogar, parte 2"
hrsample,STRING,Identificador amostral do domicílio,1994(1)2019,no,,,no,,hrsample,Household sample identifier,Identificador muestral del hogar
hrsersuf,STRING,Sufixo serial do domicílio,1994(1)2019,no,,,no,,hrsersuf,Household serial suffix,Sufijo serial del hogar
hhnum,STRING,Contador de domicílio na unidade amostral,,no,,,no,,hhnum,Household counter within sample unit,Contador de hogar en la unidad muestral
hrlonglk,STRING,Indicador de vínculo longitudinal do domicílio,1994(1)2019,yes,,,no,,hrlonglk,Longitudinal household link flag,Indicador de vínculo longitudinal del hogar
lineno,STRING,Número de linha da pessoa no domicílio,,no,,,no,,lineno,Person line number within household,Número de línea de la persona en el hogar
fnlwgt,FLOAT64,Peso amostral básico final,,no,,,no,Peso amostral (adimensional),fnlwgt,Final basic sampling weight,Peso muestral básico final
orgwgt,FLOAT64,Peso de rendimentos (rotação de saída),,no,,,no,Peso amostral (adimensional),orgwgt,Earnings (outgoing rotation) weight,Peso de ingresos (rotación de salida)
lonwgt,FLOAT64,Peso longitudinal,1994(1)2019,no,,,no,Peso amostral (adimensional),lonwgt,Longitudinal weight,Peso longitudinal
famwgt,FLOAT64,Peso familiar,1994(1)2019,no,,,no,Peso amostral (adimensional),famwgt,Family weight,Peso familiar
age,INT64,Idade em anos,,no,,anos,no,,age,Age in years,Edad en años
female,STRING,Sexo feminino,,yes,,,no,,female,Sex is female,Sexo femenino
wbho,STRING,"Raça/etnia (branca, negra, hispânica, outra)",,yes,,,no,,wbho,"Race/ethnicity (white, Black, Hispanic, other)","Raza/etnia (blanca, negra, hispana, otra)"
wbhao,STRING,"Raça/etnia, incluindo asiática",1989(1)2019,yes,,,no,,wbhao,Race/ethnicity including Asian,"Raza/etnia, incluida asiática"
wbhom,STRING,"Raça/etnia, incluindo raça mista",2003(1)2019,yes,,,no,,wbhom,Race/ethnicity including mixed race,"Raza/etnia, incluida raza mixta"
wbhaom,STRING,"Raça/etnia, incluindo asiática e mista",2003(1)2019,yes,,,no,,wbhaom,Race/ethnicity including Asian and mixed race,"Raza/etnia, incluida asiática y mixta"
racehpia,STRING,Havaiano nativo/ilhéu do Pacífico (incl. combinações),2003(1)2019,yes,,,no,,racehpia,Native Hawaiian/Pacific Islander (incl. combinations),Nativo de Hawái/isleño del Pacífico (incl. combinaciones)
racehpi,STRING,Havaiano nativo/ilhéu do Pacífico apenas,2003(1)2019,yes,,,no,,racehpi,Native Hawaiian/Pacific Islander only,Nativo de Hawái/isleño del Pacífico solamente
racea,STRING,Origem asiática detalhada,2013(1)2019,yes,,,no,,racea,Detailed Asian origin,Origen asiático detallado
forborn,STRING,Nascido no exterior,1994(1)2019,yes,,,no,,forborn,Foreign born,Nacido en el extranjero
citizen,STRING,Cidadão dos EUA,1994(1)2019,yes,,,no,,citizen,US citizen,Ciudadano de EE. UU.
prcitshp,STRING,Situação de cidadania,1994(1)2019,yes,,,no,,prcitshp,Citizenship status,Situación de ciudadanía
arrived,STRING,Período de chegada aos EUA,1994(1)2019,yes,,,no,,arrived,Period of arrival in the US,Período de llegada a EE. UU.
prinusyr,STRING,Ano de entrada nos EUA,1994(1)2019,yes,,,no,,prinusyr,Year of entry into the US,Año de entrada a EE. UU.
penatvty,STRING,País de nascimento,1994(1)2019,yes,,,no,,penatvty,Country of birth,País de nacimiento
pemntvty,STRING,País de nascimento da mãe,1994(1)2019,yes,,,no,,pemntvty,Mother's country of birth,País de nacimiento de la madre
pefntvty,STRING,País de nascimento do pai,1994(1)2019,yes,,,no,,pefntvty,Father's country of birth,País de nacimiento del padre
vet,STRING,Veterano,,yes,,,no,,vet,Veteran,Veterano
married,STRING,Casado,,yes,,,no,,married,Married,Casado
marstat,STRING,Estado civil,1994(1)2019,yes,,,no,,marstat,Marital status,Estado civil
