name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
block_id,STRING,Código do bloco censitário de tabulação de 2020,2020 census tabulation block code,Código del bloque censal de tabulación de 2020,,no,,,no,Chave primária da tabela. | Primary key of the table. | Clave primaria de la tabla.,tabblk2020
state_id,STRING,Código FIPS do estado,State FIPS code,Código FIPS del estado,,no,diretorios_us.state:id_state,,no,,st
state_abbreviation,STRING,Sigla USPS do estado,USPS state abbreviation,Sigla USPS del estado,,no,,,no,"O diretório de estados é chaveado pelo código FIPS, e o backend só aceita vínculo com a chave primária do diretório, portanto esta coluna não tem chave estrangeira. | The state directory is keyed on the FIPS code and the backend only accepts a link to a directory's primary key, so this column carries no foreign key. | El directorio de estados usa el código FIPS como clave, por lo que esta columna no tiene clave foránea.",stusps
state_name,STRING,Nome do estado,State name,Nombre del estado,,no,,,no,,stname
county_id,STRING,Código FIPS do condado,County FIPS code,Código FIPS del condado,,no,diretorios_us.county:id_county,,no,,cty
county_name,STRING,Nome do condado ou equivalente,County or county equivalent name,Nombre del condado o equivalente,,no,,,no,,ctyname
census_tract_id,STRING,Código do setor censitário de 2020,2020 census tract code,Código del sector censal de 2020,,no,diretorios_us.census_tract_2020:id_census_tract,,no,,trct
census_tract_name,STRING,"Nome do setor censitário, com condado e estado","Census tract name, formatted with county and state","Nombre del sector censal, con condado y estado",,no,,,no,,trctname
block_group_id,STRING,Código do grupo de blocos censitários,Census block group code,Código del grupo de bloques censales,,no,,,no,Não há diretório de grupos de blocos em br_bd_diretorios_us. | br_bd_diretorios_us has no block group table. | No existe directorio de grupos de bloques en br_bd_diretorios_us.,bgrp
block_group_name,STRING,"Nome do grupo de blocos, com setor censitário, condado e estado","Census block group name, formatted with tract, county and state","Nombre del grupo de bloques, con sector censal, condado y estado",,no,,,no,,bgrpname
cbsa_id,STRING,Código da área estatística baseada em núcleo (CBSA),Core Based Statistical Area (CBSA) code,Código del área estadística basada en núcleo (CBSA),,no,,,no,"O diretório cbsa_2023 usa a delimitação de 2023, enquanto o LODES traz a delimitação vigente na divulgação; o vínculo não é declarado para evitar falsos negativos. | The cbsa_2023 directory uses the 2023 delineation while LODES carries the delineation current at release, so no foreign key is declared. | El directorio cbsa_2023 usa la delimitación de 2023 mientras LODES trae la vigente en la publicación, por lo que no se declara clave foránea.",cbsa
cbsa_name,STRING,Nome da área estatística baseada em núcleo (CBSA),Core Based Statistical Area (CBSA) name,Nombre del área estadística basada en núcleo (CBSA),,no,,,no,,cbsaname
zcta_id,STRING,Código da área de tabulação de código postal (ZCTA),ZIP Code Tabulation Area (ZCTA) code,Código del área de tabulación de código postal (ZCTA),,no,,,no,ZCTA não é o mesmo que código postal ZIP. | A ZCTA is not the same as a ZIP code. | Una ZCTA no es lo mismo que un código postal ZIP.,zcta
zcta_name,STRING,Nome da área de tabulação de código postal (ZCTA),ZIP Code Tabulation Area (ZCTA) name,Nombre del área de tabulación de código postal (ZCTA),,no,,,no,,zctaname
place_id,STRING,Código nacional único do lugar (FIPS de estado + FIPS de lugar),Nationally unique place code (state FIPS + place FIPS),Código nacional único del lugar (FIPS de estado + FIPS de lugar),,no,,,no,,stplc
place_name,STRING,Nome do lugar,Place name,Nombre del lugar,,no,,,no,,stplcname
county_subdivision_id,STRING,Código nacional único da subdivisão de condado,Nationally unique county subdivision code,Código nacional único de la subdivisión de condado,,no,,,no,,ctycsub
county_subdivision_name,STRING,Nome da subdivisão de condado,County subdivision name,Nombre de la subdivisión de condado,,no,,,no,,ctycsubname
congressional_district_id,STRING,Código nacional único do distrito eleitoral do 119º Congresso,Nationally unique 119th Congressional District code,Código nacional único del distrito electoral del 119º Congreso,,no,,,no,Estados com distrito único recebem o número 00 e territórios com delegado ou comissário residente recebem 98. | States with an At Large district get district number 00 and state equivalents with a Delegate or Resident Commissioner get 98. | Los estados con distrito único reciben 00 y los territorios con delegado reciben 98.,stcd119
congressional_district_name,STRING,Nome do distrito eleitoral do 119º Congresso,119th Congressional District name,Nombre del distrito electoral del 119º Congreso,,no,,,no,,stcd119name
state_legislative_district_lower_id,STRING,Código nacional único do distrito legislativo estadual da câmara baixa,"Nationally unique state legislative district code, lower chamber",Código nacional único del distrito legislativo estatal de la cámara baja,,no,,,no,,stsldl
state_legislative_district_lower_name,STRING,Nome do distrito legislativo estadual da câmara baixa,"State legislative district name, lower chamber",Nombre del distrito legislativo estatal de la cámara baja,,no,,,no,,stsldlname
state_legislative_district_upper_id,STRING,Código nacional único do distrito legislativo estadual da câmara alta,"Nationally unique state legislative district code, upper chamber",Código nacional único del distrito legislativo estatal de la cámara alta,,no,,,no,,stsldu
state_legislative_district_upper_name,STRING,Nome do distrito legislativo estadual da câmara alta,"State legislative district name, upper chamber",Nombre del distrito legislativo estatal de la cámara alta,,no,,,no,,stslduname
school_district_id,STRING,Código nacional único do distrito escolar unificado ou de ensino fundamental,Nationally unique unified or elementary school district code,Código nacional único del distrito escolar unificado o de enseñanza primaria,,no,,,no,Composto pelo FIPS do estado e pelo código de cinco dígitos da agência local de educação (LEA). | State FIPS plus the five-digit Local Education Agency (LEA) code. | FIPS del estado más el código de cinco dígitos de la agencia local de educación (LEA).,stschool
school_district_name,STRING,Nome do distrito escolar unificado ou de ensino fundamental,Unified or elementary school district name,Nombre del distrito escolar unificado o de enseñanza primaria,,no,,,no,,stschoolname
secondary_school_district_id,STRING,Código nacional único do distrito escolar de ensino médio,Nationally unique secondary school district code,Código nacional único del distrito escolar de enseñanza secundaria,,no,,,no,,stsecon
secondary_school_district_name,STRING,Nome do distrito escolar de ensino médio,Secondary school district name,Nombre del distrito escolar de enseñanza secundaria,,no,,,no,,stseconname
tribal_area_id,STRING,"Código da área indígena americana, nativa do Alasca ou nativa do Havaí","American Indian, Alaska Native or Native Hawaiian area census code","Código del área indígena americana, nativa de Alaska o nativa de Hawái",,no,,,no,,trib
tribal_area_name,STRING,"Nome da área indígena americana, nativa do Alasca ou nativa do Havaí","American Indian, Alaska Native or Native Hawaiian area name","Nombre del área indígena americana, nativa de Alaska o nativa de Hawái",,no,,,no,,tribname
tribal_subdivision_id,STRING,Código da subdivisão tribal indígena americana,American Indian tribal subdivision code,Código de la subdivisión tribal indígena americana,,no,,,no,,tsub
tribal_subdivision_name,STRING,Nome da subdivisão tribal indígena americana,American Indian tribal subdivision name,Nombre de la subdivisión tribal indígena americana,,no,,,no,,tsubname
alaska_native_corporation_id,STRING,Código nacional único da corporação regional nativa do Alasca (ANRC),Nationally unique Alaska Native Regional Corporation (ANRC) code,Código nacional único de la corporación regional nativa de Alaska (ANRC),,no,,,no,,stanrc
alaska_native_corporation_name,STRING,Nome da corporação regional nativa do Alasca,Alaska Native Regional Corporation name,Nombre de la corporación regional nativa de Alaska,,no,,,no,,stanrcname
military_installation_id,STRING,Código do marco de instalação militar,Military installation landmark code,Código del hito de instalación militar,,no,,,no,,mil
military_installation_name,STRING,Nome da instalação militar,Military installation name,Nombre de la instalación militar,,no,,,no,,milname
workforce_board_id,STRING,Código nacional único da área do conselho de inovação da força de trabalho (WIB),Nationally unique Workforce Innovation Board (WIB) area code,Código nacional único del área del consejo de innovación laboral (WIB),,no,,,no,,stwib
workforce_board_name,STRING,Nome da área do conselho de inovação da força de trabalho,Workforce Innovation Board area name,Nombre del área del consejo de innovación laboral,,no,,,no,,stwibname
latitude,FLOAT64,"Latitude do ponto interno do bloco censitário, em graus decimais","Latitude of the census block internal point, in decimal degrees","Latitud del punto interno del bloque censal, en grados decimales",,no,,degree,no,O ponto interno não é o centroide; a única garantia é que ele está dentro do bloco. | The internal point is not a centroid; the only guarantee is that it lies inside the block. | El punto interno no es el centroide; la única garantía es que está dentro del bloque.,blklatdd
longitude,FLOAT64,"Longitude do ponto interno do bloco censitário, em graus decimais","Longitude of the census block internal point, in decimal degrees","Longitud del punto interno del bloque censal, en grados decimales",,no,,degree,no,,blklondd
date_created,DATE,Data de criação do arquivo de origem pelo Census Bureau,Date on which the source file was created by the Census Bureau,Fecha de creación del archivo de origen por el Census Bureau,,no,,,no,"Marca um ponto do processamento interno do Census Bureau, e não a data de divulgação (data vintage) da versão do LODES. | Marks a point in the Census Bureau's internal processing, not the release date (data vintage) of the LODES version. | Marca un punto del procesamiento interno del Census Bureau, no la fecha de publicación de la versión de LODES.",createdate
