name,bigquery_type,description,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano de referência dos dados,Reference year of the data,Año de referencia de los datos,,no,diretorios_data_tempo.ano:ano,year,no,Derivado do nome do arquivo de origem. | Derived from the source file name. | Derivado del nombre del archivo de origen.,h_geocode
state_id,STRING,Código FIPS do estado do bloco censitário de residência,State FIPS code of the residence census block,Código FIPS del estado del bloque censal de residencia,,no,diretorios_us.state:id_state,,no,"Obtido da tabela geography_crosswalk desta mesma versão do LODES, e não dos primeiros dígitos do código do bloco | Taken from the geography_crosswalk table of this same LODES release, not from the leading digits of the block code | Obtenido de la tabla geography_crosswalk de esta misma versión de LODES, y no de los primeros dígitos del código del bloque",h_geocode
county_id,STRING,Código FIPS do condado do bloco censitário de residência,County FIPS code of the residence census block,Código FIPS del condado del bloque censal de residencia,,no,diretorios_us.county:id_county,,no,"Obtido da tabela geography_crosswalk desta mesma versão do LODES, e não dos primeiros dígitos do código do bloco. Reflete a delimitação vigente: Connecticut substituiu condados por regiões de planejamento em 2022, de modo que o código aqui (09110-09190) difere do condado embutido no código do bloco (09001-09015) | Taken from the geography_crosswalk table of this same LODES release, not from the leading digits of the block code. It reflects the current delineation: Connecticut replaced counties with planning regions in 2022, so the code here (09110-09190) differs from the county embedded in the block code (09001-09015) | Obtenido de la tabla geography_crosswalk de esta misma versión de LODES, y no de los primeros dígitos del código del bloque. Refleja la delimitación vigente: Connecticut sustituyó los condados por regiones de planificación en 2022, por lo que el código aquí (09110-09190) difiere del condado incluido en el código del bloque (09001-09015)",h_geocode
census_tract_id,STRING,Código do setor censitário de 2020 do bloco de residência,2020 census tract code of the residence block,Código del sector censal de 2020 del bloque de residencia,,no,diretorios_us.census_tract_2020:id_census_tract,,no,"Obtido da tabela geography_crosswalk desta mesma versão do LODES, e não dos primeiros dígitos do código do bloco. Difere do prefixo do bloco em todo Connecticut e em um pequeno número de blocos reatribuídos em outros estados | Taken from the geography_crosswalk table of this same LODES release, not from the leading digits of the block code. It differs from the block prefix throughout Connecticut and for a small number of reassigned blocks in other states | Obtenido de la tabla geography_crosswalk de esta misma versión de LODES, y no de los primeros dígitos del código del bloque. Difiere del prefijo del bloque en todo Connecticut y en un pequeño número de bloques reasignados en otros estados",h_geocode
block_id,STRING,Código do bloco censitário de tabulação de 2020 de residência,2020 census tabulation block code of residence,Código del bloque censal de tabulación de 2020 de residencia,,no,,,no,"Código de 15 dígitos. Não há diretório de blocos censitários em br_bd_diretorios_us, que vai apenas até o setor censitário, portanto esta coluna não tem chave estrangeira. | 15-digit code. br_bd_diretorios_us has no census block table (it stops at the census tract), so this column carries no directory foreign key. | Código de 15 dígitos. No existe directorio de bloques censales en br_bd_diretorios_us, que llega solo hasta el sector censal, por lo que esta columna no tiene clave foránea.",h_geocode
job_type,STRING,Tipo de vínculo empregatício considerado na tabulação,Job type covered by the tabulation,Tipo de empleo considerado en la tabulación,,yes,,,no,Derivado do nome do arquivo de origem. JT04 e JT05 (empregos federais) existem apenas a partir de 2010. | Derived from the source file name. JT04 and JT05 (federal jobs) exist only from 2010 onward. | Derivado del nombre del archivo de origen. JT04 y JT05 existen solo desde 2010.,[TYPE]
jobs_total,INT64,Número total de empregos,Total number of jobs,Número total de empleos,,no,,job,no,,C000
jobs_age_29_or_younger,INT64,Número de empregos de trabalhadores de 29 anos ou menos,Number of jobs for workers age 29 or younger,Número de empleos de trabajadores de 29 años o menos,,no,,job,no,"A partir do ano de referência de 2012 o universo é restrito a trabalhadores de 14 a 99 anos, de modo que esta faixa passa a ser de 14 a 29 anos. | From data year 2012 the job frame is restricted to workers aged 14 to 99, so this band becomes ages 14 to 29. | Desde 2012 el universo se restringe a trabajadores de 14 a 99 años, por lo que esta franja pasa a ser de 14 a 29 años.",CA01
jobs_age_30_to_54,INT64,Número de empregos de trabalhadores de 30 a 54 anos,Number of jobs for workers age 30 to 54,Número de empleos de trabajadores de 30 a 54 años,,no,,job,no,,CA02
jobs_age_55_or_older,INT64,Número de empregos de trabalhadores de 55 anos ou mais,Number of jobs for workers age 55 or older,Número de empleos de trabajadores de 55 años o más,,no,,job,no,A partir do ano de referência de 2012 esta faixa é de 55 a 99 anos. | From data year 2012 this band is ages 55 to 99. | Desde 2012 esta franja es de 55 a 99 años.,CA03
jobs_earnings_1250_or_less,INT64,Número de empregos com rendimento mensal de até 1.250 dólares,"Number of jobs with earnings of 1,250 US dollars per month or less",Número de empleos con ingresos mensuales de hasta 1.250 dólares,,no,,job,no,,CE01
jobs_earnings_1251_to_3333,INT64,Número de empregos com rendimento mensal de 1.251 a 3.333 dólares,"Number of jobs with earnings of 1,251 to 3,333 US dollars per month",Número de empleos con ingresos mensuales de 1.251 a 3.333 dólares,,no,,job,no,,CE02
