name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano de referência da estatística mensal,Reference year of the monthly statistic,Año de referencia de la estadística mensual,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,Coluna de partição,Partition column,Columna de partición,YEAR
month,INT64,"Mês de referência da estatística, de 1 a 12","Reference month of the statistic, from 1 to 12","Mes de referencia de la estadística, de 1 a 12",,no,br_bd_diretorios_data_tempo.mes:mes,month,no,,,,MONTH
country_code,STRING,Código do país parceiro na Schedule C do Census Bureau,Partner country code in the Census Bureau Schedule C,Código del país socio en la Schedule C del Census Bureau,,yes,,,no,"Código de 4 dígitos com zeros à esquerda significativos. Apenas linhas de detalhe (SUMMARY_LVL='DET') são carregadas, de modo que agrupamentos de países como OPEP e União Europeia estão ausentes e os países não se somam duas vezes.","Four-digit code whose leading zeros are meaningful. Only detail rows (SUMMARY_LVL='DET') are loaded, so country groupings such as OPEC and the European Union are absent and countries are not double counted.","Código de cuatro dígitos cuyos ceros a la izquierda son significativos. Solo se cargan filas de detalle (SUMMARY_LVL='DET'), por lo que las agrupaciones de países como la OPEP y la Unión Europea están ausentes y los países no se cuentan dos veces.",CTY_CODE
country_iso2_code,STRING,Sigla ISO 3166-1 alfa-2 do país parceiro,ISO 3166-1 alpha-2 code of the partner country,Código ISO 3166-1 alfa-2 del país socio,,no,br_bd_diretorios_mundo.pais:sigla_iso2,,no,"Derivada da coluna ISO da Schedule C. Nula para códigos do Census sem país ISO correspondente, como áreas não identificadas.","Derived from the ISO column of Schedule C. Null for Census codes with no corresponding ISO country, such as unidentified areas.","Derivada de la columna ISO de la Schedule C. Nula para códigos del Census sin país ISO correspondiente, como áreas no identificadas.",CTY_CODE
port_code,STRING,Código do porto na Schedule D do Census Bureau,Port code in the Census Bureau Schedule D,Código del puerto en la Schedule D del Census Bureau,,yes,,,no,Código de 4 dígitos cujos 2 primeiros dígitos são o distrito aduaneiro. Zeros à esquerda são significativos.,Four-digit code whose first two digits are the customs district. Leading zeros are meaningful.,Código de cuatro dígitos cuyos dos primeros dígitos son el distrito aduanero. Los ceros a la izquierda son significativos.,PORT
hs6_code,STRING,Código de 6 dígitos da mercadoria no Sistema Harmonizado,Six-digit Harmonized System commodity code,Código de seis dígitos de la mercancía en el Sistema Armonizado,,no,br_bd_diretorios_comercio_internacional.sistema_harmonizado:id_sh6,,no,"Zeros à esquerda são significativos, portanto o código é STRING e nunca INT64. O espaço de códigos não é contínuo ao longo do tempo: consulte hs_revision.","Leading zeros are meaningful, so the code is STRING and never INT64. The code space is not continuous over time: see hs_revision.","Los ceros a la izquierda son significativos, por lo que el código es STRING y nunca INT64. El espacio de códigos no es continuo en el tiempo: véase hs_revision.",E_COMMODITY
hs4_code,STRING,Código de 4 dígitos da posição do Sistema Harmonizado,Four-digit Harmonized System heading code,Código de cuatro dígitos de la partida del Sistema Armonizado,,no,,,no,Primeiros 4 dígitos de hs6_code,First four digits of hs6_code,Primeros cuatro dígitos de hs6_code,E_COMMODITY
hs2_code,STRING,Código de 2 dígitos do capítulo do Sistema Harmonizado,Two-digit Harmonized System chapter code,Código de dos dígitos del capítulo del Sistema Armonizado,,no,,,no,Primeiros 2 dígitos de hs6_code,First two digits of hs6_code,Primeros dos dígitos de hs6_code,E_COMMODITY
hs_revision,STRING,Revisão do Sistema Harmonizado vigente no ano de referência,Harmonized System revision in force in the reference year,Revisión del Sistema Armonizado vigente en el año de referencia,,yes,,,no,"A OMA revisa o Sistema Harmonizado a cada cinco anos e os Estados Unidos adotam cada revisão, de modo que os códigos não são comparáveis sem ajuste entre revisões. Derivada do ano: HS2007 para 2010-2011, HS2012 para 2012-2016, HS2017 para 2017-2021 e HS2022 a partir de 2022.","The WCO revises the Harmonized System every five years and the United States adopts each revision, so codes are not comparable across revisions without adjustment. Derived from the year: HS2007 for 2010-2011, HS2012 for 2012-2016, HS2017 for 2017-2021 and HS2022 from 2022 onwards.","La OMA revisa el Sistema Armonizado cada cinco años y los Estados Unidos adoptan cada revisión, por lo que los códigos no son comparables entre revisiones sin ajuste. Derivada del año: HS2007 para 2010-2011, HS2012 para 2012-2016, HS2017 para 2017-2021 y HS2022 desde 2022.",
total_value,FLOAT64,Valor total das exportações no mês,Total exports value in the month,Valor total de las exportaciones en el mes,,no,,USD,no,"Valor FAS. O endpoint por porto não publica quantidade nem a separação entre exportação doméstica e reexportação, que existem somente na tabela por distrito aduaneiro.","FAS value. The port endpoint publishes neither quantity nor the domestic export versus re-export split, which exist only in the customs district table.","Valor FAS. El endpoint por puerto no publica cantidad ni la separación entre exportación doméstica y reexportación, que existen solo en la tabla por distrito aduanero.",ALL_VAL_MO
air_value,FLOAT64,Valor transportado por via aérea no mês,Value shipped by air in the month,Valor transportado por vía aérea en el mes,,no,,USD,no,,,,AIR_VAL_MO
air_shipping_weight,FLOAT64,Peso embarcado por via aérea no mês,Shipping weight moved by air in the month,Peso embarcado por vía aérea en el mes,,no,,kilogram,no,,,,AIR_WGT_MO
vessel_value,FLOAT64,Valor transportado por via marítima no mês,Value shipped by vessel in the month,Valor transportado por vía marítima en el mes,,no,,USD,no,,,,VES_VAL_MO
vessel_shipping_weight,FLOAT64,Peso embarcado por via marítima no mês,Shipping weight moved by vessel in the month,Peso embarcado por vía marítima en el mes,,no,,kilogram,no,,,,VES_WGT_MO
containerized_vessel_value,FLOAT64,Valor transportado em contêineres por via marítima no mês,Value shipped in containers by vessel in the month,Valor transportado en contenedores por vía marítima en el mes,,no,,USD,no,Subconjunto de vessel_value,Subset of vessel_value,Subconjunto de vessel_value,CNT_VAL_MO
containerized_vessel_shipping_weight,FLOAT64,Peso embarcado em contêineres por via marítima no mês,Shipping weight moved in containers by vessel in the month,Peso embarcado en contenedores por vía marítima en el mes,,no,,kilogram,no,Subconjunto de vessel_shipping_weight,Subset of vessel_shipping_weight,Subconjunto de vessel_shipping_weight,CNT_WGT_MO
