name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations_pt,observations_en,observations_es,original_name
year,INT64,Ano-calendário em que termina o exercício fiscal do período do relatório,Calendar year the reporting period's fiscal year ends in,Año calendario en que termina el ejercicio fiscal del período del informe,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de particionamento, derivada de fiscal_year_end_date. NÃO é um ano-calendário de atividade nem o ano fiscal federal do extrato da CMS em que o relatório foi publicado: os exercícios fiscais hospitalares não coincidem com o calendário e variam por hospital, portanto um relatório particionado em 2023 pode cobrir quaisquer doze meses encerrados em 2023. Use fiscal_year_begin_date e fiscal_year_end_date para o período real","Partition column, taken from fiscal_year_end_date. It is NOT a calendar year of activity and NOT the federal fiscal year of the CMS extract the report was published in: hospital fiscal years do not align to the calendar and vary by hospital, so a report partitioned to 2023 may cover any twelve months ending in 2023. Use fiscal_year_begin_date and fiscal_year_end_date for the real period","Columna de particionamiento, derivada de fiscal_year_end_date. NO es un año calendario de actividad ni el año fiscal federal del extracto de CMS en que se publicó el informe: los ejercicios fiscales hospitalarios no coinciden con el calendario y varían por hospital, por lo que un informe particionado en 2023 puede cubrir cualesquiera doce meses terminados en 2023. Use fiscal_year_begin_date y fiscal_year_end_date para el período real",@partition
report_id,STRING,Identificador do relatório de custos atribuído pelo HCRIS,HCRIS-assigned identifier of the cost report,Identificador del informe de costos asignado por el HCRIS,,no,,,no,"A CMS reiniciou esta sequência ao introduzir o formulário CMS-2552-10, portanto ela é única apenas DENTRO de uma versão do formulário: 107 identificadores são reutilizados entre os dois formulários, para hospitais e anos sem relação entre si. A chave de todas as tabelas deste conjunto é, portanto, (form_version, report_id), e uma junção apenas por report_id funde silenciosamente esses 107 pares. STRING porque é um identificador, não uma quantidade","CMS restarted this sequence when it introduced Form CMS-2552-10, so it is unique only WITHIN a form version: 107 ids are reused between the two forms, for unrelated hospitals and unrelated years. The key of every table here is therefore (form_version, report_id), and a join on report_id alone silently conflates those 107 pairs. STRING because it is an identifier, not a quantity","CMS reinició esta secuencia al introducir el formulario CMS-2552-10, por lo que es única solo DENTRO de una versión del formulario: 107 identificadores se reutilizan entre ambos formularios, para hospitales y años sin relación entre sí. La clave de todas las tablas de este conjunto es, por tanto, (form_version, report_id), y una unión solo por report_id fusiona silenciosamente esos 107 pares. STRING porque es un identificador, no una cantidad",RPT_REC_NUM
provider_ccn,STRING,CMS Certification Number (CCN) do prestador Medicare,CMS Certification Number (CCN) of the Medicare provider,CMS Certification Number (CCN) del proveedor de Medicare,,no,,,no,"Seis caracteres, documentados pela CMS como dois dígitos de código estadual da SSA seguidos de uma faixa de quatro dígitos que identifica o tipo de estabelecimento. É o identificador estável de um hospital ao longo dos anos e nos demais conjuntos da CMS. STRING porque é um identificador e porque os zeros à esquerda são significativos","Six characters, documented by CMS as two digits of SSA state code followed by a four-digit facility range that identifies the facility type. The stable identifier of a hospital across years and across every other CMS dataset. STRING because it is an identifier, and because leading zeros are significant","Seis caracteres, documentados por CMS como dos dígitos de código estatal de la SSA seguidos de un rango de cuatro dígitos que identifica el tipo de establecimiento. Es el identificador estable de un hospital a lo largo de los años y en los demás conjuntos de CMS. STRING porque es un identificador y porque los ceros a la izquierda son significativos",PRVDR_NUM
state_id,STRING,Código FIPS de duas posições do estado onde o hospital está localizado,Two-digit FIPS code of the state the hospital is in,Código FIPS de dos dígitos del estado donde se ubica el hospital,,no,br_bd_diretorios_us.state:id_state,,no,"Resolvido a partir do código estadual da SSA nos dois primeiros caracteres do CCN, usando a tabela SSA-estado que a CMS publica como HCRIS_STATE_CODES.csv, e então mapeado para FIPS via br_bd_diretorios_us.state. Completo para todos os relatórios, exceto os poucos apresentados sob os códigos SSA 00 (UNKNOWN) e 99 (Other). Preferível ao endereço digitado na planilha S-2, que é texto livre","Resolved from the SSA state code in the first two characters of the CCN, using the SSA-to-state table CMS publishes as HCRIS_STATE_CODES.csv, then mapped to FIPS through br_bd_diretorios_us.state. Complete for every report except the handful filed under SSA codes 00 (UNKNOWN) and 99 (Other). Preferred over the address typed on Worksheet S-2, which is free text","Resuelto a partir del código estatal de la SSA en los dos primeros caracteres del CCN, usando la tabla SSA-estado que CMS publica como HCRIS_STATE_CODES.csv, y luego mapeado a FIPS mediante br_bd_diretorios_us.state. Completo para todos los informes, salvo los pocos presentados bajo los códigos SSA 00 (UNKNOWN) y 99 (Other). Preferible a la dirección escrita en la hoja S-2, que es texto libre",@state_id
state_abbreviation,STRING,Sigla postal de duas letras do estado onde o hospital está localizado,Two-letter postal abbreviation of the state the hospital is in,Sigla postal de dos letras del estado donde se ubica el hospital,,no,,,no,Resolvida junto com state_id; ver aquela coluna,Resolved alongside state_id; see that column,Resuelta junto con state_id; ver esa columna,@state_abbreviation
npi,STRING,National Provider Identifier do hospital,National Provider Identifier of the hospital,National Provider Identifier del hospital,,no,,,no,Identificador de prestador da HIPAA. Frequentemente vazio: a CMS o registra como opcional no registro do relatório e ele está ausente na maioria dos relatórios anteriores ao seu uso,"The HIPAA provider identifier. Frequently blank: CMS records it as optional on the report record, and it is absent for most reports filed before it came into use",Identificador de proveedor de HIPAA. Frecuentemente vacío: CMS lo registra como opcional en el registro del informe y está ausente en la mayoría de los informes anteriores a su uso,NPI
form_version,STRING,Formulário de relatório de custos da CMS em que o relatório foi apresentado,CMS cost report form the report was filed on,Formulario de informe de costos de CMS en que se presentó el informe,,yes,,,no,"2552-96 ou 2552-10. Os formulários foram renumerados por completo, portanto a mesma medida ocupa células diferentes em cada um, e os números de coluna têm quatro caracteres no 2552-96 e cinco no 2552-10. Os dois se sobrepõem nos exercícios fiscais de 2010 e 2011","2552-96 or 2552-10. The forms are renumbered throughout, so the same measure sits in different worksheet cells in each, and column numbers are four characters wide under 2552-96 and five under 2552-10. The two overlap for fiscal years around 2010 and 2011","2552-96 o 2552-10. Los formularios fueron renumerados por completo, por lo que la misma medida ocupa celdas distintas en cada uno, y los números de columna tienen cuatro caracteres en el 2552-96 y cinco en el 2552-10. Ambos se superponen en los ejercicios fiscales de 2010 y 2011",@form
source_extract_year,INT64,Ano fiscal federal dos EUA do extrato da CMS em que o relatório foi publicado,US federal fiscal year of the CMS extract the report was published in,Año fiscal federal de EE. UU. del extracto de CMS en que se publicó el informe,,no,,year,no,"De qual arquivo de extrato trimestral o relatório veio, não o período que ele cobre. A CMS atribui um relatório ao extrato do ano fiscal federal em que termina seu próprio exercício fiscal, de modo que um extrato alimenta duas ou três partições year e uma partição é alimentada por dois ou três extratos","Which quarterly extract file the report came from, not the period it covers. CMS assigns a report to the extract of the federal fiscal year its own fiscal year ends in, so one extract feeds two or three year partitions and one partition is fed by two or three extracts","De qué archivo de extracto trimestral proviene el informe, no el período que cubre. CMS asigna un informe al extracto del año fiscal federal en que termina su propio ejercicio fiscal, de modo que un extracto alimenta dos o tres particiones year y una partición es alimentada por dos o tres extractos",@extract
provider_control_type_code,STRING,Tipo de propriedade e controle sob o qual o hospital opera,Type of ownership and control the hospital operates under,Tipo de propiedad y control bajo el que opera el hospital,,yes,,,no,"Os treze códigos da linha 21 da planilha S-2 Parte I, definidos na seção 4004.1 da Publicação 15-2 da CMS. O mesmo valor também é declarado na própria planilha e pode ser acessado em report_value na planilha S200001, linha 02100","The thirteen codes of Worksheet S-2 Part I line 21, defined in CMS Publication 15-2 section 4004.1. The same value is also filed on the worksheet itself and is reachable through report_value at worksheet S200001 line 02100","Los trece códigos de la línea 21 de la hoja S-2 Parte I, definidos en la sección 4004.1 de la Publicación 15-2 de CMS. El mismo valor también se declara en la propia hoja y es accesible en report_value en la hoja S200001, línea 02100",PRVDR_CTRL_TYPE_CD
report_status_code,STRING,Situação do relatório de custos,Status of the cost report,Situación del informe de costos,,yes,,,no,"A CMS publica apenas a situação mais alta que possui para um relatório: quando existem tanto um relatório como apresentado quanto um homologado, apenas o homologado aparece. Os códigos estão documentados em HCRIS_DataDictionary.csv","CMS publishes only the highest status it holds for a report: where both an as-submitted and a settled report exist, only the settled one appears. Codes are documented in HCRIS_DataDictionary.csv","CMS publica solo la situación más alta que tiene para un informe: cuando existen tanto un informe como presentado como uno homologado, solo aparece el homologado. Los códigos están documentados en HCRIS_DataDictionary.csv",RPT_STUS_CD
