name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
profile_type,STRING,Tipo do perfil: médico ou profissional não médico,,yes,,,no,,Covered_Recipient_Profile_Type
covered_recipient_profile_id,STRING,Identificador único do perfil do médico ou profissional não médico que recebeu o pagamento,,no,,,no,,Covered_Recipient_Profile_ID
associated_profile_id_1,STRING,"Identificador de outro perfil associado ao mesmo profissional, associação 1 de 2",,no,,,no,,Associated_Covered_Recipient_Profile_ID_1
associated_profile_id_2,STRING,"Identificador de outro perfil associado ao mesmo profissional, associação 2 de 2",,no,,,no,,Associated_Covered_Recipient_Profile_ID_2
covered_recipient_npi,STRING,National Provider Identifier (NPI) do médico ou profissional não médico,,no,,,yes,Identificador nacional de prestador; armazenado como STRING por não admitir aritmética.,Covered_Recipient_NPI
first_name,STRING,Primeiro nome do profissional conforme a lista mestra de prestadores (MPL) fornecida pelo CMS,,no,,,yes,,Covered_Recipient_Profile_First_Name
middle_name,STRING,Nome do meio do profissional conforme a lista mestra de prestadores (MPL) fornecida pelo CMS,,no,,,yes,,Covered_Recipient_Profile_Middle_Name
last_name,STRING,Sobrenome do profissional conforme a lista mestra de prestadores (MPL) fornecida pelo CMS,,no,,,yes,,Covered_Recipient_Profile_Last_Name
name_suffix,STRING,Sufixo do nome do profissional conforme a lista mestra de prestadores (MPL) fornecida pelo CMS,,no,,,yes,,Covered_Recipient_Profile_Suffix
alternate_first_name,STRING,Primeiro nome alternativo do profissional registrado na lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Alternate_First_Name
alternate_middle_name,STRING,Nome do meio alternativo do profissional registrado na lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Alternate_Middle_Name
alternate_last_name,STRING,Sobrenome alternativo do profissional registrado na lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Alternate_Last_Name
alternate_name_suffix,STRING,Sufixo alternativo do nome do profissional registrado na lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Alternate_Suffix
address_line_1,STRING,Primeira linha do endereço de prática do profissional conforme a lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Address_Line_1
address_line_2,STRING,Segunda linha do endereço de prática do profissional conforme a lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_Address_Line_2
city,STRING,Cidade do endereço de prática do profissional conforme a lista mestra de prestadores,,no,,,yes,,Covered_Recipient_Profile_City
state,STRING,Sigla de duas letras do estado do endereço de prática do profissional,,no,br_bd_diretorios_us.state:abbreviation,,no,"Além das siglas de estados e territórios dos Estados Unidos, a coluna traz os códigos das forças armadas AA, AE e AP, ausentes do diretório br_bd_diretorios_us.state.",Covered_Recipient_Profile_State
zip_code,STRING,CEP do endereço de prática do profissional,,no,,,yes,,Covered_Recipient_Profile_Zipcode
country,STRING,País do endereço de prática do profissional,,no,,,no,,Covered_Recipient_Profile_Country_Name
province,STRING,"Província do endereço de prática do profissional, quando fora dos Estados Unidos",,no,,,no,,Covered_Recipient_Profile_Province_Name
primary_specialty,STRING,Especialidade principal do profissional na taxonomia padronizada de prestadores,,no,,,no,,Covered_Recipient_Profile_Primary_Specialty
taxonomy_1,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 1 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_1
taxonomy_2,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 2 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_2
taxonomy_3,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 3 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_3
taxonomy_4,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 4 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_4
taxonomy_5,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 5 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_5
taxonomy_6,STRING,"Código de taxonomia de prestador do Open Payments, taxonomia 6 de 6",,no,,,no,Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.,Covered_Recipient_Profile_OPS_Taxonomy_6
license_state_1,STRING,"Sigla de duas letras do estado da licença profissional, licença 1 de 5",,no,,,no,,Covered_Recipient_Profile_License_State_Code_1
license_state_2,STRING,"Sigla de duas letras do estado da licença profissional, licença 2 de 5",,no,,,no,,Covered_Recipient_Profile_License_State_Code_2
license_state_3,STRING,"Sigla de duas letras do estado da licença profissional, licença 3 de 5",,no,,,no,,Covered_Recipient_Profile_License_State_Code_3
license_state_4,STRING,"Sigla de duas letras do estado da licença profissional, licença 4 de 5",,no,,,no,,Covered_Recipient_Profile_License_State_Code_4
license_state_5,STRING,"Sigla de duas letras do estado da licença profissional, licença 5 de 5",,no,,,no,,Covered_Recipient_Profile_License_State_Code_5
