name	bigquery_type	description	temporal_coverage	covered_by_dictionary	directory_column	measurement_unit	has_sensitive_data	observations	original_name
year	INT64	Ano do programa a que o registro se refere		no	br_bd_diretorios_data_tempo.ano:ano	year	no		Program_Year
record_id	STRING	Identificador único do registro de pagamento atribuído pelo sistema Open Payments		no			no		Record_ID
covered_recipient_profile_id	STRING	Identificador único do perfil do médico ou profissional não médico que recebeu o pagamento		no			no		Principal_Investigator_[1-5]_Profile_ID
covered_recipient_npi	STRING	National Provider Identifier (NPI) do médico ou profissional não médico	2015(1)2025	no			yes	Identificador nacional de prestador; armazenado como STRING por não admitir aritmética.	Principal_Investigator_[1-5]_NPI
principal_investigator_number	STRING	Posição do pesquisador principal no registro de origem, de 1 a 5		no			no		Principal_Investigator_[1-5]_*
first_name	STRING	Primeiro nome do pesquisador principal		no			yes		Principal_Investigator_[1-5]_First_Name
middle_name	STRING	Nome do meio do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Middle_Name
last_name	STRING	Sobrenome do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Last_Name
name_suffix	STRING	Sufixo do nome do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Name_Suffix
address_line_1	STRING	Primeira linha do endereço comercial do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Business_Street_Address_Line1
address_line_2	STRING	Segunda linha do endereço comercial do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Business_Street_Address_Line2
city	STRING	Cidade do endereço comercial do pesquisador principal		no			yes		Principal_Investigator_[1-5]_City
state	STRING	Sigla de duas letras do estado do endereço comercial do pesquisador principal		no	br_bd_diretorios_us.state:abbreviation		no		Principal_Investigator_[1-5]_State
zip_code	STRING	CEP do endereço comercial do pesquisador principal		no			yes		Principal_Investigator_[1-5]_Zip_Code
country	STRING	País do endereço comercial do pesquisador principal		no			no		Principal_Investigator_[1-5]_Country
province	STRING	Província do endereço comercial do pesquisador principal, quando fora dos Estados Unidos		no			no		Principal_Investigator_[1-5]_Province
postal_code	STRING	Código postal do endereço comercial do pesquisador principal, quando fora dos Estados Unidos		no			no		Principal_Investigator_[1-5]_Postal_Code
primary_type_1	STRING	Tipo principal de prática do beneficiário, tipo 1 de 6		yes			no		Principal_Investigator_[1-5]_Primary_Type_1
specialty_1	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 1 de 6		no			no		Principal_Investigator_[1-5]_Specialty_1
license_state_1	STRING	Sigla de duas letras do estado da licença profissional, licença 1 de 5		no			no		Principal_Investigator_[1-5]_License_State_code1
license_state_2	STRING	Sigla de duas letras do estado da licença profissional, licença 2 de 5		no			no		Principal_Investigator_[1-5]_License_State_code2
license_state_3	STRING	Sigla de duas letras do estado da licença profissional, licença 3 de 5		no			no		Principal_Investigator_[1-5]_License_State_code3
license_state_4	STRING	Sigla de duas letras do estado da licença profissional, licença 4 de 5		no			no		Principal_Investigator_[1-5]_License_State_code4
license_state_5	STRING	Sigla de duas letras do estado da licença profissional, licença 5 de 5		no			no		Principal_Investigator_[1-5]_License_State_code5
covered_recipient_type	STRING	Tipo de beneficiário do pesquisador principal, preenchido a partir do ano do programa 2016	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Covered_Recipient_Type
primary_type_2	STRING	Tipo principal de prática do beneficiário, tipo 2 de 6	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Primary_Type_2
primary_type_3	STRING	Tipo principal de prática do beneficiário, tipo 3 de 6	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Primary_Type_3
primary_type_4	STRING	Tipo principal de prática do beneficiário, tipo 4 de 6	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Primary_Type_4
primary_type_5	STRING	Tipo principal de prática do beneficiário, tipo 5 de 6	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Primary_Type_5
primary_type_6	STRING	Tipo principal de prática do beneficiário, tipo 6 de 6	2016(1)2025	yes			no		Principal_Investigator_[1-5]_Primary_Type_6
specialty_2	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 2 de 6	2016(1)2025	no			no		Principal_Investigator_[1-5]_Specialty_2
specialty_3	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 3 de 6	2016(1)2025	no			no		Principal_Investigator_[1-5]_Specialty_3
specialty_4	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 4 de 6	2016(1)2025	no			no		Principal_Investigator_[1-5]_Specialty_4
specialty_5	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 5 de 6	2016(1)2025	no			no		Principal_Investigator_[1-5]_Specialty_5
specialty_6	STRING	Especialidade do beneficiário na taxonomia padronizada de prestadores, especialidade 6 de 6	2016(1)2025	no			no		Principal_Investigator_[1-5]_Specialty_6
