name	bigquery_type	description	temporal_coverage	covered_by_dictionary	directory_column	measurement_unit	has_sensitive_data	observations	original_name
year	INT64	Ano do programa a que o registro se refere		no	br_bd_diretorios_data_tempo.ano:ano	year	no		Program_Year
payment_type	STRING	Categoria de pagamento agregada: geral, pesquisa ou participação societária		yes			no		Payment_Type
recipient_type	STRING	Tipo de beneficiário: médico, profissional não médico ou hospital universitário		yes			no		Recipient_Type
taxonomy_code	STRING	Código de taxonomia de prestador que identifica a especialidade agregada		no			no	Código da taxonomia NUCC de prestadores. A tabela summary_national_by_specialty traz a correspondência entre código e rótulo; um diretório compartilhado de taxonomia de prestadores seria o destino adequado a longo prazo.	Taxonomy_Code
provider_type_description	STRING	Descrição do grupo de prestadores na taxonomia		no			no		Provider_Type_Description
classification	STRING	Classificação da especialidade na taxonomia de prestadores		no			no		Classification
specialization	STRING	Especialização dentro da classificação da taxonomia de prestadores		no			no		Specialization
physician_count	INT64	Quantidade de médicos distintos que receberam pagamentos		no		person	no		Total_Number_of_Physicians
non_physician_practitioner_count	INT64	Quantidade de profissionais não médicos distintos que receberam pagamentos		no		person	no		Total_Number_of_Non_Physician_Practitioners
payment_amount_total_physician	FLOAT64	Valor total pago a médicos, em dólares americanos		no		usd	no		Total_Payment_Amount_Physician
payment_amount_total_non_physician_practitioner	FLOAT64	Valor total pago a profissionais não médicos, em dólares americanos		no		usd	no		Total_Payment_Amount_Non_Physician_Practitioner
payment_amount_mean_physician	FLOAT64	Valor médio pago a médicos, em dólares americanos		no		usd	no		Mean_Total_Payment_Amount_Physician
payment_amount_mean_non_physician_practitioner	FLOAT64	Valor médio pago a profissionais não médicos, em dólares americanos		no		usd	no		Mean_Total_Payment_Amount_Non_Physician_Practitioner
payment_amount_median_physician	FLOAT64	Valor mediano pago a médicos, em dólares americanos		no		usd	no		Median_Total_Payment_Amount_Physician
payment_amount_median_non_physician_practitioner	FLOAT64	Valor mediano pago a profissionais não médicos, em dólares americanos		no		usd	no		Median_Total_Payment_Amount_Non_Physician_Practitioner
payment_count_total_physician	INT64	Quantidade total de pagamentos a médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Payment_Count_Physician
payment_count_total_non_physician_practitioner	INT64	Quantidade total de pagamentos a profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Payment_Count_Non_Physician_Practitioner
payment_count_mean_physician	FLOAT64	Quantidade média de pagamentos por beneficiário entre médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Mean_Total_Payment_Count_Physician
payment_count_mean_non_physician_practitioner	FLOAT64	Quantidade média de pagamentos por beneficiário entre profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Mean_Total_Payment_Count_Non_Physician_Practitioner
payment_count_median_physician	FLOAT64	Quantidade mediana de pagamentos por beneficiário entre médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Median_Total_Payment_Count_Physician
payment_count_median_non_physician_practitioner	FLOAT64	Quantidade mediana de pagamentos por beneficiário entre profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Median_Total_Payment_Count_Non_Physician_Practitioner
