name	bigquery_type	description	temporal_coverage	covered_by_dictionary	directory_column	measurement_unit	has_sensitive_data	observations	original_name
year	INT64	Ano do programa a que o registro se refere		no	br_bd_diretorios_data_tempo.ano:ano	year	no		Program_Year
country_code	STRING	Código do país do beneficiário		no			no		Country_Code
country_name	STRING	Nome do país do beneficiário		no			no		Country_Name
state_code	STRING	Sigla de duas letras do estado do beneficiário		no			no	Nulo nas linhas de países sem subdivisão estadual dos Estados Unidos: os relatórios estaduais do CMS incluem uma linha por país, e apenas os registros dos Estados Unidos trazem sigla de estado.	State_Code
state_name	STRING	Nome do estado do beneficiário		no			no		State_Name
payment_nature	STRING	Natureza do pagamento ou transferência de valor		yes			no		Nature_of_Payment
recipient_type	STRING	Tipo de beneficiário: médico, profissional não médico ou hospital universitário		yes			no		Recipient_Type
physician_count	INT64	Quantidade de médicos distintos que receberam pagamentos		no		person	no		Total_Number_of_Physicians
non_physician_practitioner_count	INT64	Quantidade de profissionais não médicos distintos que receberam pagamentos		no		person	no		Total_Number_of_Non_Physician_Practitioners
teaching_hospital_count	INT64	Quantidade de hospitais universitários distintos que receberam pagamentos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Number_of_Teaching_Hospitals
payment_amount_total_physician	FLOAT64	Valor total pago a médicos, em dólares americanos		no		usd	no		Total_Payment_Amount_Physician
payment_amount_total_non_physician_practitioner	FLOAT64	Valor total pago a profissionais não médicos, em dólares americanos		no		usd	no		Total_Payment_Amount_Non_Physician_Practitioner
payment_amount_total_teaching_hospital	FLOAT64	Valor total pago a hospitais universitários, em dólares americanos		no		usd	no		Total_Payment_Amount_Teaching_Hospital
payment_amount_mean_physician	FLOAT64	Valor médio pago a médicos, em dólares americanos		no		usd	no		Mean_Total_Payment_Amount_Physician
payment_amount_mean_non_physician_practitioner	FLOAT64	Valor médio pago a profissionais não médicos, em dólares americanos		no		usd	no		Mean_Total_Payment_Amount_Non_Physician_Practitioner
payment_amount_mean_teaching_hospital	FLOAT64	Valor médio pago a hospitais universitários, em dólares americanos		no		usd	no		Mean_Total_Payment_Amount_Teaching_Hospital
payment_amount_median_physician	FLOAT64	Valor mediano pago a médicos, em dólares americanos		no		usd	no		Median_Total_Payment_Amount_Physician
payment_amount_median_non_physician_practitioner	FLOAT64	Valor mediano pago a profissionais não médicos, em dólares americanos		no		usd	no		Median_Total_Payment_Amount_Non_Physician_Practitioner
payment_amount_median_teaching_hospital	FLOAT64	Valor mediano pago a hospitais universitários, em dólares americanos		no		usd	no		Median_Total_Payment_Amount_Teaching_Hospital
payment_count_total_physician	INT64	Quantidade total de pagamentos a médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Payment_Count_Physician
payment_count_total_non_physician_practitioner	INT64	Quantidade total de pagamentos a profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Payment_Count_Non_Physician_Practitioner
payment_count_total_teaching_hospital	INT64	Quantidade total de pagamentos a hospitais universitários		no			no	Contagem adimensional, sem unidade de medida aplicável.	Total_Payment_Count_Teaching_Hospital
payment_count_mean_physician	FLOAT64	Quantidade média de pagamentos por beneficiário entre médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Mean_Total_Payment_Count_Physician
payment_count_mean_non_physician_practitioner	FLOAT64	Quantidade média de pagamentos por beneficiário entre profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Mean_Total_Payment_Count_Non_Physician_Practitioner
payment_count_mean_teaching_hospital	FLOAT64	Quantidade média de pagamentos por beneficiário entre hospitais universitários		no			no	Contagem adimensional, sem unidade de medida aplicável.	Mean_Total_Payment_Count_Teaching_Hospital
payment_count_median_physician	FLOAT64	Quantidade mediana de pagamentos por beneficiário entre médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Median_Total_Payment_Count_Physician
payment_count_median_non_physician_practitioner	FLOAT64	Quantidade mediana de pagamentos por beneficiário entre profissionais não médicos		no			no	Contagem adimensional, sem unidade de medida aplicável.	Median_Total_Payment_Count_Non_Physician_Practitioner
payment_count_median_teaching_hospital	FLOAT64	Quantidade mediana de pagamentos por beneficiário entre hospitais universitários		no			no	Contagem adimensional, sem unidade de medida aplicável.	Median_Total_Payment_Count_Teaching_Hospital
