name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Federal fiscal year of the disclosure file the case was published in, running from 1 October to 30 September",,no,diretorios_data_tempo.ano:ano,year,no,"Partition column. Fiscal year, 1 October to 30 September, taken from the source file rather than from any date in the row",
case_number,STRING,"Case number assigned by the Office of Foreign Labor Certification, unique within the fiscal year",,no,,,no,"Case number formats differ across the eFile, iCERT and FLAG systems; uniqueness is guaranteed only within a fiscal year",
case_status,STRING,Outcome of the application at the time the file was published,,yes,,,no,,
visa_class,STRING,"Visa classification of the certification, H-2A for temporary agricultural work",,yes,,,no,,
received_date,DATE,Date the application was received by the Department of Labor,,no,,,no,,
decision_date,DATE,Date the Department of Labor issued its determination on the application,,no,,,no,,
employment_begin_date,DATE,First day of the requested period of employment,,no,,,no,,
employment_end_date,DATE,Last day of the requested period of employment,,no,,,no,,
employer_name,STRING,Legal business name of the employer filing the application,,no,,,no,,
employer_trade_name,STRING,Trade name or doing-business-as name of the employer,,no,,,no,,
employer_address,STRING,First line of the employer's business address,,no,,,no,,
employer_city,STRING,City of the employer's business address,,no,,,no,,
employer_state,STRING,USPS two-letter abbreviation of the state of the employer's business address,,no,,,no,"USPS abbreviation. Not linked to the US state directory, which is keyed on the FIPS code; referential coverage is checked by a dbt test instead",
employer_postal_code,STRING,ZIP code of the employer's business address,,no,,,no,,
employer_country,STRING,Country of the employer's business address,,no,,,no,,
naics_id,STRING,North American Industry Classification System code of the employer's industry,,no,,,no,"NAICS vintage follows the year of filing and code length varies from 2 to 6 digits, so codes are not linked to a directory",
job_title,STRING,"Job title of the position offered, as written by the employer",,no,,,no,,
soc_id,STRING,Standard Occupational Classification code of the position offered,,no,,,no,"SOC vintage follows the year of filing (SOC 2000, 2010 or 2018), so codes are not comparable across the whole series and are not linked to a directory",
soc_title,STRING,Standard Occupational Classification title of the position offered,,no,,,no,,
full_time_position,STRING,Whether the position offered is full time,,yes,,,no,,
wage_offered_from,FLOAT64,"Wage offered to the worker, at the bottom of the offered range, in the unit given by wage_unit_of_pay",,no,,usd,no,,
wage_unit_of_pay,STRING,"Period the offered wage refers to, harmonised by Data Basis to hour, day, week, bi-weekly, semi-monthly, month, year or piece rate",,yes,,,no,"Harmonised by Data Basis from vocabularies that differ by year and program (Hour, HR, Hourly all become hour)",
wage_offered_from_annual,FLOAT64,"Offered wage at the bottom of the range converted to an annual amount by Data Basis, null when the unit is missing or is a piece rate",,no,,usd,no,"Derived by Data Basis: the offered wage multiplied by 2080 for hourly, 260 for daily, 52 for weekly, 26 for bi-weekly, 24 for semi-monthly and 12 for monthly pay. Null when the unit is absent or is a piece rate",
wage_offered_to_annual,FLOAT64,"Offered wage at the top of the range converted to an annual amount by Data Basis, null when the unit is missing or is a piece rate",,no,,usd,no,Derived by Data Basis using the same factors as wage_offered_from_annual,
worksite_address,STRING,First line of the address of the primary worksite,,no,,,no,,
worksite_city,STRING,City of the primary worksite,,no,,,no,"Primary worksite only. Applications covering several worksites list the rest in the companion Appendix A and Addendum B files, which are not part of this table",
worksite_county,STRING,County of the primary worksite,,no,,,no,,
worksite_state,STRING,USPS two-letter abbreviation of the state of the primary worksite,,no,,,no,"USPS abbreviation. Not linked to the US state directory, which is keyed on the FIPS code; referential coverage is checked by a dbt test instead",
worksite_postal_code,STRING,ZIP code of the primary worksite,,no,,,no,,
attorney_law_firm_name,STRING,Business name of the law firm or agency representing the employer,,no,,,no,,
agent_representing_employer,STRING,Whether an attorney or agent represents the employer on the application,,yes,,,no,,
certification_begin_date,DATE,First day of the certified period of employment,,no,,,no,,
certification_end_date,DATE,Last day of the certified period of employment,,no,,,no,,
requested_begin_date,DATE,First day of the period of need stated by the employer,,no,,,no,,
requested_end_date,DATE,Last day of the period of need stated by the employer,,no,,,no,,
type_of_employer_application,STRING,"Whether the application is filed by an individual employer, an agricultural association or an agent",,yes,,,no,,
h2a_labor_contractor,STRING,Whether the applicant is an H-2A labor contractor,,yes,,,no,,
nature_of_temporary_need,STRING,"Nature of the employer's temporary need, such as seasonal or peak load",,yes,,,no,,
emergency_filing,STRING,Whether the application was filed as an emergency filing,,yes,,,no,,
primary_crop,STRING,Primary crop or agricultural activity of the job opportunity,,no,,,no,,
job_order_number,STRING,Job order number assigned by the state workforce agency,,no,,,no,,
workers_requested,INT64,Number of workers requested by the employer,,no,,person,no,,
workers_certified,INT64,Number of workers certified by the Department of Labor,,no,,person,no,,
anticipated_number_of_hours,FLOAT64,Number of hours of work anticipated per week,,no,,hour,no,,
piece_rate_offer,FLOAT64,"Piece rate offered to the worker, when pay is per unit produced",,no,,usd,no,,
piece_rate_unit,STRING,"Unit the piece rate is paid per, as written by the employer",,no,,,no,,
overtime_rate_from,FLOAT64,"Overtime rate offered, at the bottom of the offered range",,no,,usd,no,,
overtime_rate_to,FLOAT64,"Overtime rate offered, at the top of the offered range",,no,,usd,no,,
frequency_of_pay,STRING,How often the worker is paid,,yes,,,no,,
education_level,STRING,Minimum level of education required for the job opportunity,,yes,,,no,,
work_experience_months,INT64,Months of work experience required for the job opportunity,,no,,month,no,,
housing_city,STRING,City of the housing the employer provides to the workers,,no,,,no,,
housing_state,STRING,USPS two-letter abbreviation of the state of the housing the employer provides to the workers,,no,,,no,USPS abbreviation,
housing_type,STRING,Type of housing the employer provides to the workers,,no,,,no,,
housing_total_occupancy,INT64,Total number of workers the provided housing can accommodate,,no,,person,no,,
meals_provided,STRING,Whether the employer provides meals to the workers,,yes,,,no,,
total_worksite_records,INT64,Total number of worksite records attached to the application,,no,,,no,,
source_file,STRING,Name of the Department of Labor disclosure file the row was read from,,no,,,no,"Provenance. Names the Department of Labor workbook the row came from, which identifies the form version behind the row",
