name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,"Federal fiscal year of the disclosure file the case was published in, running from 1 October to 30 September",,no,diretorios_data_tempo.ano:ano,year,no,"Partition column. Fiscal year, 1 October to 30 September, taken from the source file rather than from any date in the row",
case_number,STRING,"Case number assigned by the Office of Foreign Labor Certification, unique within the fiscal year",,no,,,no,From FY2020 the source publishes one file per quarter; a fiscal year is the union of its quarterly files,
case_status,STRING,Outcome of the application at the time the file was published,,yes,,,no,,
visa_class,STRING,Visa classification requested on the application,,yes,,,no,,
received_date,DATE,Date the application was received by the Department of Labor,,no,,,no,,
decision_date,DATE,Date the Department of Labor issued its determination on the application,,no,,,no,,
employment_begin_date,DATE,First day of the requested period of employment,,no,,,no,,
employment_end_date,DATE,Last day of the requested period of employment,,no,,,no,,
employer_name,STRING,Legal business name of the employer filing the application,,no,,,no,,
employer_trade_name,STRING,Trade name or doing-business-as name of the employer,,no,,,no,,
employer_address,STRING,First line of the employer's business address,,no,,,no,,
employer_city,STRING,City of the employer's business address,,no,,,no,,
employer_state,STRING,USPS two-letter abbreviation of the state of the employer's business address,,no,,,no,"USPS abbreviation. Not linked to the US state directory, which is keyed on the FIPS code; referential coverage is checked by a dbt test instead",
employer_postal_code,STRING,ZIP code of the employer's business address,,no,,,no,,
employer_country,STRING,Country of the employer's business address,,no,,,no,,
naics_id,STRING,North American Industry Classification System code of the employer's industry,,no,,,no,"NAICS vintage follows the year of filing and code length varies from 2 to 6 digits, so codes are not linked to a directory",
job_title,STRING,"Job title of the position offered, as written by the employer",,no,,,no,,
soc_id,STRING,Standard Occupational Classification code of the position offered,,no,,,no,"SOC vintage follows the year of filing (SOC 2000, 2010 or 2018), so codes are not comparable across the whole series and are not linked to a directory",
soc_title,STRING,Standard Occupational Classification title of the position offered,,no,,,no,,
full_time_position,STRING,Whether the position offered is full time,,yes,,,no,,
wage_offered_from,FLOAT64,"Wage offered to the worker, at the bottom of the offered range, in the unit given by wage_unit_of_pay",,no,,usd,no,,
wage_offered_to,FLOAT64,"Wage offered to the worker, at the top of the offered range, in the unit given by wage_unit_of_pay",,no,,usd,no,,
